Variant,Cycle,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
Scale 0.1,1,1.894827343331897e-08,0.0,2.0012773196768747e-08,4.075589375038379,3.735365226037355,5.229511316451746,0.2799525236335723,0.9577226229061306,4.015317749670928
Scale 0.1,2,1.912001942014024e-08,1.7174598682127072e-10,2.0025398040862183e-08,4.012879919613664,3.7344476967280014,5.228226775419106,0.2800063418326246,0.9577846413601172,4.0144540385606255
Scale 0.1,3,1.92902506744744e-08,1.702312543341577e-10,2.0038033320181857e-08,4.012020050470518,3.7335353169026178,5.226949443662349,0.2800621320625167,0.9578685938810096,4.013597448965134
Scale 0.1,4,1.9459007451911418e-08,1.687567774370192e-10,2.005067905245772e-08,4.011167362622723,3.732628135025605,5.225679389036884,0.28011966113897874,0.957972967503153,4.012747796164584
Scale 0.1,5,1.962632825495094e-08,1.6732080303952194e-10,2.0063335254120505e-08,4.010321507037802,3.731726019482188,5.224416427275145,0.28017871570326913,0.9580959775486093,4.011904735185457
Scale 0.1,6,1.9792249935622154e-08,1.6592168067121387e-10,2.0076001938934382e-08,4.009482138211828,3.730828845011188,5.22316038301426,0.28023905360713325,0.9582358146047198,4.011067898618321
Scale 0.1,7,1.995680779137998e-08,1.6455785575782623e-10,2.0088679120951612e-08,4.00864889529615,3.7299364941658504,5.221911091827977,0.2803004419371875,0.9583906805389546,4.010236936103038
Scale 0.1,8,2.012003565610354e-08,1.6322786472356034e-10,2.0101366816746513e-08,4.007821432192392,3.7290488368990604,5.2206683716586895,0.2803626741049802,0.9585589678332269,4.009411511004041
Scale 0.1,9,2.0281965983612594e-08,1.6193032750905364e-10,2.0114065049244777e-08,4.006999416441697,3.7281657436551487,5.219432041115638,0.2804255635171579,0.9587391084535852,4.008591307172306
Scale 0.1,10,2.0442629919998722e-08,1.6066393638612764e-10,2.012677384548019e-08,4.0061825332794045,3.727287102050103,5.218201942869683,0.2804888735746636,0.9589292156122724,4.007775975624766
Scale 0.1,11,2.0602057379847184e-08,1.5942745984846175e-10,2.013949323159621e-08,4.005370442182504,3.726412791792091,5.216977908508651,0.2805524551144717,0.9591280381567078,4.006965246906563
Scale 0.1,12,2.076027710655123e-08,1.5821972670404646e-10,2.015222323120731e-08,4.004562870146238,3.725542678562863,5.215759749989452,0.2806161128443489,0.9593337497297867,4.006158791407212
Scale 0.1,13,2.0917316743863444e-08,1.5703963731221366e-10,2.016496386512222e-08,4.003759494371158,3.7246766673584637,5.214547334302715,0.28067972023944093,0.9595454954551599,4.005356387597905
Scale 0.1,14,2.1073202888053278e-08,1.5588614418983455e-10,2.0177715152607933e-08,4.002960103278988,3.723814624894002,5.21334047485287,0.28074312916633615,0.9597618089354114,4.004557754060338
Scale 0.1,15,2.1227961136497825e-08,1.5475824844454668e-10,2.0190477111445687e-08,4.002164401526241,3.7229564073872052,5.212138970343325,0.28080617585343287,0.9599809449091481,4.003762583240638
Scale 0.1,16,2.138161615335768e-08,1.536550168598551e-10,2.0203249758549105e-08,4.001372101097722,3.7221018755331685,5.210942625748814,0.28086884689826525,0.9602025970293226,4.002970722431434
Scale 0.1,17,2.1534191714133512e-08,1.525755607758317e-10,2.021603311064344e-08,4.000583043937336,3.7212509235457256,5.209751292965365,0.28093108546979506,0.9604259962347754,4.00218200901552
Scale 0.1,18,2.168571075265341e-08,1.5151903851989779e-10,2.0228827183814127e-08,3.9997970694318106,3.720403443578645,5.208564821013539,0.280992877851314,0.9606507321695545,4.001396321429959
Scale 0.1,19,2.1836195407819286e-08,1.5048465516587643e-10,2.0241631994136966e-08,3.9990140594952948,3.7195593673905414,5.207383114339962,0.2810542083068507,0.9608768354038517,4.000613575697392
Scale 0.1,20,2.1985667052073493e-08,1.4947164425420743e-10,2.0254447557389175e-08,3.998233929379748,3.71871863430855,5.206206088027244,0.2811149572228331,0.9611033570219831,3.999833591531383
Scale 0.1,21,2.213414633061133e-08,1.4847927853783748e-10,2.0267273889571524e-08,3.9974565123632053,3.717881197028343,5.2050336758403315,0.2811750518654978,0.9613297854579841,3.999056248893841
Scale 0.1,22,2.2281653198455633e-08,1.4750686784430234e-10,2.0280111006768848e-08,3.9966816830359746,3.7170469957452905,5.203865794043786,0.28123446046323974,0.9615558899453056,3.99828145620853
Scale 0.1,23,2.2428206949901185e-08,1.465537514455515e-10,2.029295892461384e-08,3.9959093358026,3.716215961178009,5.202702345648881,0.2812931140869968,0.9617812160602526,3.9975090752650058
Scale 0.1,24,2.2573826246933876e-08,1.456192970326909e-10,2.0305817658799067e-08,3.9951393610164607,3.7153880379481996,5.2015432531250525,0.28135096744620364,0.9620051489056394,3.9967390053944034
Scale 0.1,25,2.271852915281969e-08,1.4470290588581546e-10,2.0318687225300065e-08,3.9943716470645585,3.714563178260992,5.200388449565885,0.28140798914674187,0.9622276035843953,3.995971167407734
Scale 0.1,26,2.2862333156255715e-08,1.4380400343602378e-10,2.0331567639790095e-08,3.993606113288739,3.7137413209107666,5.199237849280323,0.2814641409954854,0.9624482479601966,3.995205461906252
Scale 0.1,27,2.3005255206197123e-08,1.429220499414083e-10,2.034445891799343e-08,3.9928426627350255,3.712922406944111,5.198091369721965,0.28151952150302023,0.9626677649938387,3.9944419284471313
Scale 0.1,28,2.3147311733230943e-08,1.4205652703381953e-10,2.035736107568472e-08,3.9920813550994168,3.712106377978907,5.1969489291723505,0.2815741919292971,0.9628863596729644,3.9936805699082045
Scale 0.1,29,2.3288518676995083e-08,1.4120694376414017e-10,2.0370274128853522e-08,3.991322162353574,3.7112931586458067,5.195810422104614,0.2816282718489328,0.9631049595344621,3.9929214304947394
Scale 0.1,30,2.3428891503886155e-08,1.4037282689107227e-10,2.0383198093381562e-08,3.990565151684807,3.710482691174991,5.19467576764518,0.28168184426611614,0.9633239973531431,3.992164535441107
