Initial SOC,Days,Voltage Before (V),Voltage After (V),Delta V (V)
0.3,2,3.6970511447928187,3.697044049005841,7.0957869775511995e-06
0.3,3,3.6970511445837304,3.697040508445122,1.0636138608521861e-05
0.3,4,3.697051144360067,3.697036970437913,1.4173922154192553e-05
0.3,5,3.697051144723631,3.697033432438875,1.7712284755777574e-05
0.3,6,3.6970511446336087,3.6970299022009794,2.1242432629353658e-05
0.3,7,3.6970511445327023,3.697026372244368,2.4772288334418135e-05
0.3,8,3.697051144408073,3.6970228443018156,2.8300106257539426e-05
0.3,9,3.697051144286009,3.6970193193232266,3.182496278242297e-05
0.3,10,3.6970511441680767,3.697015796937312,3.534723076459301e-05
0.3,11,3.697051144527179,3.697012276902739,3.886762444027525e-05
0.3,12,3.6970511444503162,3.6970087595546732,4.238489564301062e-05
0.3,13,3.6970511443769327,3.697005244730695,4.589964623757936e-05
0.3,14,3.697051144305137,3.6970017326520273,4.9411653109565634e-05
0.3,15,3.6970511442252953,3.6969982229360374,5.292128925793449e-05
0.3,16,3.6970511441294156,3.6969947157966176,5.642833279795312e-05
0.3,17,3.6970511440455693,3.6969912111644256,5.9932881143698324e-05
0.3,18,3.697051144373388,3.696987709342949,6.343503043915177e-05
0.3,19,3.6970511443120726,3.696984209464819,6.693484725373011e-05
0.3,20,3.697051144261507,3.696980712527929,7.043173357779153e-05
0.3,21,3.6970511441970744,3.696977217840755,7.39263563191983e-05
0.3,22,3.697051144147128,3.6969737259937494,7.74181533786944e-05
0.3,23,3.6970511440590936,3.696970237108202,8.090695089180144e-05
0.3,24,3.6970511440010863,3.696966749594364,8.43944067221436e-05
0.3,25,3.697051143941903,3.6969632653016133,8.787864028958481e-05
0.3,26,3.6970511438785896,3.6969597828275087,9.136105108087378e-05
0.3,27,3.6970511441869682,3.6969563033279336,9.484085903466166e-05
0.3,28,3.6970511441412652,3.696952826965587,9.831717567809761e-05
0.3,29,3.697051144073164,3.6969493522831893,0.00010179178997482552
0.3,30,3.6970511440306586,3.696945880617057,0.0001052634136016195
0.3,31,3.697051143980865,3.696942410678987,0.00010873330187788355
0.3,32,3.697051143940053,3.696938943116526,0.00011220082352680905
0.3,33,3.69705114388266,3.696935478325348,0.00011566555731201689
0.3,34,3.697051143827327,3.696932016447417,0.0001191273799099335
0.3,35,3.6970511437616604,3.6969285628027975,0.00012258095886297227
0.3,36,3.6970511436992823,3.6969250997677445,0.00012604393153781146
0.3,37,3.6970511440009854,3.696921644839238,0.00012949916174731513
0.3,38,3.6970511439628457,3.696918192351056,0.00013295161178961123
0.3,39,3.6970511439265468,3.6969147421923365,0.00013640173421025636
0.3,40,3.6970511438744755,3.6969112951661396,0.00013984870833594343
0.3,41,3.6970511438256954,3.6969078497388033,0.00014329408689217615
0.3,42,3.697051143780839,3.6969044078523208,0.00014673592851810469
0.3,43,3.6970511437288547,3.6969009670226054,0.00015017670624928314
0.3,44,3.6970511436952034,3.696897530220088,0.00015361347511522183
0.3,45,3.6970511436314615,3.6968940934100414,0.0001570502214200964
0.3,46,3.697051143581917,3.6968906608645,0.00016048271741730957
0.3,47,3.6970511435281947,3.696887230105071,0.0001639134231239403
0.3,48,3.6970511438435993,3.696883802165899,0.00016734167770016128
0.3,49,3.697051143799831,3.6968803759963293,0.00017076780350144816
0.3,50,3.697051143758463,3.6968769523702454,0.00017419138821761493
0.3,51,3.697051143715873,3.6968735315686505,0.00017761214722256113
0.3,52,3.697051143671205,3.696870113490404,0.00018103018080095623
0.3,53,3.6970511436247233,3.696866697013112,0.0001844466116112109
0.3,54,3.69705114359229,3.696863282738286,0.0001878608540040183
0.3,55,3.697051143541002,3.6968598719295658,0.0001912716114360613
0.3,56,3.6970511434791105,3.6968564623902167,0.00019468108889375557
0.3,57,3.6970511434527404,3.6968530556925803,0.0001980877601601705
0.3,58,3.6970511434073163,3.6968496514824305,0.00020149192488583267
0.3,59,3.6970511433473856,3.696846249006665,0.0002048943407206849
0.3,60,3.6970511433013553,3.6968428496904817,0.0002082936108736
0.3,61,3.6970511436385394,3.6968394525277892,0.00021169111075014513
0.3,62,3.697051143298144,3.6968360575765233,0.0002150857216207669
0.3,63,3.6970511446016263,3.6968326651026113,0.00021847949901498964
0.3,64,3.6970511445907013,3.6968292743751228,0.00022187021557851239
0.3,65,3.6970511445905867,3.6968258866452084,0.0002252579453783099
0.3,66,3.6970511445607848,3.6968225006258164,0.00022864393496835334
0.3,67,3.6970511445606205,3.6968191177848393,0.00023202677578115782
0.3,68,3.6970511445568066,3.696815736730289,0.00023540782651743086
0.3,69,3.6970511445376397,3.6968123579926395,0.00023878654500020247
0.3,70,3.6970511445327023,3.6968089815159657,0.00024216301673662954
0.3,71,3.6970511445222423,3.6968056078000853,0.0002455367221569915
0.3,72,3.6970511445081797,3.6968022363480855,0.0002489081600942633
0.3,73,3.6970511444863154,3.696798866677473,0.0002522778088422939
0.3,74,3.6970511444851484,3.6967954995619463,0.00025564492320206966
0.3,75,3.6970511444790186,3.6967921346917985,0.00025900978722015466
0.3,76,3.6970511444657923,3.6967887728325177,0.0002623716332745829
0.3,77,3.697051144451865,3.696785412854541,0.0002657315973237928
0.3,78,3.697051144438097,3.696782054620079,0.00026908981801820886
0.3,79,3.6970511444206355,3.6967786984981443,0.0002724459224912046
0.3,80,3.697051144408073,3.6967753454327132,0.0002757989753598977
0.9,2,3.903959360784629,3.9037980641413155,0.0001612966433133245
0.9,3,3.903959361874091,3.9037187885499813,0.00024057332410976073
0.9,4,3.9039593607923258,3.9036403568222875,0.0003190039700382563
0.9,5,3.903959359659588,3.903562754622487,0.0003966050371007057
0.9,6,3.903959360821037,3.903485969297632,0.00047339152340519774
0.9,7,3.9039593600575273,3.9034099871457464,0.000549372911780921
0.9,8,3.9039593592653796,3.9033347919572448,0.0006245673081348713
0.9,9,3.9039593584763486,3.9032603764721845,0.0006989820041640726
0.9,10,3.903959359657862,3.9031867255417723,0.0007726341160898542
0.9,11,3.903959359062294,3.9031138265228837,0.0008455325394103319
0.9,12,3.9039593584683527,3.9030416684340414,0.0009176900343113026
0.9,13,3.9039593578786556,3.90297023696601,0.0009891209126453582
0.9,14,3.903959357275821,3.9028995225927208,0.0010598346831001138
0.9,15,3.903959358462514,3.9028295172842307,0.0011298411782831863
0.9,16,3.9039593579835548,3.902760203347906,0.0011991546356489025
0.9,17,3.9039593575049776,3.902691573024512,0.0012677844804653837
0.9,18,3.9039593570252693,3.902623618327717,0.0013357386975521024
0.9,19,3.903959356541158,3.9025563224044277,0.0014030341367301524
0.9,20,3.903959356075692,3.9024896832645934,0.0014696728110985546
0.9,21,3.9039593572525613,3.902423684346301,0.0015356729062601104
0.9,22,3.903959356855591,3.902358313969142,0.0016010428864490223
0.9,23,3.9039593564526296,3.902293570565145,0.00166578588748445
0.9,24,3.903959356067369,3.902229440412091,0.0017299156552779138
0.9,25,3.903959355676662,3.9021659109906457,0.0017934446860161657
0.9,26,3.9039593552780305,3.9021029781902357,0.0018563770877948471
0.9,27,3.9039593548823186,3.902040634241215,0.001918720641103544
0.9,28,3.903959356060703,3.9019788696449904,0.00198048641571269
0.9,29,3.903959355721925,3.9019176631396233,0.0020416925823019128
0.9,30,3.9039593553917404,3.9018570256755303,0.0021023297162101606
0.9,31,3.903959355058012,3.901796939655905,0.00216241540210671
0.9,32,3.903959354722923,3.9017373885732987,0.0022219661496243326
0.9,33,3.903959354379414,3.901678394253013,0.0022809601264013324
0.9,34,3.903959354048057,3.901619907464981,0.0023394465830759437
0.9,35,3.90395935517407,3.901561950713049,0.002397404461021324
