SEI Model,Initial SOC,Days,Voltage Before (V),Voltage After (V),Delta V (V),SEI Thickness (m),Loss of Lithium Inventory (%),SEI rxn rate
reaction limited,0.3,2,3.6970511447928187,3.697044049005841,7.0957869775511995e-06,5.4862063501234855e-09,0.00667508941774031,1e-12
reaction limited,0.3,3,3.6970511445837304,3.697040508445122,1.0636138608521861e-05,5.729284320407271e-09,0.010012288090251786,1e-12
reaction limited,0.3,4,3.697051144360067,3.697036970437913,1.4173922154192553e-05,5.97234552928395e-09,0.013349256649291874,1e-12
reaction limited,0.3,5,3.697051144723631,3.697033432438875,1.7712284755777574e-05,6.215389926163876e-09,0.016685994446248742,1e-12
reaction limited,0.3,6,3.6970511446336087,3.6970299022009794,2.1242432629353658e-05,6.458417614937062e-09,0.020022502767247374,1e-12
reaction limited,0.3,7,3.6970511445327023,3.697026372244368,2.4772288334418135e-05,6.701428558982911e-09,0.0233587812930125,1e-12
reaction limited,0.3,8,3.697051144408073,3.6970228443018156,2.8300106257539426e-05,6.944422780585841e-09,0.026694830124867508,1e-12
reaction limited,0.3,9,3.697051144286009,3.6970193193232266,3.182496278242297e-05,7.187400184209516e-09,0.030030648143025473,1e-12
reaction limited,0.3,10,3.6970511441680767,3.697015796937312,3.534723076459301e-05,7.430361077413569e-09,0.03336623946474049,1e-12
reaction limited,0.3,11,3.697051144527179,3.697012276902739,3.886762444027525e-05,7.67330522782065e-09,0.03670160095256847,1e-12
reaction limited,0.3,12,3.6970511444503162,3.6970087595546732,4.238489564301062e-05,7.91623260316362e-09,0.0400367320976045,1e-12
reaction limited,0.3,13,3.6970511443769327,3.697005244730695,4.589964623757936e-05,8.159143289123169e-09,0.04337163416147405,1e-12
reaction limited,0.3,14,3.697051144305137,3.6970017326520273,4.9411653109565634e-05,8.402037570410942e-09,0.046706311031712744,1e-12
reaction limited,0.3,15,3.6970511442252953,3.6969982229360374,5.292128925793449e-05,8.644914637863637e-09,0.05004075147923004,1e-12
reaction limited,0.3,16,3.6970511441294156,3.6969947157966176,5.642833279795312e-05,8.88777568631102e-09,0.05337497204921249,1e-12
reaction limited,0.3,17,3.6970511440455693,3.6969912111644256,5.9932881143698324e-05,9.130620075135464e-09,0.05670896387931634,1e-12
reaction limited,0.3,18,3.697051144373388,3.696987709342949,6.343503043915177e-05,9.373447776535804e-09,0.06004272665541066,1e-12
reaction limited,0.3,19,3.6970511443120726,3.696984209464819,6.693484725373011e-05,9.616259163478771e-09,0.06337626534512708,1e-12
reaction limited,0.3,20,3.697051144261507,3.696980712527929,7.043173357779153e-05,9.859053613951018e-09,0.06670957159758473,1e-12
reaction limited,0.3,21,3.6970511441970744,3.696977217840755,7.39263563191983e-05,1.010183173654603e-08,0.07004265374571617,1e-12
reaction limited,0.3,22,3.697051144147128,3.6969737259937494,7.74181533786944e-05,1.034459241846461e-08,0.07337549640875807,1e-12
reaction limited,0.3,23,3.6970511440590936,3.696970237108202,8.090695089180144e-05,1.0587338060933152e-08,0.0767081325596024,1e-12
reaction limited,0.3,24,3.6970511440010863,3.696966749594364,8.43944067221436e-05,1.083006573764321e-08,0.08004052209405188,1e-12
reaction limited,0.3,25,3.697051143941903,3.6969632653016133,8.787864028958481e-05,1.1072777352021153e-08,0.08337269110560896,1e-12
reaction limited,0.3,26,3.6970511438785896,3.6969597828275087,9.136105108087378e-05,1.1315473255877875e-08,0.08670464439876469,1e-12
