SEI Model,Multiplier,Param Value,Initial SOC,Days,Voltage Before (V),Voltage After (V),Delta V (V),SEI Thickness (m),Loss of Lithium Inventory (%)
reaction limited,0.1,1e-13,0.9,2,3.903959360784629,3.9037980641413155,0.0001612966433133245,6.286167743746472e-09,0.017657697538112416
reaction limited,0.1,1e-13,0.9,3,3.903959361874091,3.9037187885499813,0.00024057332410976073,6.92774744100953e-09,0.026465895606719414
reaction limited,0.1,1e-13,0.9,4,3.9039593607923258,3.9036403568222875,0.0003190039700382563,7.568341733232181e-09,0.0352605651268334
reaction limited,0.1,1e-13,0.9,5,3.903959359659588,3.903562754622487,0.0003966050371007057,8.207961329579435e-09,0.04404185312043296
reaction limited,0.1,1e-13,0.9,6,3.903959360821037,3.903485969297632,0.00047339152340519774,8.846619372308527e-09,0.05280994002643524
reaction limited,0.1,1e-13,0.9,7,3.9039593600575273,3.9034099871457464,0.000549372911780921,9.484325079647484e-09,0.06156495237664217
reaction limited,0.1,1e-13,0.9,8,3.9039593592653796,3.9033347919572448,0.0006245673081348713,1.0121093982768857e-08,0.07030710343623525
reaction limited,0.1,1e-13,0.9,9,3.9039593584763486,3.9032603764721845,0.0006989820041640726,1.0756926639156313e-08,0.07903640084219887
reaction limited,0.1,1e-13,0.9,10,3.903959359657862,3.9031867255417723,0.0007726341160898542,1.1391847597618112e-08,0.087753181590557
reaction limited,0.1,1e-13,0.9,11,3.903959359062294,3.9031138265228837,0.0008455325394103319,1.2025863199941143e-08,0.09645753277857239
reaction limited,0.1,1e-13,0.9,12,3.9039593584683527,3.9030416684340414,0.0009176900343113026,1.2658984353541103e-08,0.10514960416304575
reaction limited,0.1,1e-13,0.9,13,3.9039593578786556,3.90297023696601,0.0009891209126453582,1.3291216469199631e-08,0.11382947000798538
reaction limited,0.1,1e-13,0.9,14,3.903959357275821,3.9028995225927208,0.0010598346831001138,1.3922564192033652e-08,0.12249719410414173
reaction limited,0.1,1e-13,0.9,15,3.903959358462514,3.9028295172842307,0.0011298411782831863,1.4553057136712181e-08,0.13115318298915213
reaction limited,0.1,1e-13,0.9,16,3.9039593579835548,3.902760203347906,0.0011991546356489025,1.518269595139485e-08,0.1397974456015163
reaction limited,0.1,1e-13,0.9,17,3.9039593575049776,3.902691573024512,0.0012677844804653837,1.581148713597689e-08,0.14843007117582374
reaction limited,0.1,1e-13,0.9,18,3.9039593570252693,3.902623618327717,0.0013357386975521024,1.6439418180516277e-08,0.1570508879459851
reaction limited,0.1,1e-13,0.9,19,3.903959356541158,3.9025563224044277,0.0014030341367301524,1.7066558347051783e-08,0.16566084681841176
reaction limited,0.1,1e-13,0.9,20,3.903959356075692,3.9024896832645934,0.0014696728110985546,1.7692838425733615e-08,0.17425899762127983
reaction limited,0.1,1e-13,0.9,21,3.9039593572525613,3.902423684346301,0.0015356729062601104,1.831833772278718e-08,0.18284642910208504
reaction limited,0.1,1e-13,0.9,22,3.903959356855591,3.902358313969142,0.0016010428864490223,1.894305535804348e-08,0.1914231292248445
reaction limited,0.1,1e-13,0.9,23,3.9039593564526296,3.902293570565145,0.00166578588748445,1.9566933242777445e-08,0.19998830047569527
reaction limited,0.1,1e-13,0.9,24,3.903959356067369,3.902229440412091,0.0017299156552779138,2.0190064147294435e-08,0.20854321650352858
reaction limited,0.1,1e-13,0.9,25,3.903959355676662,3.9021659109906457,0.0017934446860161657,2.081242125188772e-08,0.21708750909121477
reaction limited,0.1,1e-13,0.9,26,3.9039593552780305,3.9021029781902357,0.0018563770877948471,2.1434029935414275e-08,0.22562152664954738
reaction limited,0.1,1e-13,0.9,27,3.9039593548823186,3.902040634241215,0.001918720641103544,2.2054812900360664e-08,0.23414420798278002
reaction limited,0.1,1e-13,0.9,28,3.903959356060703,3.9019788696449904,0.00198048641571269,2.2674856802550145e-08,0.24265674280624694
reaction limited,0.1,1e-13,0.9,29,3.903959355721925,3.9019176631396233,0.0020416925823019128,2.3294228374127852e-08,0.2511600472416262
reaction limited,0.1,1e-13,0.9,30,3.9039593553917404,3.9018570256755303,0.0021023297162101606,2.3912792758255295e-08,0.2596522698181758
reaction limited,0.1,1e-13,0.9,31,3.903959355058012,3.901796939655905,0.00216241540210671,2.453064011968835e-08,0.26813464849402635
reaction limited,0.1,1e-13,0.9,32,3.903959354722923,3.9017373885732987,0.0022219661496243326,2.514783540592995e-08,0.2766080748982631
reaction limited,0.1,1e-13,0.9,33,3.903959354379414,3.901678394253013,0.0022809601264013324,2.5764162101395813e-08,0.28506957644631825
reaction limited,0.1,1e-13,0.9,34,3.903959354048057,3.901619907464981,0.0023394465830759437,2.6379935530764915e-08,0.2935234822460586
reaction limited,0.1,1e-13,0.9,35,3.90395935517407,3.901561950713049,0.002397404461021324,2.699494434558116e-08,0.30196689074726635
reaction limited,0.1,1e-13,0.9,36,3.903959354876777,3.901504500328559,0.0024548545482176998,2.7609331770180813e-08,0.31040176819666954
reaction limited,0.1,1e-13,0.9,37,3.903959354584691,3.9014475578307066,0.0025117967539842745,2.822297717184441e-08,0.3188264584942999
reaction limited,0.1,1e-13,0.9,38,3.9039593542889515,3.9013911062304683,0.0025682480584832135,2.88360530273078e-08,0.32724332951619317
reaction limited,0.1,1e-13,0.9,39,3.9039593540093795,3.901335165244464,0.002624188764915658,2.944826658126384e-08,0.3356483620846973
reaction limited,0.1,1e-13,0.9,40,3.9039593537073127,3.9012797029696085,0.0026796507377042644,3.005989051805163e-08,0.34404529982823817
reaction limited,0.1,1e-13,0.9,41,3.9039593534213877,3.9012247027168514,0.002734650704536268,3.067098067560616e-08,0.35243490934938393
reaction limited,0.1,1e-13,0.9,42,3.903959354486063,3.9011701861687476,0.0027891683173155712,3.128126906019098e-08,0.36081351143515406
reaction limited,0.1,1e-13,0.9,43,3.9039593542213793,3.901116130331082,0.0028432238902973417,3.189098397753427e-08,0.369184240403456
reaction limited,0.1,1e-13,0.9,44,3.9039593539547193,3.901062552537442,0.002896801417277217,3.249982299823794e-08,0.37754294424418333
reaction limited,0.1,1e-13,0.9,45,3.9039593537091823,3.901009395026964,0.0029499586822181456,3.31083820045778e-08,0.38589780381546746
reaction limited,0.1,1e-13,0.9,46,3.9039593534500243,3.9009566888894773,0.003002664560546986,3.371622341441837e-08,0.3942428115302903
reaction limited,0.1,1e-13,0.9,47,3.9039593531892676,3.9009044353595863,0.0030549178296812585,3.4323320982047834e-08,0.40257760711727997
reaction limited,0.1,1e-13,0.9,48,3.9039593529501317,3.9008526144438807,0.0031067385062510944,3.492977621321076e-08,0.4109035841308213
reaction limited,0.1,1e-13,0.9,49,3.903959352671662,3.9008012192910613,0.0031581333806007805,3.553571241452412e-08,0.4192224353638494
reaction limited,0.1,1e-13,0.9,50,3.903959352425306,3.9007502331585275,0.0032091192667782487,3.614110297005117e-08,0.4275337955041607
reaction limited,0.1,1e-13,0.9,51,3.903959353473791,3.9006996745421243,0.0032596789316667873,3.674584603767387e-08,0.43583626631235006
