Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,,Current Shunt
0,4.176251552,0,24.71395393,25.3011269,14.30639081,-0.817018693,0,0,0,0,0,0,0,,0.817018693
8.695,4.17629142,0,24.7238314,25.31099317,14.28049723,-0.805064217,479,14,100.2,0,22.78125,0,1.032,,0.805064217
8.795,4.176331288,0,24.74358607,25.29126054,14.24813025,-0.864836599,479,14,100.2,0,22.78125,0,1.032,,0.864836599
8.895,4.17629142,0,24.74358607,25.3011269,14.23842016,-0.840927646,479,14,100.2,0,22.78125,0,1.032,,0.840927646
9.002,4.176371156,0,24.7238314,25.28139409,14.29344402,-0.821003519,479,14,100.2,0,22.78125,0,1.032,,0.821003519
9.102,4.17629142,0,24.7238314,25.3011269,14.22547336,-0.848897297,479,14,100.2,0,22.78125,0,1.032,,0.848897297
9.212,4.176251552,0,24.74358607,25.29126054,14.27402383,-0.753261486,479,14,100.2,0,22.78125,0,1.032,,0.753261486
9.312,4.176331288,0,24.71395393,25.28139409,14.23194676,-0.860851774,479,14,100.2,0,22.78125,0,1.033,,0.860851774
9.413,4.17629142,0,24.74358607,25.29126054,14.29991742,-0.884760726,479,14,100.2,0,22.78125,0,1.033,,0.884760726
9.513,4.176331288,0,24.7238314,25.31099317,14.27726053,-0.813033868,479,14,100.2,0,22.78125,0,1.033,,0.813033868
9.623,4.17629142,0,24.7238314,25.32085935,14.28697062,-0.777170439,479,14,100.2,0,22.78125,0,1.033,,0.777170439
9.725,4.176371156,0,24.70407637,25.3011269,14.27078713,-0.848897297,479,14,100.2,0,22.78125,0,1.033,,0.848897297
9.832,4.176371156,0,24.7238314,25.31099317,14.27402383,-0.789124915,479,14,100.2,0,22.78125,0,1.033,,0.789124915
9.932,4.176331288,0,24.7238314,25.3011269,14.24489355,-0.860851774,479,14,100.2,0,22.78125,0,1.033,,0.860851774
10.032,4.176371156,0,24.7238314,25.3011269,14.24813025,-0.860851774,479,14,100.2,0,22.78125,0,1.033,,0.860851774
10.132,4.176211684,0,24.7238314,25.28139409,14.29991742,-0.840927646,479,14,100.2,0,22.78125,0,1.033,,0.840927646
10.332,4.176331288,0,24.7238314,25.31099317,14.29991742,-0.769200788,479,14,100.2,0,22.78125,0,1.033,,0.769200788
10.442,4.17629142,0,24.7238314,25.28139409,14.25136695,-0.805064217,479,14,100.2,0,22.78125,0,1.033,,0.805064217
10.542,4.176331288,0,24.7238314,25.3011269,14.25136695,-0.761231137,479,14,100.2,0,22.78125,0,1.033,,0.761231137
10.647,4.17629142,0,24.7238314,25.3011269,14.29991742,-0.809049042,479,14,100.2,0,22.78125,0,1.033,,0.809049042
10.747,4.17629142,0,24.7238314,25.3011269,14.30639081,-0.78514009,479,14,100.2,0,22.78125,0,1.033,,0.78514009
10.847,4.17629142,0,24.7238314,25.29126054,14.24813025,-0.793109741,478,14,100.2,0,22.78125,0,1.033,,0.793109741
10.947,4.17629142,0,24.74358607,25.28139409,14.23842016,-0.777170439,478,14,100.2,0,22.78125,0,1.033,,0.777170439
11.05,4.176331288,0,24.7238314,25.27152755,14.26431374,-0.852882123,478,14,100.2,0,22.78125,0,1.033,,0.852882123
11.152,4.176251552,0,24.7238314,25.31099317,14.28697062,-0.809049042,478,14,100.2,0,22.78125,0,1.033,,0.809049042
11.252,4.17629142,0,24.75346328,25.28139409,14.30639081,-0.793109741,478,14,100.2,0,22.78125,0,1.033,,0.793109741
11.352,4.176331288,0,24.73370878,25.3011269,14.26755044,-0.781155264,478,14,100.2,0,22.78125,0,1.033,,0.781155264
11.452,4.176331288,0,24.7238314,25.28139409,14.27078713,-0.876791076,478,14,100.2,0,22.78125,0,1.033,,0.876791076
11.552,4.176251552,0,24.71395393,25.28139409,14.28697062,-0.904684854,479,14,100.2,0,22.78125,0,1.033,,0.904684854
11.652,4.176411024,0,24.71395393,25.29126054,14.25136695,-0.745291835,479,14,100.2,0,22.78125,0,1.033,,0.745291835
11.752,4.17629142,0,24.70407637,25.28139409,14.23194676,-0.797094566,479,14,100.2,0,22.78125,0,1.033,,0.797094566
11.852,4.17629142,0,24.7238314,25.29126054,14.27726053,-0.793109741,479,14,100.2,0,22.78125,0,1.033,,0.793109741
11.952,4.17629142,0,24.70407637,25.28139409,14.27726053,-0.82897317,479,14,100.2,0,22.78125,0,1.033,,0.82897317
12.052,4.17629142,0,24.70407637,25.28139409,14.27402383,-0.82897317,479,14,100.2,0,22.78125,0,1.033,,0.82897317
12.152,4.17629142,0,24.71395393,25.3011269,14.27078713,-0.880775901,479,14,100.2,0,22.78125,0,1.033,,0.880775901
12.252,4.176411024,0,24.7238314,25.3011269,14.24489355,-0.801079391,479,14,100.2,0,22.78125,0,1.033,,0.801079391
12.352,4.17629142,0,24.68432098,25.29126054,14.25460365,-0.773185613,479,14,100.2,0,22.78125,0,1.033,,0.773185613
12.452,4.17629142,0,24.71395393,25.29126054,14.27078713,-0.805064217,479,14,100.2,0,22.78125,0,1.033,,0.805064217
12.552,4.17629142,0,24.70407637,25.28139409,14.24489355,-0.789124915,479,14,100.2,0,22.78125,0,1.033,,0.789124915
12.652,4.176251552,0,24.73370878,25.29126054,14.26431374,-0.757246311,479,14,100.2,0,22.78125,0,1.033,,0.757246311
12.752,4.17629142,0,24.73370878,25.3011269,14.28049723,-0.884760726,479,14,100.2,0,22.78125,0,1.033,,0.884760726
12.852,4.176331288,0,24.73370878,25.3011269,14.24813025,-0.852882123,479,14,100.2,0,22.78125,0,1.033,,0.852882123
12.952,4.176251552,0,24.71395393,25.31099317,14.26431374,-0.824988344,479,14,100.2,0,22.78125,0,1.033,,0.824988344
13.052,4.17629142,0,24.7238314,25.29126054,14.29020732,-0.864836599,479,14,100.2,0,22.78125,0,1.033,,0.864836599
13.153,4.176251552,0,24.7238314,25.29126054,14.28049723,-0.777170439,479,14,100.2,0,22.78125,0,1.033,,0.777170439
13.253,4.176371156,0,24.71395393,25.3011269,14.26431374,-0.868821425,479,14,100.2,0,22.78125,0,1.033,,0.868821425
13.353,4.17629142,0,24.7238314,25.28139409,14.24813025,-0.773185613,479,14,100.2,0,22.78125,0,1.033,,0.773185613
13.453,4.176331288,0,24.73370878,25.29126054,14.30315411,-0.844912472,479,14,100.2,0,22.78125,0,1.033,,0.844912472
