Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,Temperature_T_type
0.223,0,0,0,0,0,0,465,28.4,100,0,23.40625,0,0.977,0
0.973,0,0,0,0,0,0,465,28.4,100,0,23.40625,0,0.977,0
1.083,0,0,0,0,0,0,465,28.4,100,0,23.40625,0,0.977,0
1.193,0,0,0,0,0,0,465,28.4,100,0,23.40625,0,0.977,0
1.303,0,0,0,0,0,0,465,28.4,100,0,23.40625,0,0.977,0
1.413,0,0,0,0,0,0,463,28,100,0,23.40625,0,0.977,0
1.523,0,0,0,0,0,0,463,28,100,0,23.40625,0,0.977,0
1.633,0,0,0,0,0,0,463,28,100,0,23.40625,0,0.977,0
1.743,0,0,0,0,0,0,463,28,100,0,23.40625,0,0.977,0
1.853,0,0,0,0,0,0,463,28,100,0,23.40625,0,0.977,0
1.963,0,0,0,0,0,0,463,28.4,100,0,23.40625,0,0.976,0
2.073,0,0,0,0,0,0,463,28.4,100,0,23.40625,0,0.976,0
2.183,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
2.293,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
2.403,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
2.513,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
2.623,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
2.733,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
2.843,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
2.953,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.976,0
3.063,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.975,0
3.173,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.975,0
3.283,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.975,0
3.393,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.975,0
3.503,0,0,0,0,0,0,462,28.4,100,0,23.40625,0,0.975,0
3.613,0,0,0,0,0,0,461,28.4,100,0,23.40625,0,0.975,0
3.723,0,0,0,0,0,0,461,28,100,0,23.40625,0,0.975,0
3.833,0,0,0,0,0,0,461,28,100,0,23.40625,0,0.975,0
3.943,0,0,0,0,0,0,461,28,100,0,23.40625,0,0.975,0
4.053,0,0,0,0,0,0,461,28,100,0,23.40625,0,0.975,0
4.163,0,0,0,0,0,0,461,28,100,0,23.40625,0,0.973,0
4.273,0,0,0,0,0,0,460,28,100,0,23.40625,0,0.973,0
