Name,Value,Units,Meaning,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,,,
,,,,,
# Constants,,,,,
R,8.314,J.K-1.mol-1,Ideal gas constant,-,
F,96487,C.mol-1,Faraday’s constant,-,
T_ref,294.85,K,Reference Temperature,Room temperature,
,,,,,
# Geometric,,,,,
Ln,0.0009,m,Half-width of negative electrode,Manufacturer,
Ls,0.0015,m,Width of separator,Manufacturer,
Lp,0.00125,m,Half-width of positive electrode,Manufacturer,
H,0.014,m,Electrode height,Manufacturer,
W,0.065,m,Electrode depth,Manufacturer,
,,,,,
# Electrical,,,,,
Q,17,A.h,Cell capacity,Manufacturer,
voltage_cutoff_circuit,10.5,V,Voltage cutoff point for a 6-cell battery,-,
n_electrodes_parallel,8,-,Number of electrodes connected in parallel to make a cell,Manufacturer,
n_cells_series,6,-,Number of cells connected in series to make a battery,Manufacturer,
q0,1,-,Initial State of Charge,-,
,,,,,
# Reactions,,,,,
spn,-1,-,s_+ in the negative electrode,,
spp,-3,-,s_+ in the positive electrode,,
,,,,,
# Microstructure,,,,,
Anmax,2.3e6,m-1,Negative electrode surface area density,,
Apmax,23e6,m-1,Positive electrode surface area density,,
epsnmax,0.53,-,Max porosity of negative electrode,,
epssmax,0.92,-,Max porosity of separator,,
epspmax,0.57,,Max porosity of positive electrode,,
Qnmax_hat,3473e6,C.m-3,Negative electrode capacity,,
Qpmax_hat,2745e6,C.m-3,Positive electrode capacity,,
,,,,,
# Electrolyte physical properties,,,,,
cmax,5.65e3,mol.m-3,Maximum electrolyte concentration,,
tpw,0.7,-,Cation transference number,,
Vw,17.5e-6,m3.mol-1,Partial molar volume of water,,
Ve,45e-6,m3.mol-1,Partial molar volume of electrolyte,,
Mw,18.01e-3,m3.mol-1,Molar mass of water,,
,,,,,
# Electrode physical properties,,,,,
VPb,1.82539682539683E-05,m3.mol-1,Molar volume of lead ,,Calculated as () divided by ()
VPbO2,2.54797441364606E-05,m3.mol-1,Molar volume of lead-dioxide,,
VPbSO4,4.81717011128776E-05,m3.mol-1,Molar volume of lead sulfate,,
sigma_n,4.8e6,S.m-1,Conductivity of lead,,
sigma_p,8e4,S.m-1,Conductivity of lead-dioxide,,
d,1e-7,m,Pore size,,
,,,,,
# Interfacial reactions,,,,,
Cdl,0.2,F.m-2,Double-layer capacity,,
U_Pb_ref,-0.294,V,Lead reference OCP vs SHE,,
U_PbO2_ref,1.628,V,Lead-dioxide reference OCP vs SHE,,
U_O2_hat,1.229,V,Oxygen reference OCP vs SHE,,
U_H2_hat,0,V,Hydrogen reference OCP vs SHE,,
