Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative electrode thickness [m],0.0009,Manufacturer,
Separator thickness [m],0.0015,Manufacturer,
Positive electrode thickness [m],0.00125,Manufacturer,
Electrode height [m],0.114,Manufacturer,
Electrode width [m],0.065,Manufacturer,
Negative tab width [m],0.04,,Estimated value
Negative tab centre y-coordinate [m],0.06,,Estimated value
Negative tab centre z-coordinate [m],0.114,Tab at top,
Positive tab width [m],0.04,,Estimated value
Positive tab centre y-coordinate [m],0.147,,Estimated value
Positive tab centre z-coordinate [m],0.114,Tab at top,
,,,
# Electrical,,,
Cell capacity [A.h],17,Manufacturer,
