Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Physical constants,,,
Reference temperature [K],294.85,Room temperature,
,,,
# Macroscale geometry,,,
Negative electrode width [m],0.0009,Manufacturer,
Separator width [m],0.0015,Manufacturer,
Positive electrode width [m],0.00125,Manufacturer,
Electrode height [m],0.114,Manufacturer,
Electrode depth [m],0.065,Manufacturer,
,,,
# Electrical,,,
Cell capacity [A.h],17,Manufacturer,
Number of electrodes connected in parallel to make a cell,8,Manufacturer,
Number of cells connected in series to make a battery,6,Manufacturer,
Lower voltage cut-off [V],1.75,,10.5V across 6-cell battery
Upper voltage cut-off [V],2.42,,14.5V across 6-cell battery
Initial State of Charge,1,-,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],5650,,
Cation transference number,0.7,,
Partial molar volume of water [m3.mol-1],1.75E-05,,
Partial molar volume of anions [m3.mol-1],3.15E-05,,
Partial molar volume of cations [m3.mol-1],1.35E-05,,
Cation stoichiometry,1,,Hydrogen cations
Anion stoichiometry,1,,Hydrogen sulfate anions
Molar mass of water [kg.mol-1],0.01801,,
Molar mass of cations [kg.mol-1],,,Hydrogen cations
Molar mass of anions [kg.mol-1],,,Hydrogen sulfate anions
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],4800000,,Lead
Positive electrode conductivity [S.m-1],80000,,Lead-oxide
Pore size [m],1E-07,,
Maximum porosity of negative electrode,0.53,,
Maximum porosity of separator,0.92,,
Maximum porosity of positive electrode,0.57,,
Molar volume of lead [m3.mol-1],1.82539682539683E-05,,Calculated as () divided by ()
Molar volume of lead-dioxide [m3.mol-1],2.54797441364606E-05,,
Molar volume of lead sulfate [m3.mol-1],4.81717011128776E-05,,
,,,
# Microstructure,,,
Negative electrode surface area density [m-1],2300000,,
Positive electrode surface area density [m-1],23000000,,
Bruggeman coefficient,1.5,,
Negative electrode capacity [C.m-3],3473000000,,
Positive electrode capacity [C.m-3],2745000000,,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Positive electrode cation signed stoichiometry,-3,,
Negative electrode electrons in reaction,2,,
Positive electrode electrons in reaction,2,,
Double-layer capacity [F.m-2],0.2,,
Negative electrode reference exchange-current density [A.m-2],0.06,,
Positive electrode reference exchange-current density [A.m-2],0.004,,
Oxygen reference OCP vs SHE [V],1.229,,
"Ref exchange-current density (O2 reaction, neg electrode) [A.m-2]",2.5e-32,,
"Ref exchange-current density (O2 reaction, pos electrode) [A.m-2]",1.56e-11,,
Hydrogen reference OCP vs SHE [V],0,,
"Ref exchange-current density (H2 reaction, neg electrode) [A.m-2]",2.5e-23,,
"Ref exchange-current density (H2 reactio, pos electrode) [A.m-2]",0,,
,,,
# Temperature,,,
Maximum temperature [K],333.15,,
