Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],215,Chen 2020,graphite
Maximum concentration in negative electrode [mol.m-3],29583,Chen 2020,
Negative electrode diffusivity [m2.s-1],0.58E-15,Chen 2020,
Negative electrode OCP [V],[data]graphite_LGM50_ocp_Chen2020,Chen 2020,
,,,
# Microstructure,,,
Negative electrode porosity,0.25,Chen 2020,
Negative electrode active material volume fraction,0.75,Chen 2020,
Negative particle radius [m],5.86E-6,Chen 2020,
Negative particle distribution in x,1,default,
Negative electrode surface area density [m-1],383959,Chen 2020,
Negative electrode Bruggeman coefficient (electrolyte),2.91,Chen 2020,
Negative electrode Bruggeman coefficient (electrode),1.5,default,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Negative electrode reference exchange-current density [A.m-2(m3.mol)1.5],6.48E-7,Chen 2020,Be careful how we implement BV
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Chen 2020,
Negative electrode double-layer capacity [F.m-2],0.2,,
,,,
# Density,,,
Negative electrode density [kg.m-3],1657,default,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],700,default,
Negative electrode thermal conductivity [W.m-1.K-1],1.7,default,
Negative electrode OCP entropic change [V.K-1],[function]graphite_LGM50_entropic_change_Chen2020,,
,,,
# Activation energies,,,
Reference temperature [K],298.15,25C,
Negative electrode reaction rate,[function]graphite_LGM50_electrolyte_reaction_rate_Chen2020,,
Negative reaction rate activation energy [J.mol-1],35000,Chen 2020,
Negative solid diffusion activation energy [J.mol-1],42770,default,
