Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],100,,
Maximum concentration in negative electrode [mol.m-3],2.87E4,,
Negative electrode diffusivity [m2.s-1],[function]graphite_mcmb2528_diffusivity_Kim2011,,
Negative electrode OCP [V],[function]graphite_ocp_Kim2011,
,,,
# Microstructure,,,
Negative electrode porosity,0.4,,
Negative electrode active material volume fraction,0.51,,
Negative particle radius [m],5.083E-7,,
Negative particle distribution in x,1,,
Negative electrode surface area density [m-1],3.01E6,,
Negative electrode Bruggeman coefficient (electrolyte),2,,
Negative electrode Bruggeman coefficient (electrode),2,,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,,
Negative electrode double-layer capacity [F.m-2],0.2,Not reported in Kim2011,
,,,
# Density,,,
Negative electrode density [kg.m-3],2136.43638,1657 * 1.28934,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],700,,
Negative electrode thermal conductivity [W.m-1.K-1],1.1339,1.7 * 0.667,
Negative electrode OCP entropic change [V.K-1],[function]graphite_entropic_change_NULL,,
,,,
# Activation energies,,,
Reference temperature [K],298.15,25C,
Negative electrode reaction rate,[function]graphite_electrolyte_reaction_rate_Kim2011,,
Negative reaction rate activation energy [J.mol-1],3E4,,
Negative solid diffusion activation energy [J.mol-1],4E3,,
