Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],100,,
Maximum concentration in positive electrode [mol.m-3],,,
Positive electrode diffusivity [m2.s-1],,,
Positive electrode OCP [V],,,
,,,
# Microstructure,,,
Positive electrode porosity,0.331,,
Positive electrode active material volume fraction,0.518,,
Positive particle radius [m],5.3E-06,,
Positive particle distribution in x,1,,
Positive electrode surface area density [m-1],,,
Positive electrode Bruggeman coefficient (electrolyte),1.5,,
Positive electrode Bruggeman coefficient (electrode),1.5,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Positive electrode charge transfer coefficient,0.5,,
Positive electrode double-layer capacity [F.m-2],0.2,,
