Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],10,Scott Moura FastDFN,lithium cobalt oxide
Maximum concentration in positive electrode [mol.m-3],51217.9257309275,Scott Moura FastDFN,
Positive electrode diffusion coefficient [m2.s-1],1E-13,Scott Moura FastDFN,
Positive electrode diffusivity [m2.s-1],[function]lico2_diffusivity_Dualfoil1998,,
Positive electrode OCP [V],[function]lico2_ocp_Dualfoil1998,
,,,
# Microstructure,,,
Positive electrode porosity,0.3,Scott Moura FastDFN,
Positive particle radius [m],1E-05,Scott Moura FastDFN,
Positive electrode surface area density [m-1],150000,Scott Moura FastDFN,
Positive electrode Bruggeman coefficient,1.5,Scott Moura FastDFN,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Positive electrode reference exchange-current density [A.m-2(m3.mol)1.5],6E-07,Scott Moura FastDFN,Be careful how we implement BV
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,Scott Moura FastDFN,
Positive electrode double-layer capacity [F.m-2],0.2,,
,,,
# Density,,,
Positive electrode density [kg.m-3],3262,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],700,,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,,
Positive electrode OCP entropic change [V.K-1],[function]lico2_entropic_change_Moura2016,,
,,,
# Thermal parameters,,,
Heat transfer coefficient [W.m-2.K-1],10,,
,,,
# Activation energies,,,
Positive electrode reaction rate,[function]lico2_electrolyte_reaction_rate_Dualfoil1998,,
Positive reaction rate activation energy [J.mol-1],39570,,
Positive solid diffusion activation energy [J.mol-1],18550,,
,,,
# Initial Conditions,,,
Initial concentration in positive electrode [mol.m-3],30730.7554385565,Scott Moura FastDFN,
