Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],0.18,Chen 2020,
Maximum concentration in positive electrode [mol.m-3],50483,Chen 2020,
Positive electrode diffusivity [m2.s-1],1.37E-15,Chen 2020,
Positive electrode OCP [V],[data]nmc_LGM50_ocp_Chen2020,Chen 2020,
,,,
# Microstructure,,,
Positive electrode porosity,0.335,Chen 2020,
Positive electrode active material volume fraction,0.665,Chen 2020,
Positive particle radius [m],5.22E-6,Chen 2020,
Positive particle distribution in x,1,default,
Positive electrode surface area density [m-1],382184,Chen 2020,
Positive electrode Bruggeman coefficient (electrolyte),2.43,Chen 2020,
Positive electrode Bruggeman coefficient (electrode),1.5,default,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,Chen 2020,
Positive electrode double-layer capacity [F.m-2],0.2,,
,,,
# Density,,,
Positive electrode density [kg.m-3],3262,default,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],700,default,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,default,
Positive electrode OCP entropic change [V.K-1],[function]nmc_LGM50_entropic_change_Chen2020,,
,,,
# Activation energies,,,
Reference temperature [K],298.15,25C,
Positive electrode reaction rate,[function]nmc_LGM50_electrolyte_reaction_rate_Chen2020,,
Positive reaction rate activation energy [J.mol-1],17800,Chen 2020,
Positive solid diffusion activation energy [J.mol-1],18550,default,
