Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1000,Scott Moura FastDFN,
Cation transference number,0.4,Scott Moura FastDFN,
Typical lithium ion diffusivity [m2.s-1],5.34E-10,Scott Moura FastDFN,
Electrolyte diffusivity [m2.s-1],[function]electrolyte_diffusivity_Capiglia1999,, 
Electrolyte conductivity [S.m-1],[function]electrolyte_conductivity_Capiglia1999,, 
,,,
# Activation energies,,,
Electrolyte diffusion activation energy [J.mol-1],37040,,
Electrolyte conductivity activation energy [J.mol-1],34700,,
,,,
# Initial Conditions,,,
Initial concentration in electrolyte [mol.m-3],1000,Scott Moura FastDFN,
