Temperature [degC],Current [A],SoC,C1 [F]
-20,-400,0.0,8898.358573585827
-20,-400,0.05,9306.408805841977
-20,-400,0.1,9704.585692669109
-20,-400,0.15000000000000002,10085.32357947827
-20,-400,0.2,10440.312405831746
-20,-400,0.25,10760.805716894489
-20,-400,0.30000000000000004,11038.040215325931
-20,-400,0.35000000000000003,11263.745029855478
-20,-400,0.4,11430.697772392863
-20,-400,0.45,11533.266346621709
-20,-400,0.5,11567.866145661577
-20,-400,0.55,11533.266346621707
-20,-400,0.6000000000000001,11430.697772392863
-20,-400,0.65,11263.745029855478
-20,-400,0.7000000000000001,11038.040215325931
-20,-400,0.75,10760.805716894489
-20,-400,0.8,10440.312405831746
-20,-400,0.8500000000000001,10085.32357947827
-20,-400,0.9,9704.585692669109
-20,-400,0.9500000000000001,9306.408805841975
-20,-400,1.0,8898.358573585827
-20,-350,0.0,8941.76520077405
-20,-350,0.05,9351.805921968036
-20,-350,0.1,9751.925135072373
-20,-350,0.15000000000000002,10134.520279865968
-20,-350,0.2,10491.240759030929
-20,-350,0.25,10813.297452098856
-20,-350,0.30000000000000004,11091.884313937278
-20,-350,0.35000000000000003,11318.690127562093
-20,-350,0.4,11486.457273721608
-20,-350,0.45,11589.52618245889
-20,-350,0.5,11624.294761006267
-20,-350,0.55,11589.526182458889
-20,-350,0.6000000000000001,11486.457273721608
-20,-350,0.65,11318.690127562093
-20,-350,0.7000000000000001,11091.884313937278
-20,-350,0.75,10813.297452098856
-20,-350,0.8,10491.240759030929
-20,-350,0.8500000000000001,10134.520279865968
-20,-350,0.9,9751.925135072373
-20,-350,0.9500000000000001,9351.805921968034
-20,-350,1.0,8941.76520077405
-20,-300,0.0,8985.597383130786
-20,-300,0.05,9397.648107860035
-20,-300,0.1,9799.72868965606
-20,-300,0.15000000000000002,10184.199300845705
-20,-300,0.2,10542.66840981049
-20,-300,0.25,10866.303812158163
-20,-300,0.30000000000000004,11146.256295868345
-20,-300,0.35000000000000003,11374.1739026972
-20,-300,0.4,11542.763436828087
-20,-300,0.45,11646.33758531408
-20,-300,0.5,11681.276598070024
-20,-300,0.55,11646.337585314079
-20,-300,0.6000000000000001,11542.763436828087
-20,-300,0.65,11374.1739026972
-20,-300,0.7000000000000001,11146.256295868345
-20,-300,0.75,10866.303812158163
-20,-300,0.8,10542.66840981049
-20,-300,0.8500000000000001,10184.199300845705
-20,-300,0.9,9799.72868965606
-20,-300,0.9500000000000001,9397.648107860034
-20,-300,1.0,8985.597383130786
-20,-250,0.0,9029.861409648673
-20,-250,0.05,9443.941940903682
-20,-250,0.1,9848.00321522087
-20,-250,0.15000000000000002,10234.367770308
-20,-250,0.2,10594.602736952414
-20,-250,0.25,10919.832402365837
-20,-250,0.30000000000000004,11201.163962350454
-20,-250,0.35000000000000003,11430.20431601098
-20,-250,0.4,11599.624340457784
-20,-250,0.45,11703.708706424004
-20,-250,0.5,11738.819832543275
-20,-250,0.55,11703.708706424002
-20,-250,0.6000000000000001,11599.624340457784
-20,-250,0.65,11430.20431601098
-20,-250,0.7000000000000001,11201.163962350454
-20,-250,0.75,10919.832402365837
-20,-250,0.8,10594.602736952414
-20,-250,0.8500000000000001,10234.367770308
-20,-250,0.9,9848.00321522087
-20,-250,0.9500000000000001,9443.94194090368
-20,-250,1.0,9029.861409648673
-20,-200,0.0,9074.563693854854
-20,-200,0.05,9490.694128729936
-20,-200,0.1,9896.75570638533
-20,-200,0.15000000000000002,10285.032957289719
-20,-200,0.2,10647.051265353168
-20,-200,0.25,10973.890978615173
-20,-200,0.30000000000000004,11256.615269094762
-20,-200,0.35000000000000003,11486.789485892221
-20,-200,0.4,11657.048223331334
-20,-200,0.45,11761.647858436001
-20,-200,0.5,11796.93280201131
-20,-200,0.55,11761.647858435997
-20,-200,0.6000000000000001,11657.048223331334
-20,-200,0.65,11486.789485892221
-20,-200,0.7000000000000001,11256.615269094762
-20,-200,0.75,10973.890978615173
-20,-200,0.8,10647.051265353168
-20,-200,0.8500000000000001,10285.032957289719
-20,-200,0.9,9896.75570638533
-20,-200,0.9500000000000001,9490.694128729936
-20,-200,1.0,9074.563693854854
-20,-150,0.0,9119.710776908858
-20,-150,0.05,9537.911512454963
-20,-150,0.1,9945.993296964361
-20,-150,0.15000000000000002,10336.202275485193
-20,-150,0.2,10700.021669658408
-20,-150,0.25,11028.487451145598
-20,-150,0.30000000000000004,11312.618330135036
-20,-150,0.35000000000000003,11543.937692289697
-20,-150,0.4,11715.043488124029
-20,-150,0.45,11820.163519423248
-20,-150,0.5,11855.624009981519
-20,-150,0.55,11820.163519423244
-20,-150,0.6000000000000001,11715.043488124029
-20,-150,0.65,11543.937692289697
-20,-150,0.7000000000000001,11312.618330135036
-20,-150,0.75,11028.487451145598
-20,-150,0.8,10700.021669658408
-20,-150,0.8500000000000001,10336.202275485193
-20,-150,0.9,9945.993296964361
-20,-150,0.9500000000000001,9537.91151245496
-20,-150,1.0,9119.710776908858
-20,-100,0.0,9165.309330793401
