Temperature [degC],Current [A],SoC,R0 [Ohm]
-20,-400,0.0,0.002247605536977195
-20,-400,0.05,0.0021490566788174253
-20,-400,0.1,0.0020608813846744738
-20,-400,0.15000000000000002,0.001983079654548341
-20,-400,0.2,0.0019156514884390249
-20,-400,0.25,0.0018585968863465267
-20,-400,0.30000000000000004,0.0018119158482708465
-20,-400,0.35000000000000003,0.001775608374211984
-20,-400,0.4,0.0017496744641699394
-20,-400,0.45,0.001734114118144713
-20,-400,0.5,0.0017289273361363038
-20,-400,0.55,0.0017341141181447133
-20,-400,0.6000000000000001,0.0017496744641699394
-20,-400,0.65,0.001775608374211984
-20,-400,0.7000000000000001,0.0018119158482708465
-20,-400,0.75,0.0018585968863465267
-20,-400,0.8,0.0019156514884390249
-20,-400,0.8500000000000001,0.001983079654548341
-20,-400,0.9,0.0020608813846744738
-20,-400,0.9500000000000001,0.0021490566788174258
-20,-400,1.0,0.002247605536977195
-20,-350,0.0,0.0022366948304870147
-20,-350,0.05,0.0021386243648425832
-20,-350,0.1,0.002050877106108093
-20,-350,0.15000000000000002,0.0019734530542835425
-20,-350,0.2,0.001906352209368932
-20,-350,0.25,0.0018495745713642616
-20,-350,0.30000000000000004,0.0018031201402695315
-20,-350,0.35000000000000003,0.001766988916084741
-20,-350,0.4,0.001741180898809891
-20,-350,0.45,0.001725696088444981
-20,-350,0.5,0.001720534484990011
-20,-350,0.55,0.0017256960884449815
-20,-350,0.6000000000000001,0.001741180898809891
-20,-350,0.65,0.001766988916084741
-20,-350,0.7000000000000001,0.0018031201402695315
-20,-350,0.75,0.0018495745713642616
-20,-350,0.8,0.001906352209368932
-20,-350,0.8500000000000001,0.0019734530542835425
-20,-350,0.9,0.002050877106108093
-20,-350,0.9500000000000001,0.0021386243648425837
-20,-350,1.0,0.0022366948304870147
-20,-300,0.0,0.0022257841239968343
-20,-300,0.05,0.0021281920508677415
-20,-300,0.1,0.0020408728275417122
-20,-300,0.15000000000000002,0.001963826454018745
-20,-300,0.2,0.00189705293029884
-20,-300,0.25,0.001840552256381997
-20,-300,0.30000000000000004,0.0017943244322682168
-20,-300,0.35000000000000003,0.0017583694579574986
-20,-300,0.4,0.001732687333449843
-20,-300,0.45,0.0017172780587452496
-20,-300,0.5,0.0017121416338437183
-20,-300,0.55,0.00171727805874525
-20,-300,0.6000000000000001,0.001732687333449843
-20,-300,0.65,0.0017583694579574986
-20,-300,0.7000000000000001,0.0017943244322682168
-20,-300,0.75,0.001840552256381997
-20,-300,0.8,0.00189705293029884
-20,-300,0.8500000000000001,0.001963826454018745
-20,-300,0.9,0.0020408728275417122
-20,-300,0.9500000000000001,0.002128192050867742
-20,-300,1.0,0.0022257841239968343
-20,-250,0.0,0.002214873417506653
-20,-250,0.05,0.0021177597368928994
-20,-250,0.1,0.002030868548975331
-20,-250,0.15000000000000002,0.001954199853753947
-20,-250,0.2,0.0018877536512287474
-20,-250,0.25,0.0018315299413997324
-20,-250,0.30000000000000004,0.0017855287242669019
-20,-250,0.35000000000000003,0.001749749999830256
-20,-250,0.4,0.0017241937680897946
-20,-250,0.45,0.0017088600290455177
-20,-250,0.5,0.0017037487826974255
-20,-250,0.55,0.0017088600290455181
-20,-250,0.6000000000000001,0.0017241937680897946
-20,-250,0.65,0.001749749999830256
-20,-250,0.7000000000000001,0.0017855287242669019
-20,-250,0.75,0.0018315299413997324
-20,-250,0.8,0.0018877536512287474
-20,-250,0.8500000000000001,0.001954199853753947
-20,-250,0.9,0.002030868548975331
-20,-250,0.9500000000000001,0.0021177597368929
-20,-250,1.0,0.002214873417506653
-20,-200,0.0,0.002203962711016473
-20,-200,0.05,0.002107327422918058
-20,-200,0.1,0.0020208642704089503
-20,-200,0.15000000000000002,0.0019445732534891496
-20,-200,0.2,0.0018784543721586553
-20,-200,0.25,0.001822507626417468
-20,-200,0.30000000000000004,0.0017767330162655874
-20,-200,0.35000000000000003,0.0017411305417030136
-20,-200,0.4,0.0017157002027297465
-20,-200,0.45,0.0017004419993457865
-20,-200,0.5,0.001695355931551133
-20,-200,0.55,0.001700441999345787
-20,-200,0.6000000000000001,0.0017157002027297465
-20,-200,0.65,0.0017411305417030136
-20,-200,0.7000000000000001,0.0017767330162655874
-20,-200,0.75,0.001822507626417468
-20,-200,0.8,0.0018784543721586553
-20,-200,0.8500000000000001,0.0019445732534891496
-20,-200,0.9,0.0020208642704089503
-20,-200,0.9500000000000001,0.0021073274229180586
-20,-200,1.0,0.002203962711016473
-20,-150,0.0,0.002193052004526292
-20,-150,0.05,0.002096895108943216
-20,-150,0.1,0.002010859991842569
-20,-150,0.15000000000000002,0.0019349466532243517
-20,-150,0.2,0.0018691550930885628
-20,-150,0.25,0.0018134853114352028
-20,-150,0.30000000000000004,0.0017679373082642722
-20,-150,0.35000000000000003,0.0017325110835757704
-20,-150,0.4,0.001707206637369698
-20,-150,0.45,0.0016920239696460546
-20,-150,0.5,0.0016869630804048398
-20,-150,0.55,0.001692023969646055
-20,-150,0.6000000000000001,0.001707206637369698
-20,-150,0.65,0.0017325110835757704
-20,-150,0.7000000000000001,0.0017679373082642722
-20,-150,0.75,0.0018134853114352028
-20,-150,0.8,0.0018691550930885628
-20,-150,0.8500000000000001,0.0019349466532243517
-20,-150,0.9,0.002010859991842569
-20,-150,0.9500000000000001,0.0020968951089432165
-20,-150,1.0,0.002193052004526292
-20,-100,0.0,0.0021821412980361117
-20,-100,0.05,0.0020864627949683744
-20,-100,0.1,0.0020008557132761883
-20,-100,0.15000000000000002,0.001925320052959554
-20,-100,0.2,0.0018598558140184706
-20,-100,0.25,0.0018044629964529383
-20,-100,0.30000000000000004,0.0017591416002629577
-20,-100,0.35000000000000003,0.001723891625448528
-20,-100,0.4,0.0016987130720096501
-20,-100,0.45,0.0016836059399463232
-20,-100,0.5,0.0016785702292585474
-20,-100,0.55,0.0016836059399463234
-20,-100,0.6000000000000001,0.0016987130720096501
-20,-100,0.65,0.001723891625448528
-20,-100,0.7000000000000001,0.0017591416002629577
-20,-100,0.75,0.0018044629964529383
-20,-100,0.8,0.0018598558140184706
-20,-100,0.8500000000000001,0.001925320052959554
-20,-100,0.9,0.0020008557132761883
-20,-100,0.9500000000000001,0.0020864627949683744
-20,-100,1.0,0.0021821412980361117
-20,-50,0.0,0.0021712305915459313
-20,-50,0.05,0.0020760304809935323
-20,-50,0.1,0.0019908514347098073
-20,-50,0.15000000000000002,0.0019156934526947562
-20,-50,0.2,0.001850556534948378
-20,-50,0.25,0.0017954406814706737
-20,-50,0.30000000000000004,0.0017503458922616428
-20,-50,0.35000000000000003,0.0017152721673212854
-20,-50,0.4,0.0016902195066496016
-20,-50,0.45,0.0016751879102465915
-20,-50,0.5,0.0016701773781122545
-20,-50,0.55,0.001675187910246592
-20,-50,0.6000000000000001,0.0016902195066496016
-20,-50,0.65,0.0017152721673212854
-20,-50,0.7000000000000001,0.0017503458922616428
-20,-50,0.75,0.0017954406814706737
-20,-50,0.8,0.001850556534948378
-20,-50,0.8500000000000001,0.0019156934526947562
-20,-50,0.9,0.0019908514347098073
-20,-50,0.9500000000000001,0.0020760304809935327
-20,-50,1.0,0.0021712305915459313
-20,0,0.0,0.002160319885055751
-20,0,0.05,0.00206559816701869
-20,0,0.1,0.0019808471561434263
-20,0,0.15000000000000002,0.0019060668524299583
-20,0,0.2,0.001841257255878286
-20,0,0.25,0.0017864183664884088
-20,0,0.30000000000000004,0.001741550184260328
-20,0,0.35000000000000003,0.0017066527091940426
-20,0,0.4,0.0016817259412895535
-20,0,0.45,0.0016667698805468596
-20,0,0.5,0.0016617845269659617
-20,0,0.55,0.00166676988054686
-20,0,0.6000000000000001,0.0016817259412895535
-20,0,0.65,0.0017066527091940426
-20,0,0.7000000000000001,0.001741550184260328
-20,0,0.75,0.0017864183664884088
-20,0,0.8,0.001841257255878286
-20,0,0.8500000000000001,0.0019060668524299583
-20,0,0.9,0.0019808471561434263
-20,0,0.9500000000000001,0.0020655981670186906
-20,0,1.0,0.002160319885055751
-20,50,0.0,0.0021712305915459313
-20,50,0.05,0.0020760304809935323
-20,50,0.1,0.0019908514347098073
-20,50,0.15000000000000002,0.0019156934526947562
-20,50,0.2,0.001850556534948378
-20,50,0.25,0.0017954406814706737
-20,50,0.30000000000000004,0.0017503458922616428
-20,50,0.35000000000000003,0.0017152721673212854
-20,50,0.4,0.0016902195066496016
-20,50,0.45,0.0016751879102465915
-20,50,0.5,0.0016701773781122545
-20,50,0.55,0.001675187910246592
-20,50,0.6000000000000001,0.0016902195066496016
-20,50,0.65,0.0017152721673212854
-20,50,0.7000000000000001,0.0017503458922616428
-20,50,0.75,0.0017954406814706737
-20,50,0.8,0.001850556534948378
-20,50,0.8500000000000001,0.0019156934526947562
-20,50,0.9,0.0019908514347098073
-20,50,0.9500000000000001,0.0020760304809935327
-20,50,1.0,0.0021712305915459313
-20,100,0.0,0.0021821412980361117
-20,100,0.05,0.0020864627949683744
-20,100,0.1,0.0020008557132761883
-20,100,0.15000000000000002,0.001925320052959554
-20,100,0.2,0.0018598558140184706
-20,100,0.25,0.0018044629964529383
-20,100,0.30000000000000004,0.0017591416002629577
-20,100,0.35000000000000003,0.001723891625448528
-20,100,0.4,0.0016987130720096501
-20,100,0.45,0.0016836059399463232
-20,100,0.5,0.0016785702292585474
-20,100,0.55,0.0016836059399463234
-20,100,0.6000000000000001,0.0016987130720096501
-20,100,0.65,0.001723891625448528
-20,100,0.7000000000000001,0.0017591416002629577
-20,100,0.75,0.0018044629964529383
-20,100,0.8,0.0018598558140184706
-20,100,0.8500000000000001,0.001925320052959554
-20,100,0.9,0.0020008557132761883
-20,100,0.9500000000000001,0.0020864627949683744
-20,100,1.0,0.0021821412980361117
-20,150,0.0,0.002193052004526292
-20,150,0.05,0.002096895108943216
-20,150,0.1,0.002010859991842569
-20,150,0.15000000000000002,0.0019349466532243517
-20,150,0.2,0.0018691550930885628
-20,150,0.25,0.0018134853114352028
-20,150,0.30000000000000004,0.0017679373082642722
-20,150,0.35000000000000003,0.0017325110835757704
-20,150,0.4,0.001707206637369698
-20,150,0.45,0.0016920239696460546
-20,150,0.5,0.0016869630804048398
-20,150,0.55,0.001692023969646055
-20,150,0.6000000000000001,0.001707206637369698
-20,150,0.65,0.0017325110835757704
-20,150,0.7000000000000001,0.0017679373082642722
-20,150,0.75,0.0018134853114352028
-20,150,0.8,0.0018691550930885628
-20,150,0.8500000000000001,0.0019349466532243517
-20,150,0.9,0.002010859991842569
-20,150,0.9500000000000001,0.0020968951089432165
-20,150,1.0,0.002193052004526292
-20,200,0.0,0.002203962711016473
-20,200,0.05,0.002107327422918058
-20,200,0.1,0.0020208642704089503
-20,200,0.15000000000000002,0.0019445732534891496
-20,200,0.2,0.0018784543721586553
-20,200,0.25,0.001822507626417468
-20,200,0.30000000000000004,0.0017767330162655874
-20,200,0.35000000000000003,0.0017411305417030136
-20,200,0.4,0.0017157002027297465
-20,200,0.45,0.0017004419993457865
-20,200,0.5,0.001695355931551133
-20,200,0.55,0.001700441999345787
-20,200,0.6000000000000001,0.0017157002027297465
-20,200,0.65,0.0017411305417030136
-20,200,0.7000000000000001,0.0017767330162655874
-20,200,0.75,0.001822507626417468
-20,200,0.8,0.0018784543721586553
-20,200,0.8500000000000001,0.0019445732534891496
-20,200,0.9,0.0020208642704089503
-20,200,0.9500000000000001,0.0021073274229180586
-20,200,1.0,0.002203962711016473
-20,250,0.0,0.002214873417506653
-20,250,0.05,0.0021177597368928994
-20,250,0.1,0.002030868548975331
-20,250,0.15000000000000002,0.001954199853753947
-20,250,0.2,0.0018877536512287474
-20,250,0.25,0.0018315299413997324
-20,250,0.30000000000000004,0.0017855287242669019
-20,250,0.35000000000000003,0.001749749999830256
-20,250,0.4,0.0017241937680897946
-20,250,0.45,0.0017088600290455177
-20,250,0.5,0.0017037487826974255
-20,250,0.55,0.0017088600290455181
-20,250,0.6000000000000001,0.0017241937680897946
-20,250,0.65,0.001749749999830256
-20,250,0.7000000000000001,0.0017855287242669019
-20,250,0.75,0.0018315299413997324
-20,250,0.8,0.0018877536512287474
-20,250,0.8500000000000001,0.001954199853753947
-20,250,0.9,0.002030868548975331
-20,250,0.9500000000000001,0.0021177597368929
-20,250,1.0,0.002214873417506653
-20,300,0.0,0.0022257841239968343
-20,300,0.05,0.0021281920508677415
-20,300,0.1,0.0020408728275417122
-20,300,0.15000000000000002,0.001963826454018745
-20,300,0.2,0.00189705293029884
-20,300,0.25,0.001840552256381997
-20,300,0.30000000000000004,0.0017943244322682168
-20,300,0.35000000000000003,0.0017583694579574986
-20,300,0.4,0.001732687333449843
-20,300,0.45,0.0017172780587452496
-20,300,0.5,0.0017121416338437183
-20,300,0.55,0.00171727805874525
-20,300,0.6000000000000001,0.001732687333449843
-20,300,0.65,0.0017583694579574986
-20,300,0.7000000000000001,0.0017943244322682168
-20,300,0.75,0.001840552256381997
-20,300,0.8,0.00189705293029884
-20,300,0.8500000000000001,0.001963826454018745
-20,300,0.9,0.0020408728275417122
-20,300,0.9500000000000001,0.002128192050867742
-20,300,1.0,0.0022257841239968343
-20,350,0.0,0.0022366948304870147
-20,350,0.05,0.0021386243648425832
-20,350,0.1,0.002050877106108093
-20,350,0.15000000000000002,0.0019734530542835425
-20,350,0.2,0.001906352209368932
-20,350,0.25,0.0018495745713642616
-20,350,0.30000000000000004,0.0018031201402695315
-20,350,0.35000000000000003,0.001766988916084741
-20,350,0.4,0.001741180898809891
-20,350,0.45,0.001725696088444981
-20,350,0.5,0.001720534484990011
-20,350,0.55,0.0017256960884449815
-20,350,0.6000000000000001,0.001741180898809891
-20,350,0.65,0.001766988916084741
-20,350,0.7000000000000001,0.0018031201402695315
-20,350,0.75,0.0018495745713642616
-20,350,0.8,0.001906352209368932
-20,350,0.8500000000000001,0.0019734530542835425
-20,350,0.9,0.002050877106108093
-20,350,0.9500000000000001,0.0021386243648425837
-20,350,1.0,0.0022366948304870147
-20,400,0.0,0.002247605536977195
-20,400,0.05,0.0021490566788174253
-20,400,0.1,0.0020608813846744738
-20,400,0.15000000000000002,0.001983079654548341
-20,400,0.2,0.0019156514884390249
-20,400,0.25,0.0018585968863465267
-20,400,0.30000000000000004,0.0018119158482708465
-20,400,0.35000000000000003,0.001775608374211984
-20,400,0.4,0.0017496744641699394
-20,400,0.45,0.001734114118144713
-20,400,0.5,0.0017289273361363038
-20,400,0.55,0.0017341141181447133
-20,400,0.6000000000000001,0.0017496744641699394
-20,400,0.65,0.001775608374211984
-20,400,0.7000000000000001,0.0018119158482708465
-20,400,0.75,0.0018585968863465267
-20,400,0.8,0.0019156514884390249
-20,400,0.8500000000000001,0.001983079654548341
-20,400,0.9,0.0020608813846744738
-20,400,0.9500000000000001,0.0021490566788174258
-20,400,1.0,0.002247605536977195
-20,450,0.0,0.0022585162434673755
-20,450,0.05,0.0021594889927922674
-20,450,0.1,0.0020708856632408548
-20,450,0.15000000000000002,0.0019927062548131384
-20,450,0.2,0.001924950767509117
-20,450,0.25,0.0018676192013287911
-20,450,0.30000000000000004,0.001820711556272161
-20,450,0.35000000000000003,0.0017842278323392264
-20,450,0.4,0.0017581680295299879
-20,450,0.45,0.0017425321478444441
-20,450,0.5,0.0017373201872825962
-20,450,0.55,0.0017425321478444446
-20,450,0.6000000000000001,0.0017581680295299879
-20,450,0.65,0.0017842278323392264
-20,450,0.7000000000000001,0.001820711556272161
-20,450,0.75,0.0018676192013287911
-20,450,0.8,0.001924950767509117
-20,450,0.8500000000000001,0.0019927062548131384
-20,450,0.9,0.0020708856632408548
-20,450,0.9500000000000001,0.0021594889927922674
-20,450,1.0,0.0022585162434673755
-20,500,0.0,0.0022694269499575564
-20,500,0.05,0.0021699213067671095
-20,500,0.1,0.0020808899418072358
-20,500,0.15000000000000002,0.0020023328550779363
-20,500,0.2,0.0019342500465792094
-20,500,0.25,0.0018766415163110558
-20,500,0.30000000000000004,0.0018295072642734761
-20,500,0.35000000000000003,0.0017928472904664692
-20,500,0.4,0.0017666615948900362
-20,500,0.45,0.001750950177544176
-20,500,0.5,0.0017457130384288895
-20,500,0.55,0.0017509501775441764
-20,500,0.6000000000000001,0.0017666615948900362
-20,500,0.65,0.0017928472904664692
-20,500,0.7000000000000001,0.0018295072642734761
-20,500,0.75,0.0018766415163110558
-20,500,0.8,0.0019342500465792094
-20,500,0.8500000000000001,0.0020023328550779363
-20,500,0.9,0.0020808899418072358
-20,500,0.9500000000000001,0.0021699213067671095
-20,500,1.0,0.0022694269499575564
-20,550,0.0,0.0022803376564477363
-20,550,0.05,0.002180353620741951
-20,550,0.1,0.0020908942203736163
-20,550,0.15000000000000002,0.002011959455342734
-20,550,0.2,0.0019435493256493017
-20,550,0.25,0.0018856638312933207
-20,550,0.30000000000000004,0.0018383029722747906
-20,550,0.35000000000000003,0.0018014667485937116
-20,550,0.4,0.0017751551602500843
-20,550,0.45,0.0017593682072439077
-20,550,0.5,0.001754105889575182
-20,550,0.55,0.0017593682072439079
-20,550,0.6000000000000001,0.0017751551602500843
-20,550,0.65,0.0018014667485937116
-20,550,0.7000000000000001,0.0018383029722747906
-20,550,0.75,0.0018856638312933207
-20,550,0.8,0.0019435493256493017
-20,550,0.8500000000000001,0.002011959455342734
-20,550,0.9,0.0020908942203736163
-20,550,0.9500000000000001,0.0021803536207419512
-20,550,1.0,0.0022803376564477363
-20,600,0.0,0.0022912483629379176
-20,600,0.05,0.002190785934716793
-20,600,0.1,0.0021008984989399977
-20,600,0.15000000000000002,0.0020215860556075317
-20,600,0.2,0.0019528486047193942
-20,600,0.25,0.0018946861462755854
-20,600,0.30000000000000004,0.0018470986802761056
-20,600,0.35000000000000003,0.0018100862067209546
-20,600,0.4,0.0017836487256101326
-20,600,0.45,0.0017677862369436395
-20,600,0.5,0.0017624987407214748
-20,600,0.55,0.0017677862369436398
-20,600,0.6000000000000001,0.0017836487256101326
-20,600,0.65,0.0018100862067209546
-20,600,0.7000000000000001,0.0018470986802761056
-20,600,0.75,0.0018946861462755854
