Positive particle concentration [mol.m-3],Positive electrode difusivity [m2.s-1]
131.578947,2.51E-15
592.105263,1.71E-15
1052.631579,1.16E-15
1535.087719,7.41E-16
2017.54386,4.61E-16
2521.929825,2.62E-16
2982.45614,1.56E-16
3355.263158,9.92E-17
3618.421053,7.92E-17
3925.438596,6.61E-17
4254.385965,5.65E-17
4495.614035,5.53E-17
4890.350877,6.07E-17
5263.157895,6.65E-17
5679.824561,7.64E-17
6096.491228,8.38E-17
6578.947368,8.79E-17
7039.473684,8.81E-17
7587.719298,8.44E-17
8201.754386,7.52E-17
8837.719298,6.46E-17
9495.614035,5.05E-17
10109.64912,4.13E-17
10657.89474,3.45E-17
11184.21053,3.16E-17
11776.31579,3.17E-17
12346.49123,3.40E-17
12828.94737,3.57E-17
13333.33333,3.66E-17
13750,3.58E-17
14254.38596,3.35E-17
14649.12281,2.74E-17
15000,2.29E-17
15197.36842,1.95E-17
