Negative particle stoichiometry,Negative electrode open-circuit potential [V]
0.001436794,1.318963892
0.001643334,1.21982507
0.00811789,1.112038542
0.01027308,1.077546494
0.035479844,0.978299913
0.060758448,0.844570264
0.090185795,0.719443422
0.127982471,0.577039126
0.169900951,0.456168787
0.232688871,0.317967115
0.320485995,0.1753473
0.403954777,0.110332349
0.483167055,0.088439192
0.574861484,0.075112923
0.687380455,0.066007238
0.799899424,0.056901553
0.891593855,0.043575284
0.960353451,0.038968561
0.987446008,0.034541438
0.995806356,0.021574368
