# Based on Cell29 1.5C chg & dichg cycle,
# time [s],current [A]
0,-7.4826
10,-7.5002
20,-7.5003
30,-7.5002
40,-7.4998
50,-7.4994
60,-7.5009
70,-7.4994
80,-7.4998
90,-7.4998
100,-7.4994
110,-7.5
120,-7.4998
130,-7.4998
140,-7.4996
150,-7.4994
160,-7.5
170,-7.5
180,-7.5003
190,-7.4998
200,-7.4998
210,-7.5
220,-7.5002
230,-7.5002
240,-7.4992
250,-7.4996
260,-7.4998
270,-7.4998
280,-7.5002
290,-7.4994
300,-7.4998
310,-7.5
320,-7.5
330,-7.4994
340,-7.5009
350,-7.4992
360,-7.4996
370,-7.4992
380,-7.5
390,-7.5005
400,-7.5
410,-7.5007
420,-7.4998
430,-7.5005
440,-7.5
450,-7.4996
460,-7.5007
470,-7.4996
480,-7.5
490,-7.5
500,-7.5009
510,-7.4998
520,-7.4998
530,-7.5002
540,-7.5
550,-7.5002
560,-7.4996
570,-7.5007
580,-7.5002
590,-7.5
600,-7.5005
610,-7.4996
620,-7.4998
630,-7.5003
640,-7.4998
650,-7.5003
660,-7.5
670,-7.5
680,-7.5002
690,-7.5003
700,-7.4994
710,-7.4996
720,-7.5002
730,-7.5003
740,-7.5005
750,-7.4998
760,-7.5002
770,-7.4998
780,-7.5002
790,-7.5003
800,-7.4992
810,-7.5002
820,-7.5007
830,-7.5002
840,-7.4998
850,-7.5
860,-7.5002
870,-7.5
880,-7.5002
890,-7.499
900,-7.4996
910,-7.5002
920,-7.5005
930,-7.4994
940,-7.5
950,-7.5
960,-7.4994
970,-7.5
980,-7.4996
990,-7.5003
1000,-7.4994
1010,-7.5002
1020,-7.5003
1030,-7.4998
1040,-7.5002
1050,-7.4986
1060,-7.5002
1070,-7.4996
1080,-7.5
1090,-7.499
1100,-7.5003
1110,-7.5007
1120,-7.4994
1130,-7.5009
1140,-7.5
1150,-7.5002
1160,-7.5003
1170,-7.4996
1180,-7.4994
1190,-7.4996
1200,-7.5002
1210,-7.4996
1220,-7.5005
1230,-7.5002
1240,-7.4998
1250,-7.4998
1260,-7.5005
1270,-7.5005
1280,-7.4998
1290,-7.5003
1300,-7.5002
1310,-7.5003
1320,-7.5
1330,-7.4998
1340,-7.5
1350,-7.4994
1360,-7.4994
1370,-7.5002
1380,-7.4998
1390,-7.4998
1400,-7.4998
1410,-7.5003
1420,-7.4992
1430,-7.5003
1440,-7.4998
1450,-7.5002
1460,-7.5
1470,-7.4992
1480,-7.5002
1490,-7.5003
1500,-7.4998
1510,-7.4996
1520,-7.4996
1530,-7.499
1540,-7.5005
1550,-7.5003
1560,-7.4994
1570,-7.5005
1580,-7.5003
1590,-7.4996
1600,-7.4994
1610,-7.5
1620,-7.4998
1630,-7.4998
1640,-7.499
1650,-7.5002
1660,-7.5003
1670,-7.5005
1680,-7.5005
1690,-7.5002
1700,-7.5007
1710,-7.5003
1720,-7.5003
1730,-7.5003
