# UDDS profile from SLIDE https://github.com/davidhowey/SLIDE/blob/master/Current%20Profile%20drive%20cycle%20UDDS.csv
# with a maximum current of 8.1A
# Time [s], Current [A]
0,0.030392
1,0.030392
2,0.030392
3,0.030392
4,0.030392
5,0.030392
6,0.030392
7,0.030392
8,0.030392
9,0.030392
10,0.030392
11,0.030392
12,0.030392
13,0.030392
14,0.030392
15,0.030392
16,0.030392
17,0.030392
18,0.030392
19,0.030392
20,0.030392
21,0.3823
22,1.1017
23,1.665
24,2.4526
25,3.0432
26,3.4383
27,0.87647
28,1.452
29,4.2781
30,2.0705
31,1.647
32,0.64251
33,-0.14223
34,-0.37147
35,-0.36196
36,-0.24336
37,-0.34419
38,-2.4679
39,-1.5457
40,0.30511
41,0.65534
42,0.66836
43,0.92799
44,1.7388
45,3.1551
46,3.5063
47,3.1505
48,0.82876
49,0.12776
50,0.30059
51,-1.1905
52,-2.1659
53,-1.5575
54,-0.89464
55,0.32348
56,2.7903
57,3.4132
58,3.2937
59,3.2237
60,2.3216
61,1.2673
62,1.0965
63,0.72262
64,-0.15334
65,0.33218
66,0.90025
67,0.71607
68,0.33563
69,0.33391
70,0.52211
71,1.4833
72,1.5151
73,0.74571
74,-0.020392
75,-0.28835
76,0.72262
77,1.3119
78,1.7349
79,0.55755
80,-0.019866
81,1.3512
82,1.7852
83,2.2523
84,2.9827
85,2.1935
86,1.7884
87,1.3548
88,1.3703
89,1.3858
90,0.68596
91,0.21285
92,0.44478
93,0.44267
94,0.90906
95,1.6235
96,-0.16859
97,-0.32817
98,-0.16728
99,1.3394
100,1.8217
101,1.6176
102,1.1622
103,0.93103
104,0.45544
105,-0.33149
106,-0.48776
107,0.89095
108,1.36
109,1.8485
110,1.8822
111,2.1615
112,1.7077
113,1.2296
114,0.23701
115,-0.3395
116,-4.4929
117,-4.3138
118,-3.7936
119,-3.2689
120,-2.7403
121,-2.2084
122,-1.6737
123,-1.137
124,-0.59869
125,-0.085033
126,0.030392
127,0.030392
128,0.030392
129,0.030392
130,0.030392
131,0.030392
132,0.030392
133,0.030392
134,0.030392
135,0.030392
136,0.030392
137,0.030392
138,0.030392
139,0.030392
140,0.030392
141,0.030392
142,0.030392
143,0.030392
144,0.030392
145,0.030392
146,0.030392
147,0.030392
148,0.030392
149,0.030392
150,0.030392
151,0.030392
152,0.030392
153,0.030392
154,0.030392
155,0.030392
156,0.030392
157,0.030392
158,0.030392
159,0.030392
160,0.030392
161,0.030392
162,0.030392
163,0.030392
164,0.47836
165,1.3745
166,2.2717
167,3.1708
168,4.0726
169,4.9781
170,4.3107
171,4.242
172,3.4213
173,1.7636
174,-0.57323
175,-0.42559
176,-0.15373
177,1.1013
178,0.92045
179,0.92857
180,1.3343
181,3.4217
182,-0.58854
183,-2.973
184,-1.2641
185,-3.3805
186,-1.4032
187,-0.20697
188,1.5836
189,1.0826
190,2.4753
191,4.007
192,4.6195
193,6.1285
194,7.7414
195,8.1
196,8.0412
197,3.9809
198,6.8127
199,4.6643
200,6.1143
201,5.6994
202,6.6014
203,4.3592
204,4.0983
205,3.8153
206,1.2973
207,0.56509
208,0.92339
209,0.55629
210,1.275
211,1.275
212,1.275
213,1.275
214,2.0026
215,2.0145
216,3.133
217,3.549
218,3.6042
219,2.8938
220,3.3107
221,3.7442
222,3.0116
223,3.4409
224,4.2896
225,5.5916
226,5.3019
227,3.7188
228,2.9154
229,2.0874
230,1.2441
231,0.3946
232,1.6469
233,2.4918
234,2.9308
235,3.3822
236,2.5546
237,3.4336
238,2.597
239,3.048
240,2.1945
241,1.7627
242,0.8885
243,1.7514
244,1.7514
245,1.7514
246,1.7514
247,1.7514
248,1.3155
249,0.44259
250,0.43275
251,-0.87939
252,-0.2977
253,-0.013865
254,0.78989
255,0.36725
256,1.1847
257,2.8391
258,2.0262
259,2.0323
260,1.6202
261,0.37023
262,-0.026224
263,-0.032187
264,-0.038006
265,-0.32219
266,2.7272
267,-0.046469
268,1.1104
269,0.70643
270,0.69949
271,1.8847
272,2.2901
273,2.7052
274,3.1323
275,3.5738
276,3.6188
277,3.6641
278,5.3994
279,3.7926
280,2.5475
281,3.425
282,1.7234
283,0.86004
284,-0.58487
285,-0.87977
286,-1.4534
287,-2.005
288,-1.705
289,1.4865
290,1.4865
291,-0.058571
292,-1.6788
293,1.0316
294,1.7999
295,1.0316
296,-0.077192
297,1.0116
298,1.3895
299,1.3895
300,-0.082977
301,-0.34729
302,-0.35004
303,-1.3653
304,-1.8437
305,-1.8126
306,-2.0148
307,-1.9724
308,-1.7075
309,-1.8882
310,-3.0867
311,-2.3685
312,-2.8514
313,-2.0018
314,-1.7549
315,-1.1898
316,-0.99389
317,0.4469
318,-0.32885
319,-1.1074
320,-1.8155
321,-3.3544
322,-3.7144
323,-1.2401
324,-0.75275
325,-0.32267
326,-1.1542
327,-1.0565
328,-2.0254
329,-0.87715
330,-1.2532
331,-1.0066
332,-0.46804
333,-0.013265
334,0.030392
335,0.030392
336,0.030392
337,0.030392
338,0.030392
339,0.030392
340,0.030392
341,0.030392
342,0.030392
343,0.030392
344,0.030392
345,0.030392
346,0.030392
347,0.07764
348,0.74987
349,1.6462
350,2.5439
351,3.4437
352,4.0769
353,4.2553
354,4.5258
355,2.6161
356,3.3372
357,3.3417
358,3.7456
359,4.8804
360,2.5459
361,2.6183
362,1.9433
363,2.483
364,2.8012
365,3.1415
366,1.0687
367,1.6105
368,0.54526
369,0.014916
370,1.3365
371,2.978
372,2.2154
373,0.85065
374,0.85065
375,0.85065
376,0.85065
377,0.85065
378,1.1292
379,1.6943
380,1.1457
381,0.58575
382,-0.16687
383,-1.1121
384,-1.2719
385,-0.52887
386,-3.1005
387,-3.377
388,-4.3765
389,-3.1279
390,-2.7857
391,-2.5347
392,-2.3162
393,-1.5639
394,-1.6575
395,-1.1207
396,-0.58236
397,-0.0742
398,0.030392
399,0.030392
400,0.030392
401,0.030392
402,0.030392
403,0.31331
404,1.1844
405,2.0813
406,2.9799
407,3.881
408,4.7856
409,5.6946
410,5.2363
411,1.7063
412,4.4486
413,3.8734
414,2.9184
415,0.89817
416,0.43639
417,-0.0089279
418,-0.16693
419,-0.32043
420,-0.76828
421,-3.8207
422,-3.7461
423,-3.221
424,-2.6921
425,-2.1599
426,-1.625
427,-1.0881
428,-0.5497
429,-0.05413
430,0.030392
431,0.030392
432,0.030392
433,0.030392
434,0.030392
435,0.030392
436,0.030392
437,0.030392
438,0.030392
439,0.030392
440,0.030392
441,0.030392
442,0.030392
443,0.030392
444,0.030392
445,0.030392
446,0.030392
447,0.030392
448,0.45558
449,1.3745
450,2.2717
451,3.1708
452,4.0726
453,4.9781
454,5.888
455,6.8034
456,3.5019
457,3.4646
458,6.262
459,4.4483
460,2.2988
461,3.9448
462,1.6216
463,2.1869
464,2.2225
465,0.57542
466,1.1292
467,1.1333
468,0.29941
469,0.022905
470,1.6718
471,0.85065
472,-0.16759
473,0.5627
474,0.56018
475,0.28527
476,0.82431
477,0.82431
478,0.82431
479,0.82431
480,0.82431
481,0.28182
482,1.0887
483,1.0927
484,1.6438
485,0.019472
486,0.28182
487,0.81781
488,0.81781
489,0.2784
490,0.27502
491,0.53791
492,-1.2533
493,-2.0837
494,-2.6435
495,-2.79
496,-3.1452
497,-3.4663
498,-2.722
499,-2.9169
500,-2.386
501,-1.6347
502,-1.3044
503,-0.8545
504,-0.33829
505,0.0098498
506,0.030392
507,0.030392
508,0.030392
509,0.030392
510,0.030392
511,0.08804
512,0.48757
513,0.80215
514,0.5981
515,1.3176
516,0.95787
517,0.90648
518,1.4385
519,2.3578
520,2.6141
521,2.5478
522,2.2113
523,2.0568
524,1.8477
525,2.1004
526,2.2006
527,1.9315
528,1.8103
529,1.284
530,0.72262
531,0.53212
532,0.53212
533,0.53212
534,0.53212
535,0.53212
536,1.7063
537,0.94488
538,0.95308
539,-0.15706
540,-0.15563
541,0.14882
542,0.53212
543,0.53212
544,-0.41548
545,-1.285
546,-3.4443
547,-2.9169
548,-2.386
549,-1.8522
550,-1.3161
551,-0.77824
552,-0.2393
553,0.030392
554,0.030392
555,0.030392
556,0.030392
557,0.030392
558,0.030392
559,0.030392
560,0.030392
561,0.030392
562,0.030392
563,0.030392
564,0.030392
565,0.030392
566,0.030392
567,0.030392
568,0.030392
569,0.45558
570,1.3745
571,2.2717
572,2.9673
573,1.9811
574,1.9604
575,1.6067
576,0.34844
577,0.34844
578,1.0169
579,0.63179
580,0.36328
581,0.090511
582,-0.20459
583,0.21707
584,-0.020477
585,0.86094
586,0.48059
587,0.2184
588,-0.10987
589,0.21176
590,0.33797
591,0.46627
592,0.86094
593,1.1529
594,1.6198
595,1.4026
596,1.9214
597,1.694
598,0.59916
599,0.60222
600,1.1034
601,1.125
602,1.1466
603,0.64251
604,0.47113
605,0.47113
606,0.82093
607,2.2711
608,3.1427
609,2.3133
610,1.5727
611,1.6049
612,-0.86501
613,-3.9201
614,-3.3965
615,-2.8688
616,-2.3376
617,-1.8035
618,-1.2672
619,-0.72928
620,-0.19085
621,0.030392
622,0.030392
623,0.030392
624,0.030392
625,0.030392
626,0.030392
627,0.030392
628,0.030392
629,0.030392
630,0.030392
631,0.030392
632,0.030392
633,0.030392
634,0.030392
635,0.030392
636,0.030392
637,0.030392
638,0.030392
639,0.030392
640,0.030392
641,0.030392
642,0.030392
643,0.030392
644,0.030392
645,0.030392
646,0.18804
647,0.71272
648,1.7006
649,1.8527
650,2.2432
651,1.8007
652,1.7646
653,3.1102
654,3.3766
655,2.6051
656,2.4425
657,2.4006
658,2.7092
659,2.0606
660,1.1303
661,1.3455
662,0.75904
663,0.76239
664,0.56272
665,0.96954
666,0.77247
667,0.57051
668,-0.2981
669,-0.29373
670,-2.1094
671,-2.2958
672,-2.7808
673,-1.6913
674,-1.3327
675,-1.8176
676,-1.4091
677,-0.99899
678,-0.48191
679,-0.15567
680,-0.063899
681,0.030392
682,0.030392
683,0.030392
684,0.030392
685,0.030392
686,0.030392
687,0.030392
688,0.030392
689,0.030392
690,0.030392
691,0.030392
692,0.030392
693,0.030392
694,0.10842
695,0.41524
696,0.424
697,1.0072
698,1.8005
699,1.8702
700,2.3537
701,1.4766
702,2.4627
703,0.72077
704,0.084784
705,0.33797
706,2.6237
707,1.8225
708,1.7653
709,2.6702
710,2.1505
711,0.47113
712,-0.14223
713,1.5019
714,1.5438
715,0.85239
716,-0.87906
717,-0.72699
718,-0.91902
719,-2.2745
720,-2.3887
721,-1.9526
722,-1.5143
723,-1.0081
724,-0.38814
725,-0.22325
726,-0.060746
727,-0.064513
728,0.039162
729,0.44724
730,1.3474
731,2.0934
732,2.6944
733,1.8007
734,2.6141
735,2.9627
736,2.6996
737,3.4276
738,3.2091
739,3.0634
740,2.4535
741,2.5557
742,1.8141
743,1.6438
744,1.2433
745,1.4768
746,1.2784
747,0.6267
748,-0.013617
749,0.40005
750,0.1812
751,-0.31052
752,-0.59421
753,-1.4089
754,-2.2354
755,-2.0566
756,-2.3918
757,-2.0978
758,-1.104
759,-1.5447
760,-1.6384
761,-1.2013
762,-0.69665
763,-0.12186
764,0.056714
765,-0.010689
766,0.026772
767,0.3823
768,1.293
769,2.1901
770,3.0889
771,3.4943
772,2.5175
773,1.6107
774,1.9929
775,2.2701
776,2.5778
777,2.5581
778,3.844
779,3.5196
780,2.6585
781,1.6698
782,1.2634
783,1.9453
784,0.63498
785,0.63498
786,0.41191
787,-0.013006
788,0.18476
789,0.61849
790,0.61849
791,0.40005
792,-0.45995
793,0.38653
794,0.5969
795,0.5969
796,0.5969
797,0.5969
798,0.5969
799,0.80995
800,1.4595
801,1.7025
802,4.0161
803,3.0236
804,3.1295
805,3.2362
806,0.75465
807,2.2988
808,1.8181
809,1.5776
810,0.53063
811,0.26508
812,0.78582
813,0.52344
814,0.009477
815,-0.34711
816,0.50229
817,-0.34398
818,-0.34122
819,0.47732
820,-0.00097878
821,0.46848
822,-0.99389
823,-0.49016
824,0.43431
825,0.66301
826,0.66301
827,0.66301
828,-0.009295
829,0.42606
830,0.65171
831,0.1971
832,-0.16618
833,-0.62011
834,-0.31209
835,-0.59797
836,-1.693
837,-1.9829
838,-1.7237
839,-1.3793
840,-1.0787
841,0.39579
842,1.7653
843,1.6856
844,1.2526
845,1.4532
846,1.4949
847,1.5368
848,1.9487
849,2.4027
850,2.5046
851,1.778
852,0.57312
853,0.98611
854,0.99443
855,1.0028
856,1.8649
857,1.2533
858,2.1529
859,0.85528
860,0.85881
861,0.86236
862,0.41592
863,-0.92351
864,-0.45863
865,-0.30649
866,-1.2814
867,-0.69556
868,-0.28468
869,1.0917
870,1.1061
871,1.3175
872,0.94079
873,1.5534
874,2.0001
875,1.8431
876,1.2383
877,1.9086
878,1.9527
879,1.0877
880,0.41793
881,0.41592
882,0.41391
883,-0.16535
884,-0.16444
885,0.39615
886,0.61034
887,-0.16319
888,-0.16211
889,-0.44655
890,1.4022
891,1.6373
892,1.2383
893,1.0364
894,0.17885
895,1.0364
896,0.61034
897,0.61034
898,-0.015336
899,-0.016132
900,-0.30567
901,-0.018052
902,0.36778
903,0.57051
904,0.57051
905,0.16214
906,0.36228
907,0.56272
908,-0.019494
909,-0.020046
910,0.5473
911,1.1448
912,0.35504
913,-0.020221
914,-0.81994
915,-1.045
916,-1.2379
917,-0.37304
918,0.45003
919,0.61761
920,1.9952
921,1.8973
922,1.5929
923,0.88021
924,0.88821
925,1.4706
926,0.9164
927,0.72918
928,0.73248
929,0.93264
930,-0.020721
931,0.14882
932,0.53212
933,0.53212
934,-0.02147
935,0.14398
936,0.14208
937,0.51467
938,0.89222
939,1.477
940,0.53212
941,-0.15334
942,0.52211
943,-0.28094
944,1.2617
945,1.6707
946,1.5151
947,-0.29016
948,-1.0656
949,-2.1015
950,-1.8141
951,-2.8747
952,-2.4505
953,-1.917
954,-1.3812
955,-0.8435
956,-0.30467
957,0.02856
958,0.030392
959,0.030392
960,0.18804
961,1.0214
962,1.9181
963,2.8163
964,3.7169
965,3.2264
966,1.8973
967,2.4753
968,2.1637
969,1.9398
970,2.2006
971,3.2394
972,4.0561
973,3.0617
974,1.8867
975,1.2684
976,0.84121
977,0.62396
978,0.62396
979,-0.7612
980,0.17539
981,-0.016639
982,-0.16096
983,-0.018271
984,-0.2981
985,-0.019866
986,-0.29106
987,-1.1984
988,-2.1015
989,-0.25507
990,0.44771
991,0.95046
992,1.6547
993,1.3514
994,0.12861
995,0.47826
996,0.83269
997,-0.023436
998,0.47588
999,0.47588
1000,1.9059
1001,1.4139
1002,1.6353
1003,0.90428
1004,1.1061
1005,1.3175
1006,0.74239
1007,0.34967
1008,-0.28926
1009,-0.8047
1010,-0.14963
1011,-0.27228
1012,-0.023311
1013,-0.14417
1014,-0.26025
1015,-0.13972
1016,-0.91902
1017,-2.7501
1018,-2.5472
1019,-2.0142
1020,-1.4787
1021,-0.94137
1022,-0.4027
1023,0.0098498
1024,0.030392
1025,0.030392
1026,0.030392
1027,0.030392
1028,0.030392
1029,0.030392
1030,0.030392
1031,0.030392
1032,0.030392
1033,0.030392
1034,0.030392
1035,0.030392
1036,0.030392
1037,0.030392
1038,0.030392
1039,0.030392
1040,0.030392
1041,0.030392
1042,0.030392
1043,0.030392
1044,0.030392
1045,0.030392
1046,0.030392
1047,0.030392
1048,0.030392
1049,0.030392
1050,0.030392
1051,0.030392
1052,0.030392
1053,0.08804
1054,0.63625
1055,1.5647
1056,2.4622
1057,3.3618
1058,3.9993
1059,2.4115
1060,2.6168
1061,3.3259
1062,2.535
1063,2.3014
1064,2.0174
1065,2.0866
1066,2.3606
1067,1.1888
1068,1.8358
1069,1.6633
1070,1.4768
1071,-0.014498
1072,-0.31052
1073,-0.30649
1074,0.58362
1075,-0.58474
1076,-2.0454
1077,-2.1462
1078,-0.84235
1079,-0.69524
1080,-2.383
1081,-2.3887
1082,-1.7567
1083,-0.5699
1084,-0.12297
1085,-0.17032
1086,-0.10805
1087,-0.052427
1088,-0.049051
1089,0.11819
1090,0.31949
1091,0.32626
1092,-0.0015535
1093,0.11819
1094,-0.13224
1095,-0.27642
1096,-0.5346
1097,-0.10933
1098,-0.2177
1099,-0.101
1100,0.0098498
1101,0.030963
1102,0.049998
1103,0.13434
1104,0.4762
1105,1.456
1106,2.1961
1107,2.6914
1108,1.5118
1109,0.83995
1110,2.0712
1111,3.1025
1112,3.1752
1113,2.0008
1114,0.76289
1115,0.60529
1116,0.60836
1117,0.94583
1118,1.8207
1119,1.3514
1120,1.9315
1121,1.8103
1122,1.477
1123,0.33911
1124,0.33737
1125,0.91235
1126,1.3119
1127,1.3343
1128,0.95308
1129,1.3681
1130,0.97781
1131,1.1938
1132,0.78941
1133,0.58362
1134,0.58362
1135,0.3752
1136,0.37333
1137,0.57836
1138,-0.018271
1139,0.36594
1140,-0.15843
1141,-0.29373
1142,-0.81994
1143,-1.045
1144,-2.0566
1145,-1.3474
1146,-2.2157
1147,-1.0891
1148,-1.3734
1149,-1.9818
1150,-1.4462
1151,-0.90875
1152,-0.37002
1153,0.018215
1154,0.030392
1155,0.030392
1156,0.030392
1157,0.030392
1158,0.030392
1159,0.030392
1160,0.030392
1161,0.030392
1162,0.030392
1163,0.030392
1164,0.030392
1165,0.030392
1166,0.030392
1167,0.030392
1168,0.030392
1169,0.204
1170,1.0486
1171,1.9453
1172,2.8436
1173,3.7443
1174,4.6483
1175,4.2253
1176,3.681
1177,1.3826
1178,-0.27032
1179,-0.26533
1180,-2.5088
1181,-2.949
1182,-2.4183
1183,-1.8846
1184,-1.3486
1185,-0.81087
1186,-0.27199
1187,0.030607
1188,0.030392
1189,0.030392
1190,0.030392
1191,0.030392
1192,0.030392
1193,0.030392
1194,0.030392
1195,0.030392
1196,0.030392
1197,0.032304
1198,0.13034
1199,0.45905
1200,1.2727
1201,2.2445
1202,2.0712
1203,1.1183
1204,0.36591
1205,-0.080774
1206,0.45677
1207,0.56509
1208,0.26925
1209,1.2159
1210,2.0035
1211,2.207
1212,2.5551
1213,2.0142
1214,2.4552
1215,1.2587
1216,0.95046
1217,0.45468
1218,-0.023867
1219,-0.023891
1220,0.9366
1221,0.95046
1222,0.7937
1223,0.28946
1224,0.11953
1225,0.11795
1226,0.44771
1227,0.28167
1228,-1.1268
1229,-0.33928
1230,-0.023247
1231,0.99678
1232,0.70976
1233,0.71729
1234,-0.23346
1235,-1.6945
1236,-1.5115
1237,-1.683
1238,-1.6606
1239,-0.81581
1240,-0.62847
1241,-0.44062
