# Based on the US06 drive cycle,
# time [s],current [A]
0,0.012859
1,0.012859
2,0.012859
3,0.012859
4,0.012859
5,0.012859
6,0.013668
7,0.023524
8,0.03126
9,0.050602
10,0.58049
11,2.6467
12,3.8424
13,4.1121
14,-0.23677
15,3.1954
16,4.134
17,2.8259
18,2.5489
19,2.6931
20,2.3144
21,3.5036
22,2.7033
23,1.057
24,-0.44999
25,-0.4451
26,-1.8319
27,-0.6912
28,-0.41631
29,0.39479
30,1.4094
31,-0.067283
32,0.40082
33,-1.6765
34,-3.0094
35,-2.9658
36,-2.8139
37,-2.1029
38,-1.7886
39,-1.0515
40,-0.33154
41,-0.00027238
42,0.012859
43,0.012859
44,0.012859
45,0.012859
46,0.012859
47,0.012859
48,0.012859
49,0.026246
50,1.4175
51,2.3404
52,1.9203
53,2.8051
54,4.2382
55,4.2743
56,2.8574
57,4.2758
58,4.9662
59,4.8662
60,3.8788
61,2.521
62,3.5651
63,3.3848
64,3.6869
65,3.1176
66,2.8487
67,2.1836
68,0.18726
69,0.91501
70,0.0053402
71,-0.37207
72,-0.37225
73,0.33741
74,1.0426
75,0.33741
76,-0.37219
77,-0.96565
78,0.13474
79,0.46979
80,0.46799
81,0.80472
82,0.80717
83,1.4932
84,2.2074
85,3.3239
86,4.1708
87,4.5251
88,4.3083
89,4.2568
90,4.8156
91,5.2028
92,4.5034
93,4.6358
94,3.3841
95,1.5935
96,1.3703
97,0.22134
98,-2.5008
99,-1.8485
100,-1.6727
101,-1.0737
102,-1.065
103,-1.4701
104,-1.7157
105,-1.5508
106,-1.6473
107,-1.3644
108,-1.5766
109,-1.4219
110,-1.4997
111,-1.242
112,-1.4213
113,-1.9789
114,-2.4495
115,-1.771
116,-0.67
117,-0.65407
118,-0.79789
119,-3.6676
120,-3.2481
121,-2.1471
122,-1.5972
123,-1.3075
124,-0.80837
125,-0.29408
126,-0.039143
127,-0.012101
128,-0.00027238
129,0.012859
130,0.012859
131,0.012859
132,0.012859
133,0.012859
134,0.012859
135,0.012859
136,0.13367
137,1.3164
138,2.9506
139,4.3345
140,5.7205
141,5.4552
142,5.8237
143,6.0151
144,3.7866
145,2.7655
146,2.3944
147,2.948
148,1.8924
149,2.5999
150,1.8149
151,1.3287
152,1.3425
153,2.057
154,0.67879
155,0.67879
156,2.0956
157,3.7768
158,1.8459
159,3.0051
160,1.3509
161,3.1006
162,1.4034
163,1.4141
164,1.4248
165,-0.50076
166,-1.2951
167,0.40453
168,0.21185
169,-0.11201
170,1.1354
171,-0.62707
172,1.4858
173,0.011324
174,0.55864
175,0.18866
176,1.1018
177,1.1079
178,0.37419
179,0.18726
180,0.5484
