# Based on the WLTC drive cycle
# see #1264 for discussion and how to use this drive cycle
# time [s],Power [kW]
0,0.000511
0.1,0.000511
0.2,0.000511
0.3,0.000511
0.4,0.000511
0.5,0.000511
0.6,0.000511
0.7,0.000511
0.8,0.000511
0.9,0.000511
1,0.000511
1.1,0.291064
1.2,0.291064
1.3,0.291064
1.4,0.291064
1.5,0.291064
1.6,0.291064
1.7,0.291064
1.8,0.291064
1.9,0.291064
2,0.291064
2.1,0.291064
2.2,0.291064
2.3,0.291064
2.4,0.291064
2.5,0.291064
2.6,0.291064
2.7,0.291064
2.8,0.291064
2.9,0.291064
3,0.291064
3.1,0.291064
3.2,0.291064
3.3,0.291064
3.4,0.291064
3.5,0.291064
3.6,0.291064
3.7,0.291064
3.8,0.291064
3.9,0.291064
4,0.291064
4.1,0.291064
4.2,0.291064
4.3,0.291064
4.4,0.291064
4.5,0.291064
4.6,0.291064
4.7,0.291064
4.8,0.291064
4.9,0.291064
5,0.291064
5.1,0.291064
5.2,0.291064
5.3,0.291064
5.4,0.291064
5.5,0.291064
5.6,0.291064
5.7,0.291064
5.8,0.291064
5.9,0.291064
6,0.291064
6.1,0.291064
6.2,0.291064
6.3,0.291064
6.4,0.291064
6.5,0.291064
6.6,0.291064
6.7,0.291064
6.8,0.291064
6.9,0.291064
7,0.291064
7.1,0.291064
7.2,0.291064
7.3,0.291064
7.4,0.291064
7.5,0.291064
7.6,0.291064
7.7,0.291064
7.8,0.291064
7.9,0.291064
8,0.291064
8.1,0.291064
8.2,0.291064
8.3,0.291064
8.4,0.291064
8.5,0.291064
8.6,0.291064
8.7,0.291064
8.8,0.291064
8.9,0.291064
9,0.291064
9.1,0.291064
9.2,0.291064
9.3,0.291064
9.4,0.291064
9.5,0.291064
9.6,0.291064
9.7,0.291064
9.8,0.291064
9.9,0.291064
10,0.291064
10.1,0.291068
10.2,0.291083
10.3,0.291097
10.4,0.319311
10.5,0.349797
10.6,0.378041
10.7,0.405047
10.8,0.431971
10.9,0.413776
11,0.428219
11.1,0.457475
11.2,0.475251
11.3,0.493025
11.4,0.740568
11.5,0.812319
11.6,0.770088
11.7,0.816719
11.8,0.863346
11.9,0.543614
12,0.550118
12.1,1.547174
12.2,1.727778
12.3,1.894542
12.4,2.138306
12.5,2.311462
12.6,1.47735
12.7,1.529
12.8,1.58064
12.9,2.054573
13,2.143176
13.1,4.506061
13.2,4.904914
13.3,5.299318
13.4,6.635977
13.5,7.165182
13.6,7.110738
13.7,7.562674
13.8,8.014499
13.9,6.320979
14,6.572931
14.1,6.375914
14.2,6.594412
14.3,6.812782
14.4,5.852581
14.5,6.00166
14.6,4.457538
14.7,4.531535
14.8,4.605527
14.9,3.777398
15,3.822993
15.1,1.227041
15.2,1.225398
15.3,1.22669
15.4,1.46233
15.5,1.465168
15.6,3.182719
15.7,3.210937
15.8,3.239152
15.9,4.434841
16,4.492472
16.1,7.00414
16.2,7.15243
16.3,7.300708
16.4,8.571899
16.5,8.770652
16.6,8.73166
16.7,8.919482
16.8,9.107283
16.9,9.092763
17,9.2721
17.1,12.938367
17.2,13.282862
17.3,13.627309
17.4,15.262987
17.5,15.674627
17.6,14.889592
17.7,15.240866
17.8,15.592101
17.9,15.066513
18,15.379556
18.1,12.870987
18.2,13.07842
18.3,13.285781
18.4,12.348823
18.5,12.521025
18.6,13.19204
18.7,13.378698
18.8,13.565282
18.9,14.145328
19,14.343108
19.1,0.291064
19.2,0.291064
19.3,0.291064
19.4,0.291064
19.5,0.291064
19.6,1.769264
19.7,1.76951
19.8,1.769757
19.9,3.636272
20,3.644354
20.1,0.291064
20.2,0.291064
20.3,0.291064
20.4,0.291064
20.5,0.291064
20.6,1.748091
20.7,1.748321
20.8,1.748552
20.9,2.615415
21,2.618264
21.1,1.186044
21.2,1.185545
21.3,1.185045
21.4,0.83573
21.5,0.835176
21.6,1.538851
21.7,1.538724
21.8,1.538598
21.9,2.01295
22,2.01379
22.1,3.758709
22.2,3.767804
22.3,3.776896
22.4,4.448373
22.5,4.462445
22.6,4.143229
