Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],4800000,,Lead
Negative electrode pore size [m],1E-07,,
Maximum porosity of negative electrode,0.53,,
Molar volume of lead [m3.mol-1],1.82539682539683E-05,,Calculated as 207e-3 / 11.34e3
Molar volume of lead sulfate [m3.mol-1],4.81717011128776E-05,,Calculated as 303e-3 / 6.29e3
Negative electrode volumetric capacity [C.m-3],3.473e9,bernardi1995mathematical,
Negative electrode open-circuit potential [V],[function]lead_ocp_Bode1977,,
,,,
# Microstructure,,,
Negative electrode surface area to volume ratio [m-1],2300000,,
Negative electrode Bruggeman coefficient (electrolyte),1.5,,
Negative electrode Bruggeman coefficient (electrode),1.5,,
Negative electrode morphological parameter,0.6,srinivasan2003mathematical,
Negative electrode capacity [C.m-3],3473000000,,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,1,,
Negative electrode electrons in reaction,2,,
Negative electrode exchange-current density [A.m-2],[function]lead_exchange_current_density_Sulzer2019,,
Signed stoichiometry of cations (oxygen reaction),4,,
Signed stoichiometry of water (oxygen reaction),-1,,
Signed stoichiometry of oxygen (oxygen reaction),1,,
Electrons in oxygen reaction,4,,
Negative electrode reference exchange-current density (oxygen) [A.m-2],2.5E-32,srinivasan2003mathematical,
Reference oxygen molecule concentration [mol.m-3],1000,srinivasan2003mathematical,
Oxygen reference OCP vs SHE [V],1.229,srinivasan2003mathematical,
Signed stoichiometry of cations (hydrogen reaction),2,,
Signed stoichiometry of hydrogen (hydrogen reaction),-1,,
Electrons in hydrogen reaction,2,,
Negative electrode reference exchange-current density (hydrogen) [A.m-2],1.56E-11,srinivasan2003mathematical,
Hydrogen reference OCP vs SHE [V],0,srinivasan2003mathematical,
Negative electrode double-layer capacity [F.m-2],0.2,,
,,,
# Density,,,
Negative electrode density [kg.m-3],11300,CRC Handbook of Chemistry and Physics,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],130,CRC Handbook of Chemistry and Physics,
Negative electrode thermal conductivity [W.m-1.K-1],35,CRC Handbook of Chemistry and Physics,
