Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],100,Ai 2020,graphite
Maximum concentration in negative electrode [mol.m-3],28700,Ai 2020,tuned for 1C
Negative electrode diffusivity [m2.s-1],[function]graphite_diffusivity_Dualfoil1998,Ai 2020,tuned for 1C
Negative electrode OCP [V],[function]graphite_ocp_Enertech_Ai2020_function,Ai 2020,
,,,
# Microstructure,,,
Negative electrode porosity,0.33,Ai 2020,
Negative electrode active material volume fraction,0.61,Ai 2020,
Negative particle radius [m],5E-6,Ai 2020,
Negative particle distribution in x,1,default,
Negative electrode Bruggeman coefficient (electrolyte),2.914,Ai 2020,theoretical
Negative electrode Bruggeman coefficient (electrode),1.5,default,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Ai 2020,
Negative electrode double-layer capacity [F.m-2],0.2,,
Negative electrode exchange-current density [A.m-2],[function]graphite_electrolyte_exchange_current_density_Dualfoil1998,,
,,,
# Density,,,
Negative electrode density [kg.m-3],2470,default,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],1080.2,default,
Negative electrode thermal conductivity [W.m-1.K-1],1.04,default,
Negative electrode OCP entropic change [V.K-1],[function]graphite_entropy_Enertech_Ai2020,,
# Negative electrode OCP entropic change [V.K-1],0,,
,,,
# Mechanical properties,,,
Negative electrode Poisson's ratio,0.3,,
Negative electrode Young's modulus [Pa],15e9,,
Negative electrode Reference concentration for free of deformation [m3.mol-1],0,,
Negative electrode Partial molar volume [m3.mol-1],3.1e-6,,
,,,
# Crack model,,,
Negative electrode Initial crack length [m],20e-9,,
Negative electrode Initial crack width [m],15e-9,,
Negative electrode Number of cracks per unit area of the particle [m-2],3.18e15,,
Negative electrode Paris' law constant b,1.12,,
Negative electrode Paris' law constant m,2.2,,
Negative electrode Cracking rate,3.9e-20,,
Negative electrode Activation energy for cracking rate [kJ.mol-1],[function]graphite_entropy_Enertech_Ai2020,,
