Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],300,altered Chen 2020,graphite
Maximum concentration in negative electrode [mol.m-3],33429,chen,tuned for 1C
Negative electrode diffusivity [m2.s-1],3.30E-14,Changed from Chen,tuned for 1C
Negative electrode OCP [V],[data]graphite_LGM50_ocp_Chen2020,Chen 2020,
,,,
# Microstructure,,,
Negative electrode porosity,0.76,Prada 2013,Calculation based on suhok lee paper
Negative electrode active material volume fraction,0.63,Peyman 2019,
Negative particle radius [m],5.86E-06,Chen 2020,
Negative particle distribution in x,1,default,
Negative electrode surface area density [m-1],184300,Calculation 3*epsilon/R,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Chen 2020,theoretical
Negative electrode Bruggeman coefficient (electrode),1.4,default,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Chen 2020,
Negative electrode double-layer capacity [F.m-2],0.2,,
,,,
# Density,,,
Negative electrode density [kg.m-3],1657,default,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],700,default,
Negative electrode thermal conductivity [W.m-1.K-1],1.7,default,
Negative electrode OCP entropic change [V.K-1],0,,
,,,
# Reaction rate,,,
Negative electrode reaction rate,[function]graphite_LGM50_electrolyte_reaction_rate_Chen2020,,
