Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],100,,lithium metal
Maximum concentration in negative electrode [mol.m-3],,,
Negative electrode diffusivity [m2.s-1],,,
Negative electrode OCP [V],,,
,,,
# Microstructure,,,
Negative electrode porosity,,,electrolyte volume fraction
Negative electrode active material volume fraction,,,
Negative particle radius [m],1E-05,,
Negative particle distribution in x,1,,
Negative electrode surface area density [m-1],,,
Negative electrode Bruggeman coefficient (electrolyte),1.5,,
Negative electrode Bruggeman coefficient (electrode),1.5,,
,,,
# Thermal parameters,,,
Negative electrode OCP entropic change [V.K-1],0,,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode reaction rate [(A.m-2)(m3.mol-1)^1.5],,,
Negative electrode charge transfer coefficient,0.5,,
Negative electrode double-layer capacity [F.m-2],0.2,,
