Name [units],Value
Negative electrode conductivity [S.m-1],100
Maximum concentration in negative electrode [mol.m-3],24983.2619938437
Negative electrode diffusivity [m2.s-1],[function]graphite_mcmb2528_diffusivity_Dualfoil1998
Negative electrode OCP [V],[function]graphite_mcmb2528_ocp_Dualfoil1998
Negative electrode porosity,0.3
Negative electrode active material volume fraction,0.7
Negative particle radius [m],1E-05
Negative particle distribution in x,1
Negative electrode surface area to volume ratio [m-1],180000
Negative electrode Bruggeman coefficient (electrolyte),1.5
Negative electrode Bruggeman coefficient (electrode),1.5
Negative electrode cation signed stoichiometry,-1
Negative electrode electrons in reaction,1
Reference OCP vs SHE in the negative electrode [V],nan
Negative electrode charge transfer coefficient,0.5
Negative electrode double-layer capacity [F.m-2],0.2
Negative electrode exchange-current density [A.m-2],[function]graphite_electrolyte_exchange_current_density_Dualfoil1998
Negative electrode density [kg.m-3],1657
Negative electrode specific heat capacity [J.kg-1.K-1],700
Negative electrode thermal conductivity [W.m-1.K-1],1.7
Negative electrode OCP entropic change [V.K-1],[function]graphite_entropic_change_Moura2016
