Name [units],Value,Reference,Notes
# Empty rows and rows starting with �#� will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],1.3,Xin Qi LFP conduction,
Maximum concentration in positive electrode [mol.m-3],22806,Prada Thermal Aging,
Positive electrode diffusivity [m2.s-1],5.9E-18,Prada Fast Charging,
Positive electrode OCP [V],[data]LFP_ocp_prada2013,,
,,,
# Microstructure,,,
Positive electrode porosity,0.26,Lain 2019,
Positive electrode active material volume fraction,0.424,Peyman,
Positive particle radius [m],1.4E-6 ,Peyman,
Positive particle distribution in x,1,,
Positive electrode surface area density [m-1],25560000,,3 epslion/R
Positive electrode Bruggeman coefficient (electrode),1.5,,
Positive electrode Bruggeman coefficient (electrolyte),1.4,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,adjust,
Positive electrode charge transfer coefficient,0.5,adjust,
Positive electrode double-layer capacity [F.m-2],0.2,adjust,
,,,
# Density,,,
Positive electrode density [kg.m-3],2341.17,default,
,,,

# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],1100,,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,,
Positive electrode OCP entropic change [V.K-1],0,
,,,
# Reaction rate,,,
Positive electrode reaction rate,[function]LFP_electrolyte_reaction_rate_prada2013,,
