Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],68.1,,
Maximum concentration in positive electrode [mol.m-3],48580,,
Measured positive electrode diffusivity [m2.s-1],[data]measured_nco_diffusivity_Ecker2015,,
Positive electrode diffusivity [m2.s-1],[function]nco_diffusivity_Ecker2015,,
Measured positive electrode OCP [V],[data]nco_ocp_Ecker2015,,
Positive electrode OCP [V],[function]nco_ocp_Ecker2015_function,,
,,,
# Microstructure,,,
Positive electrode porosity,0.296,,
Positive electrode active material volume fraction, 0.58,,
Positive particle radius [m],6.5E-06,,
Positive particle distribution in x,1,,
Positive electrode surface area density [m-1],188455,,
Positive electrode Bruggeman coefficient (electrolyte),1.5442267190786427,Solve for permeability factor B=0.1526=eps^b,
Positive electrode Bruggeman coefficient (electrode),0,No Bruggeman correction to solid conductivity,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,

,,,
# Thermal parameters,,,
Positive electrode OCP entropic change [V.K-1],0,,
,,,
# Reaction rate,,,
Positive electrode reaction rate,[function]nco_electrolyte_reaction_rate_Ecker2015,,
