# OCP for lico2 from Rieger 2016 
# stoichiometry , OCP [V]
0.43,4.3
0.436639784,4.279907753
0.437906143,4.276472669
0.439172502,4.273800938
0.44043886,4.271129206
0.441705219,4.268648313
0.442971578,4.266167419
0.444237937,4.263686526
0.445504296,4.261205633
0.446770655,4.258724739
0.448037014,4.256243846
0.449303373,4.253762952
0.450569732,4.251282059
0.45183609,4.248992003
0.453102449,4.24651111
0.454368808,4.244221054
0.455635167,4.24174016
0.456901526,4.239259267
0.458167885,4.236969211
0.459434244,4.234679156
0.460700603,4.232198262
0.461966961,4.229717369
0.46323332,4.227236475
0.464499679,4.225137258
0.465766038,4.222656364
0.467032397,4.220366309
0.468298756,4.217885415
0.469565115,4.21559536
0.470831474,4.213305304
0.472097833,4.211015249
0.473364191,4.208534355
0.47463055,4.2062443
0.475896909,4.203954244
0.477163268,4.201664189
0.478429627,4.199374133
0.479695986,4.197084078
0.480962345,4.194794022
0.482228704,4.192503967
0.483495063,4.190213911
0.484761421,4.187923856
0.48602778,4.185824638
0.487294139,4.183534582
0.488560498,4.181053689
0.489826857,4.178954471
0.491093216,4.176855254
0.492359575,4.174565198
0.493625934,4.172275143
0.494892292,4.169985087
0.496158651,4.16788587
0.49742501,4.165786652
0.498691369,4.163687435
0.499957728,4.161588217
0.501224087,4.159298161
0.502490446,4.157389782
0.503756805,4.155290564
0.505023163,4.153191347
0.506289522,4.151092129
0.507555881,4.148992912
0.50882224,4.146893694
0.510088599,4.144794476
0.511354958,4.142504421
0.512621317,4.140405203
0.513887676,4.138305986
0.515154035,4.136206768
0.516420393,4.134107551
0.517686752,4.131817495
0.518953111,4.129718278
0.52021947,4.12761906
0.521485829,4.125519842
0.522752188,4.123229787
0.524018547,4.121130569
0.525284906,4.11922219
0.526551264,4.116932134
0.527817622,4.115023755
0.52908398,4.112733699
0.530350338,4.110634481
0.531616697,4.108726102
0.532883056,4.106817722
0.534149415,4.104718505
0.535415774,4.102619287
0.536682133,4.100901745
0.537948492,4.09861169
0.539214851,4.09670331
0.54048121,4.094985769
0.541747568,4.092886551
0.543013927,4.090978171
0.544280286,4.089069792
0.545546645,4.08735225
0.546813004,4.085443871
0.548079363,4.083535491
0.549345722,4.081817949
0.550612081,4.07990957
0.551878439,4.078192028
0.553144798,4.076474486
0.554411157,4.074566107
0.555677516,4.072848565
0.556943875,4.071131024
0.558210234,4.069413482
0.559476593,4.06769594
0.560742952,4.065978399
0.562009311,4.064451695
0.563275669,4.062734153
0.564542028,4.06120745
0.565808387,4.05929907
0.567074746,4.057772366
0.568341105,4.056054825
0.569607464,4.054528121
0.570873823,4.052810579
0.572140182,4.051283876
0.573406541,4.049566334
0.574672899,4.04803963
0.575939258,4.046322089
0.577205617,4.044795385
0.578471976,4.043268681
0.579738335,4.04155114
0.581004694,4.040024436
0.582271053,4.038306894
0.583537412,4.036971029
0.58480377,4.035253487
0.586070129,4.033726783
0.587336488,4.03220008
0.588602847,4.030673376
0.589869206,4.029146672
0.591135565,4.027619968
0.592401924,4.026093265
0.593668283,4.024566561
0.594934642,4.023039857
0.596201,4.021703992
0.597467359,4.020177288
0.598733718,4.018841422
0.600000077,4.017314719
0.601266436,4.015788015
0.602532795,4.014261311
0.603799154,4.012925445
0.605065513,4.01158958
0.606331872,4.010253714
0.60759823,4.00872701
0.608864589,4.007391145
0.610130948,4.006055279
0.611397307,4.004719413
0.612663666,4.003383547
0.613930025,4.001856844
0.615196384,4.000711816
0.616462743,3.99937595
0.617729101,3.997849247
0.61899546,3.996704219
