Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],10,Ai 2020,lithium cobalt oxide
Maximum concentration in positive electrode [mol.m-3],49943,Ai 2020,
Positive electrode diffusivity [m2.s-1],[function]lico2_diffusivity_Dualfoil1998,,
Positive electrode OCP [V],[data]lico2_ocp_Ai2020,,
,,,
# Microstructure,,,
Positive electrode porosity,0.32,Ai 2020,electrolyte volume fraction
Positive electrode active material volume fraction,0.62,,assuming zero binder volume fraction
Positive particle radius [m],3E-06,Ai 2020,
Positive electrode surface area to volume ratio [m-1],620000,Ai 2020,
Positive electrode Bruggeman coefficient (electrolyte),1.83,Ai 2020,
Positive electrode Bruggeman coefficient (electrode),0,Ai 2020,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,Ai 2020,
Negative electrode double-layer capacity [F.m-2],0,,#??
Positive electrode exchange-current density [A.m-2],[function]lico2_electrolyte_exchange_current_density_Dualfoil1998,,
,,,
# Density,,,
Positive electrode density [kg.m-3],2470,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],1080.2,,
Positive electrode thermal conductivity [W.m-1.K-1],1.58,,
Positive electrode OCP entropic change [V.K-1],[function]lico2_entropic_change_Ai2020_function,,
# Positive electrode OCP entropic change [V.K-1],0,,
,,,
# mechanical properties,,,
Positive electrode Poisson's ratio,0.2,,
Positive electrode Young's modulus [Pa],375e9,,
Positive electrode reference concentration for free of deformation [mol.m-3],0,,
Positive electrode partial molar volume [m3.mol-1],-7.28e-7,,
Positive electrode volume change,[function]lico2_volume_change_Ai2020,Ai 2020,
,,,
# Crack model,,,
Positive electrode initial crack length [m],20e-9,,
Positive electrode initial crack width [m],15e-9,,
Positive electrode number of cracks per unit area [m-2],3.18e15,,
Positive electrode Paris' law constant b,1.12,,
Positive electrode Paris' law constant m,2.2,,
Positive electrode cracking rate,[function]lico2_cracking_rate_Ai2020,,
Positive electrode activation energy for cracking rate [J.mol-1],0,,
,,,
# Loss of active materials (LAM) model,,,
Positive electrode LAM constant propotional term,1e-9,,
Positive electrode LAM constant exponential term,2,,
Positive electrode critical stress [Pa],375e6,, 
