Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],10,,
Maximum concentration in positive electrode [mol.m-3],4.9E4,,
Positive electrode diffusivity [m2.s-1],[function]nca_diffusivity_Kim2011,,
Positive electrode OCP [V],[data]nca_ocp_Kim2011_data,
,,,
# Microstructure,,,
Positive electrode porosity,0.4,,
Positive electrode active material volume fraction,0.41,,
Positive particle radius [m],1.633E-6,,
Positive electrode Bruggeman coefficient (electrolyte),2,,
Positive electrode Bruggeman coefficient (electrode),2,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,,
Positive electrode double-layer capacity [F.m-2],0.2, Not provided in Kim2011,
Positive electrode exchange-current density [A.m-2],[function]nca_electrolyte_exchange_current_density_Kim2011,,
,,,
# Density,,,
Positive electrode density [kg.m-3],4205.82708, 3262 * 1.28934,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],700,,
Positive electrode thermal conductivity [W.m-1.K-1],1.4007, 2.1 * 0.667,
Positive electrode OCP entropic change [V.K-1],0,,
