Name [units],Value,Reference,Notes,,
# Empty rows and rows starting with ‘#’ will be ignored,,,,,
,,,,,
# Macroscale geometry,,,,,
Negative current collector thickness [m],2.50E-05,Scott Moura FastDFN,no info from Peyman MPM,,`
Negative electrode thickness [m],4.87E-05,Yang 2017,,,
Separator thickness [m],2.50E-05,Yang 2017,,,
Positive electrode thickness [m],4.75E-05,Yang 2017,,,
Positive current collector thickness [m],2.50E-05,Scott Moura FastDFN,no info from Peyman MPM,,
Electrode height [m],1,KOKAM SLPB78205130H,Not needed for 1D,,
Electrode width [m],0.205,KOKAM SLPB78205130H,Not needed for 1D,,
Cell cooling surface area [m2],0.41,,pouch,,
Cell volume [m3],3.92E-05,,pouch,,
,,,,,
# Current collector properties ,,,,,
Negative current collector conductivity [S.m-1],59600000,LIONSIMBA,carbon,,
Positive current collector conductivity [S.m-1],35500000,LIONSIMBA,aluminium,,
,,,,,
# Density,,,,,
Negative current collector density [kg.m-3],8954,,,,
Positive current collector density [kg.m-3],2707,,,,
,,,,,
# Specific heat capacity,,,,,
Negative current collector specific heat capacity [J.kg-1.K-1],385,,,,
Positive current collector specific heat capacity [J.kg-1.K-1],897,,,,
,,,,,
# Thermal conductivity,,,,,
Negative current collector thermal conductivity [W.m-1.K-1],401,,,,
Positive current collector thermal conductivity [W.m-1.K-1],237,,,,
,,,,,
# Electrical,,,,,
Nominal cell capacity [A.h],2.4,Yang2017,,,
Typical current [A],2.4,,1C current,,
Current function [A],2.4,default current function,,,
