Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1000,,
Cation transference number,0.26,,
1 + dlnf/dlnc,1,,
Electrolyte diffusivity [m2.s-1],[function]electrolyte_diffusivity_Ecker2015,,
Electrolyte conductivity [S.m-1],[function]electrolyte_conductivity_Ecker2015,,
,,,
# Activation energies,,,
Reference temperature [K],296.15,23C,
Electrolyte diffusion activation energy [J.mol-1],1.71E+04,,
Electrolyte conductivity activation energy [J.mol-1],1.71E+04,,
