Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1200,,
Cation transference number,0.4,Reported as a function in Kim2011 (Implement later),
Electrolyte diffusivity [m2.s-1],[function]electrolyte_diffusivity_Kim2011,,
Electrolyte conductivity [S.m-1],[function]electrolyte_conductivity_Kim2011,,
,,,
# Activation energies,,,
Reference temperature [K],298.15,25C,
Electrolyte diffusion activation energy [J.mol-1],,Not required,
Electrolyte conductivity activation energy [J.mol-1],,Not requied,
