Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1000,,By convention
Cation transference number,0.38,,Assumed to be constant
Electrolyte diffusivity [m2.s-1],[function]electrolyte_diffusivity_Valoen2005,, 
Electrolyte conductivity [S.m-1],[function]electrolyte_conductivity_Valoen2005,,
,,,
# Activation energies,,,
Reference temperature [K],298.15,25C,
Electrolyte diffusion activation energy [J.mol-1],37040,,Same as Marquis2019
Electrolyte conductivity activation energy [J.mol-1],34700,,Same as Marquis2019
