Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Temperature
Reference temperature [K],298.15,25C,
Total heat transfer coefficient [W.m-2.K-1],35,default,
Ambient temperature [K],298.15,,
,,,
# Electrical
Number of electrodes connected in parallel to make a cell,34,,
Number of cells connected in series to make a battery,1,,
Lower voltage cut-off [V],3,,
Upper voltage cut-off [V],4.2,,
,,,
# Initial conditions
Initial concentration in negative electrode [mol.m-3],24108,Ai 2020,
Initial concentration in positive electrode [mol.m-3],21725,Ai 2020,
Initial concentration in electrolyte [mol.m-3],1000,Ai 2020,
Initial temperature [K],298.15,,
