Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Temperature
Reference temperature [K],296.15,23C,
Negative current collector surface heat transfer coefficient [W.m-2.K-1],0,Paper does not consider thermal effects
Positive current collector surface heat transfer coefficient [W.m-2.K-1],0,Paper does not consider thermal effects
Negative tab heat transfer coefficient [W.m-2.K-1],10,Paper does not consider thermal effects,
Positive tab heat transfer coefficient [W.m-2.K-1],10,Paper does not consider thermal effects,
Edge heat transfer coefficient [W.m-2.K-1],0.3,Paper does not consider thermal effects,
Total heat transfer coefficient [W.m-2.K-1],10,Paper does not consider thermal effects,
Ambient temperature [K],298.15,,

,,,
# Electrical
Number of electrodes connected in parallel to make a cell,1,,
Number of cells connected in series to make a battery,1,,
Lower voltage cut-off [V],2.5,,
Upper voltage cut-off [V],4.2,,
,,,
# Initial conditions
Initial concentration in negative electrode [mol.m-3], 26120.05,,
Initial concentration in positive electrode [mol.m-3], 12630.8,,
Initial concentration in electrolyte [mol.m-3],1000,,
Initial temperature [K],298.15,,
