Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Temperature
Reference temperature [K],298.15,25C,
Heat transfer coefficient [W.m-2.K-1],25,,
Ambient temperature [K], 298.15,,

,,,
# Electrical
Number of electrodes connected in parallel to make a cell,1,,
Number of cells connected in series to make a battery,1,,
Lower voltage cut-off [V],2.7,,
Upper voltage cut-off [V],4.5,,
,,,
# Initial conditions
Initial concentration in negative electrode [mol.m-3],18081,0.63*2.84E4,
Initial concentration in positive electrode [mol.m-3],20090,0.41*4.9E4,
Initial concentration in electrolyte [mol.m-3],1200,,
Initial temperature [K],298.15,,
