Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Mechanical properties,,,
Negative electrode Poisson's ratio,0.3,,
Negative electrode Young's modulus [Pa],15e9,,
Negative electrode Reference concentration for free of deformation [m3.mol-1],0,,
Negative electrode Partial molar volume [m3.mol-1],3.1e-6,,
,,,
# Crack model
Negative electrode Initial crack length [m],20e-9,,
Negative electrode Initial crack width [m],15e-9,,
Negative electrode Number of cracks per unit area of the particle [m-2],3.18e15,,
Negative electrode Paris' law constant b,1.12,,
Negative electrode Paris' law constant m,2.2,,
Negative electrode Cracking rate, 1.9e-9,,
Negative electrode Activation energy for cracking rate [kJ.mol-1],0,,
