Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode Poisson's ratio,0.2,,
Positive electrode Young's modulus [Pa],375e9,,
Positive electrode Reference concentration for free of deformation [m3.mol-1],0,,
Positive electrode Partial molar volume [m3.mol-1],-7.28e-7,,
,,,
# Crack model,,,
Positive electrode Initial crack length [m],20e-9,,
Positive electrode Initial crack width [m],15e-9,,
Positive electrode Number of cracks per unit area of the particle [m-2],3.18e15,,
Positive electrode Paris' law constant b,1.12,,
Positive electrode Paris' law constant m,2.2,,
Positive electrode Cracking rate, 1.9e-9,,
Positive electrode Activation energy for cracking rate [kJ.mol-1],0,,
,,,
# ---- Negative electrode ----
,,,
# Mechanical properties,,,
Negative electrode Poisson's ratio,0.3,,
Negative electrode Young's modulus [Pa],15e9,,
Negative electrode Reference concentration for free of deformation [m3.mol-1],0,,
Negative electrode Partial molar volume [m3.mol-1],3.1e-6,,
,,,
# Crack model,,,
Negative electrode Initial crack length [m],20e-9,,
Negative electrode Initial crack width [m],15e-9,,
Negative electrode Number of cracks per unit area of the particle [m-2],3.18e15,,
Negative electrode Paris' law constant b,1.12,,
Negative electrode Paris' law constant m,2.2,,
Negative electrode Cracking rate,3.9e-20,,
Negative electrode Activation energy for cracking rate [kJ.mol-1],0,,
