Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],100,Ramadass,graphite
Maximum concentration in negative electrode [mol.m-3],30555,Ramadass,
Negative electrode diffusivity [m2.s-1],[function]graphite_mcmb2528_diffusivity_Dualfoil1998,Also valid for Ramadass,
Negative electrode OCP [V],[function]graphite_ocp_Ramadass2004,
,,,
# Microstructure,,,
Negative electrode porosity,0.485,Ramadass,electrolyte volume fraction
Negative electrode active material volume fraction,0.49,Ramadass,
Negative particle radius [m],2e-06,Ramadass,
Negative electrode Bruggeman coefficient (electrolyte),4,Guess,
Negative electrode Bruggeman coefficient (electrode),4,Ramadass,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Ramadass,
Negative electrode double-layer capacity [F.m-2],0.2,,
Negative electrode exchange-current density [A.m-2],[function]graphite_electrolyte_exchange_current_density_Ramadass2004,,
,,,
# Density,,,
Negative electrode density [kg.m-3],1657,,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],700,,
Negative electrode thermal conductivity [W.m-1.K-1],1.7,,
Negative electrode OCP entropic change [V.K-1],[function]graphite_entropic_change_Moura2016,,
