Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],14,,
Maximum concentration in negative electrode [mol.m-3],31920,,
Negative electrode diffusivity [m2.s-1],[function]graphite_diffusivity_Ecker2015,,
Negative electrode OCP [V],[function]graphite_ocp_Ecker2015_function,,
,,,
# Microstructure,,,
Negative electrode porosity,0.32,Yang2017,
Negative electrode active material volume fraction,0.372403,,
Negative particle radius [m],1.00E-05,Yang2017,
Negative electrode Bruggeman coefficient (electrolyte),1.637278934,Solve for permeability factor B=0.162=eps^b,
Negative electrode Bruggeman coefficient (electrode),0,No Bruggeman correction to the solid conductivity,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Negative electrode exchange-current density [A.m-2],[function]graphite_electrolyte_exchange_current_density_Ecker2015,,
,,,
# Thermal parameters,,,
Negative electrode OCP entropic change [V.K-1],0,,
