Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],10,Scott Moura FastDFN,lithium cobalt oxide
Maximum concentration in positive electrode [mol.m-3],51217.9257309275,Scott Moura FastDFN,
Positive electrode diffusivity [m2.s-1],[function]lico2_diffusivity_Dualfoil1998,,
Positive electrode OCP [V],[function]lico2_ocp_Dualfoil1998,,
,,,
# Microstructure,,,
Positive electrode porosity,0.3,Scott Moura FastDFN,electrolyte volume fraction
Positive electrode active material volume fraction,0.5,,
Positive particle radius [m],1E-05,Scott Moura FastDFN,
Positive electrode Bruggeman coefficient (electrolyte),1.5,Scott Moura FastDFN,
Positive electrode Bruggeman coefficient (electrode),1.5,Scott Moura FastDFN,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,Scott Moura FastDFN,
Positive electrode double-layer capacity [F.m-2],0.2,,
Positive electrode exchange-current density [A.m-2],[function]lico2_electrolyte_exchange_current_density_Dualfoil1998,,
,,,
# Density,,,
Positive electrode density [kg.m-3],3262,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],700,,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,,
Positive electrode OCP entropic change [V.K-1],[function]lico2_entropic_change_Moura2016,,
