Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# SEI properties,,,
Inner SEI reaction proportion,0.5,,
Inner SEI partial molar volume [m3.mol-1],3e-6, Guess,
Outer SEI partial molar volume [m3.mol-1],3e-6, Guess,
SEI reaction exchange current density [A.m-2],1.5E-7, Guess,
SEI resistivity [Ohm.m],1e6,Guess,check Ramadass
Outer SEI solvent diffusivity [m2.s-1],2.5E-22, Single paper,
Bulk solvent concentration [mol.m-3],2.636E3, Ploehn paper,
Ratio of inner and outer SEI exchange current densities,1, Assume same,
Inner SEI open-circuit potential [V],0.1,,
Outer SEI open-circuit potential [V],0.8,,
Inner SEI electron conductivity [S.m-1],8.95E-14, Single paper,
Inner SEI lithium interstitial diffusivity [m2.s-1],1E-20, Guess,
Lithium interstitial reference concentration [mol.m-3],15, Single paper,
Initial inner SEI thickness [m], 7.5E-9, 7.5E-9 1/2 of initial thickness in Single paper,
Initial outer SEI thickness [m], 7.5E-9, 1/2 of initial thickness in Single paper,
