Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# SEI properties,,,
Inner SEI reaction proportion,0.5,,
Inner SEI partial molar volume [m3.mol-1],9.585e-5, Safari 2009,
Outer SEI partial molar volume [m3.mol-1],9.585e-5, Safari 2009,
SEI reaction exchange current density [A.m-2],1.5e-6, Ramadass 2004,
SEI resistivity [Ohm.m],5e6, Safari 2009,
Outer SEI solvent diffusivity [m2.s-1],2.5E-22, Single paper,
Bulk solvent concentration [mol.m-3],2.636E3, Ploehn paper,
Ratio of inner and outer SEI exchange current densities,1, Assume same,
Inner SEI open-circuit potential [V],0.1,,
Outer SEI open-circuit potential [V],0.8,,
Inner SEI electron conductivity [S.m-1],8.95E-14, Single paper,
Inner SEI lithium interstitial diffusivity [m2.s-1],1E-20, Guess,
Lithium interstitial reference concentration [mol.m-3],15, Single paper,
Initial inner SEI thickness [m], 2.5E-9, 2.5E-9 1/2 of initial thickness in Safari paper,
Initial outer SEI thickness [m], 2.5E-9, 1/2 of initial thickness in Safari paper,
EC initial concentration in electrolyte [mol.m-3], 4.541e3, Safari paper,
EC diffusivity [m2.s-1], 2e-18, adjusted parameter in Yang paper,
SEI kinetic rate constant [m.s-1], 1e-12, adjusted parameter in Yang paper,
SEI open-circuit potential [V], 0, Estimated,

