Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
Reference Temperature [K],298,,
Ambient Temperature [K], 298,,
Molar mass of S8 [g.mol-1], 32,,
Number of S atoms in S [atoms], 1,,
Number of S atoms in S2 [atoms], 2,,
Number of S atoms in S4 [atoms], 4,,
Number of S atoms in S8 [atoms], 8,,
Electron number per reaction [electrons], 4,,
Exchange current density H [A.m-2], 10,,
Exchange current density L [A.m-2], 5,,
Active reaction area per cell [m2], 0.960,,
Mass of active sulfur per cell [g], 2.7,,
Density of precipitated Sulfur [g.L-1], 2000,,
Electrolyte volume per cell [L], 0.0114,,
Lower voltage cut-off [V], 2.15,,
Upper voltage cut-off [V], 2.5,,
Standard Potential H [V], 2.35,,
Standard Potential L [V], 2.195,,
Precipitation rate [s-1], 100,,
S saturation mass [g], 0.0001,,
Shuttle rate coefficient during charge [s-1], 0.0002,,
Shuttle rate coefficient during discharge [s-1], 0,,
Loss rate due to shuttle [s-1], 0.25,,
Cell heat capacity [J.g-1.K-1], 2,,
Pre-Exponential factor in Arrhenius Equation [J.mol-1], 8.9712e-20,,
Cell heat transfer coefficient [W.K-1], 0.2,,
Cell mass [kg], 129.0,,
Number of cells connected in series to make a battery,1,,
Current function [A],1,default current function,
Initial Condition for S8 ion [g], 2.6946000000000003,,
Initial Condition for S4 ion [g], 0.0027,,
Initial Condition for S2 ion [g], 0.002697299116926997,,
Initial Condition for S ion [g], 8.83072852310722e-10,,
Initial Condition for Precipitated Sulfur [g], 2.7e-06,,
Initial Condition for Shuttled Sulfur [g], 0.0,
Initial Condition for Terminal Voltage [V], 2.430277479547109,,
Reaction 1 Li Stochiometric Coefficient, 1,,
Reaction 2 S8(s) Stochiometric Coefficient, -0.5,,
Reaction 2 S8 Stochiometric Coefficient, 0.5,,
Reaction 3 S8 Stochiometric Coefficient, -1.5,,
Reaction 3 S6 Stochiometric Coefficient, 2,,
Reaction 4 S6 Stochiometric Coefficient, -1,,
Reaction 4 S4 Stochiometric Coefficient, 1.5,,
Reaction 5 S4 Stochiometric Coefficient, -0.5,,
Reaction 5 S2 Stochiometric Coefficient, 1,,
Reaction 6 S2 Stochiometric Coefficient, -0.5,,
Reaction 6 S1 Stochiometric Coefficient, 1,,
Reaction 1 Standard Reduction Potential [V], 0.0,,
Reaction 2 Standard Reduction Potential [V], 2.38,,
Reaction 3 Standard Reduction Potential [V], 2.24,,
Reaction 4 Standard Reduction Potential [V], 2.15,,
Reaction 5 Standard Reduction Potential [V], 2.05,,
Reaction 6 Standard Reduction Potential [V], 1.94,,
Reaction 1 Transferred Electron Amount [-], 1,,
Reaction 2 Transferred Electron Amount [-], -1,,
Reaction 3 Transferred Electron Amount [-], -1,,
Reaction 4 Transferred Electron Amount [-], -1,,
Reaction 5 Transferred Electron Amount [-], -1,,
Reaction 6 Transferred Electron Amount [-], -1,,
Reaction 2 Exchange Current Density [A.m-2], 2.0,,
Reaction 3 Exchange Current Density [A.m-2], 1.5,,
Reaction 4 Exchange Current Density [A.m-2], 1.0,,
Reaction 5 Exchange Current Density [A.m-2], 0.6,,
Reaction 6 Exchange Current Density [A.m-2], 0.3,,
Apparent Geometric Area [m2], 0.29,,
Cell Thickness [m], 4e-5,,
Molar Volume of Li2S [m3], 2.8e-6,,
Initial Li2S volume fraction [-], 1e-7,,
Initial Li Concentration [g], 1.1e3,,
Solubility Product [mol3.m-9], 1e3,,
Initial Specific Surface Area [m2], 1e5,,
Initial Cell Porosity [-], 0.65,,
Initial Conductivity [m.S-1], 2e-3,,
Bruggeman Constant [-], 6,,
Conductivity Relation Slope [S.m2.mol], 4.6e-7,,
Reaction 1 Overpotential [V], 0,,
Zhang Initial Condition for solid S8 [g], 6.7e2,,
Zhang Initial Condition for S8 ion [g], 1e2,,
Zhang Initial Condition for S6 ion [g], 8.2,,
Zhang Initial Condition for S4 ion [g], 5.6e-3,,
Zhang Initial Condition for S2 ion [g], 8e-6,,
Zhang Initial Condition for S ion [g], 1.4e-8,,
Zhang Initial Condition for Reaction 2 overpotential [V], 0,,
