Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],10E-6,,
Negative electrode thickness [m],70E-6,,
Separator thickness [m],25E-6,,
Positive electrode thickness [m],50E-6,,
Positive current collector thickness [m],10E-6,,
Electrode height [m],0.2,,
Electrode width [m],0.14,,
Negative tab width [m],0.044,,
Negative tab centre y-coordinate [m],0.013,,
Negative tab centre z-coordinate [m],0.2, At top,
Positive tab width [m],0.044,,
Positive tab centre y-coordinate [m],0.137,,
Positive tab centre z-coordinate [m],0.2,At top,
Cell cooling surface area [m2],5.61E-2,,pouch
Cell volume [m3],4.62E-6,,pouch
,,,
# Current collector properties ,,,
Negative current collector conductivity [S.m-1],59.6E6,,
Positive current collector conductivity [S.m-1],37.8E6,,
,,,
# Density,,,
Negative current collector density [kg.m-3],11544.75, 8954 * 1.28934,
Positive current collector density [kg.m-3],3490.24338, 2707 * 1.28934,
,,,
# Specific heat capacity,,,
Negative current collector specific heat capacity [J.kg-1.K-1],385,,
Positive current collector specific heat capacity [J.kg-1.K-1],897,,
,,,
# Thermal conductivity,,,
Negative current collector thermal conductivity [W.m-1.K-1],267.467, 401 * 0.667,
Positive current collector thermal conductivity [W.m-1.K-1],158.079, 237 * 0.667,
,,,
# Electrical,,,
Nominal cell capacity [A.h],0.43,trial and error,
Typical current [A],0.43,0.2857,1C current
Current function [A],0.43,default current function,
