Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],12E-6,Chen 2020,
Negative electrode thickness [m],85.2E-6,Chen 2020,
Separator thickness [m],12E-6,Chen 2020,
Positive electrode thickness [m],75.6E-6,Chen 2020,
Positive current collector thickness [m],16E-6,Chen 2020,
Electrode height [m],6.5E-2,Chen 2020,Not needed for 1D
Electrode width [m],1.58,Chen 2020,Not needed for 1D
Cell cooling surface area [m2],5.31E-3,Chen 2020,cylindrical
Cell volume [m3],2.42E-5,Chen 2020,cylindrical
,,,
# Current collector properties ,,,
Negative current collector conductivity [S.m-1],58411000,CRC Handbook,copper
Positive current collector conductivity [S.m-1],36914000,CRC Handbook,aluminium
,,,
# Density,,,
Negative current collector density [kg.m-3],8960,CRC Handbook,copper
Positive current collector density [kg.m-3],2700,CRC Handbook,aluminium
,,,
# Specific heat capacity,,,
Negative current collector specific heat capacity [J.kg-1.K-1],385,CRC Handbook,copper
Positive current collector specific heat capacity [J.kg-1.K-1],897,CRC Handbook,aluminium
,,,
# Thermal conductivity,,,
Negative current collector thermal conductivity [W.m-1.K-1],401,CRC Handbook,copper
Positive current collector thermal conductivity [W.m-1.K-1],237,CRC Handbook,aluminium
,,,
# Electrical,,,
Nominal cell capacity [A.h],5,Chen 2020,
Typical current [A],5,Chen 2020,
Current function [A],5,default current function,
