Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],1E-05,Siegel fukuda cu,
Negative electrode thickness [m],55.6E-06,Siegel2022,
Separator thickness [m],12E-06,MPM Etek 12EPH,
Positive electrode thickness [m],55.65E-06,Siegel2022,
Positive current collector thickness [m],1.5E-05,Scott Moura FastDFN,no info from Peyman MPM
Electrode height [m],106e-3,UMBL Pouch,Not needed for 1D
Electrode width [m],1.35,UMBL Pouch,Not needed for 1D 18*68e-3 12 layer pouch
Cell cooling surface area [m2],0.41,,pouch
Cell volume [m3],3.92E-5,,pouch
,,,
# Current collector properties ,,,
Negative current collector conductivity [S.m-1],59600000,LIONSIMBA,carbon
Positive current collector conductivity [S.m-1],35500000,LIONSIMBA,aluminium
,,,
# Density,,,
Negative current collector density [kg.m-3],8954,,
Positive current collector density [kg.m-3],2707,,
,,,
# Specific heat capacity,,,
Negative current collector specific heat capacity [J.kg-1.K-1],385,,
Positive current collector specific heat capacity [J.kg-1.K-1],897,,
,,,
# Thermal conductivity,,,
Negative current collector thermal conductivity [W.m-1.K-1],401,,
Positive current collector thermal conductivity [W.m-1.K-1],237,,
,,,
# Electrical,,,
Nominal cell capacity [A.h],3.5,Siegel 2022,
Typical current [A],3.5,,1C current
Current function [A],3,default current function,
Tabbing resistance [Ohm], 0, default,
