Name [units],Value,Reference,Notes,,
# Empty rows and rows starting with ‘#’ will be ignored,,,,,
,,,,,
# Macroscale geometry,,,,,
Negative current collector thickness [m],2.50E-05,Scott Moura FastDFN,no info from Peyman MPM,,`
Negative electrode thickness [m],48.7E-06,Yang 2017,,,
Separator thickness [m],25E-06,Yang 2017,,,
Positive electrode thickness [m],40.75E-06,Yang 2017,,,
Positive current collector thickness [m],2.50E-05,Scott Moura FastDFN,no info from Peyman MPM,,
Electrode height [m],1,KO,,,
Electrode width [m],0.67217,KOKAM SLPB78205130H,to give correct total electrode area,,
Cell cooling surface area [m2],0.41,,pouch,,
Cell volume [m3],3.92E-05,,pouch,,
,,,,,
# Current collector properties ,,,,,
Negative current collector conductivity [S.m-1],59600000,LIONSIMBA,carbon,,
Positive current collector conductivity [S.m-1],35500000,LIONSIMBA,aluminium,,
,,,,,
# Density,,,,,
Negative current collector density [kg.m-3],8954,,,,
Positive current collector density [kg.m-3],2707,,,,
,,,,,
# Specific heat capacity,,,,,
Negative current collector specific heat capacity [J.kg-1.K-1],385,,,,
Positive current collector specific heat capacity [J.kg-1.K-1],897,,,,
,,,,,
# Thermal conductivity,,,,,
Negative current collector thermal conductivity [W.m-1.K-1],401,,,,
Positive current collector thermal conductivity [W.m-1.K-1],237,,,,
,,,,,
# Electrical,,,,,
Nominal cell capacity [A.h],12.4,Yang2017,,,
Typical current [A],12.4,,1C current,,
Current function [A],12.4,default current function,,,
