# OCP data for LG INR18650-MJ1 NMC811 cathode
# sto,ocp
    0.215685,     4.299909
    0.216685,     4.296767
    0.217685,     4.293178
    0.218685,     4.289696
    0.219685,     4.286230
    0.220685,     4.282916
    0.221685,     4.279660
    0.222685,     4.276482
    0.223685,     4.273349
    0.224685,     4.270279
    0.225685,     4.267354
    0.226685,     4.264443
    0.227685,     4.261603
    0.228685,     4.258842
    0.229685,     4.256218
    0.230685,     4.253594
    0.231685,     4.251121
    0.232685,     4.248689
    0.233685,     4.246323
    0.234685,     4.243953
    0.235685,     4.241753
    0.236685,     4.239646
    0.237685,     4.237519
    0.238685,     4.235477
    0.239685,     4.233560
    0.240685,     4.231647
    0.241685,     4.229787
    0.242685,     4.228028
    0.243685,     4.226297
    0.244685,     4.224635
    0.245685,     4.223006
    0.246685,     4.221476
    0.247685,     4.219934
    0.248685,     4.218496
    0.249685,     4.217047
    0.250685,     4.215733
    0.251685,     4.214368
    0.252685,     4.213080
    0.253685,     4.211849
    0.254685,     4.210711
    0.255685,     4.209522
    0.256685,     4.208338
    0.257685,     4.207290
    0.258685,     4.206334
    0.259685,     4.205274
    0.260685,     4.204283
    0.261685,     4.203405
    0.262685,     4.202391
    0.263685,     4.201531
    0.264685,     4.200676
    0.265685,     4.199877
    0.266685,     4.198997
    0.267685,     4.198247
    0.268685,     4.197498
    0.269685,     4.196731
    0.270685,     4.196014
    0.271685,     4.195276
    0.272685,     4.194656
    0.273685,     4.194012
    0.274685,     4.193394
    0.275685,     4.192768
    0.276685,     4.192081
    0.277685,     4.191538
    0.278685,     4.190958
    0.279685,     4.190336
    0.280685,     4.189746
    0.281685,     4.189218
    0.282685,     4.188685
    0.283685,     4.188196
    0.284685,     4.187676
    0.285685,     4.187154
    0.286685,     4.186743
    0.287685,     4.186166
    0.288685,     4.185700
    0.289685,     4.185253
    0.290685,     4.184824
    0.291685,     4.184333
    0.292685,     4.183853
    0.293685,     4.183399
    0.294685,     4.182947
    0.295685,     4.182539
    0.296685,     4.182139
    0.297685,     4.181748
    0.298685,     4.181242
    0.299685,     4.180809
    0.300685,     4.180381
    0.301685,     4.179932
    0.302685,     4.179556
    0.303685,     4.179075
    0.304685,     4.178700
    0.305685,     4.178249
    0.306685,     4.177727
    0.307685,     4.177287
    0.308685,     4.176813
    0.309685,     4.176348
    0.310685,     4.175946
    0.311685,     4.175400
    0.312685,     4.174892
    0.313685,     4.174281
    0.314685,     4.173781
    0.315685,     4.173192
    0.316685,     4.172604
    0.317685,     4.171901
    0.318685,     4.171267
    0.319685,     4.170599
    0.320685,     4.169915
    0.321685,     4.169198
    0.322685,     4.168361
    0.323685,     4.167559
    0.324685,     4.166772
    0.325685,     4.165775
    0.326685,     4.164948
    0.327685,     4.163961
    0.328685,     4.162984
    0.329685,     4.162012
    0.330685,     4.160969
    0.331685,     4.159886
    0.332685,     4.158801
    0.333685,     4.157738
    0.334685,     4.156604
    0.335685,     4.155421
    0.336685,     4.154278
    0.337685,     4.153006
    0.338685,     4.151799
    0.339685,     4.150565
    0.340685,     4.149275
    0.341685,     4.148033
    0.342685,     4.146685
    0.343685,     4.145414
    0.344685,     4.144038
    0.345685,     4.142809
    0.346685,     4.141264
    0.347685,     4.139929
    0.348685,     4.138551
    0.349685,     4.137117
    0.350685,     4.135787
    0.351685,     4.134253
    0.352685,     4.132885
    0.353685,     4.131399
    0.354685,     4.129968
    0.355685,     4.128462
    0.356685,     4.127002
    0.357685,     4.125498
    0.358685,     4.124043
    0.359685,     4.122498
    0.360685,     4.121077
    0.361685,     4.119490
    0.362685,     4.118018
    0.363685,     4.116423
    0.364685,     4.114945
    0.365685,     4.113372
    0.366685,     4.111890
    0.367685,     4.110289
    0.368685,     4.108818
    0.369685,     4.107008
    0.370685,     4.105803
    0.371685,     4.104306
    0.372685,     4.102765
    0.373685,     4.101210
    0.374685,     4.099721
    0.375685,     4.098107
    0.376685,     4.096676
    0.377685,     4.095078
    0.378685,     4.093613
    0.379685,     4.091994
    0.380685,     4.090513
    0.381685,     4.088940
    0.382685,     4.087467
    0.383685,     4.085925
    0.384685,     4.084468
    0.385685,     4.082888
    0.386685,     4.081413
    0.387685,     4.079875
    0.388685,     4.078406
    0.389685,     4.076901
    0.390685,     4.075460
    0.391685,     4.073985
    0.392685,     4.072550
    0.393685,     4.071084
    0.394685,     4.069642
    0.395685,     4.068211
    0.396685,     4.066744
    0.397685,     4.065380
    0.398685,     4.063940
    0.399685,     4.062616
    0.400685,     4.061170
    0.401685,     4.059844
    0.402685,     4.058442
    0.403685,     4.057129
    0.404685,     4.055761
    0.405685,     4.054382
    0.406685,     4.053081
    0.407685,     4.051743
    0.408685,     4.050462
    0.409685,     4.049094
    0.410685,     4.047853
    0.411685,     4.046516
    0.412685,     4.045242
    0.413685,     4.044012
    0.414685,     4.042674
    0.415685,     4.041553
    0.416685,     4.040187
    0.417685,     4.038964
    0.418685,     4.037713
    0.419685,     4.036474
    0.420685,     4.035339
    0.421685,     4.034114
    0.422685,     4.032947
    0.423685,     4.031744
    0.424685,     4.030559
    0.425685,     4.029417
    0.426685,     4.028199
    0.427685,     4.027052
    0.428685,     4.025934
    0.429685,     4.024753
    0.430685,     4.023629
    0.431685,     4.022512
    0.432685,     4.021348
    0.433685,     4.020268
    0.434685,     4.019045
    0.435685,     4.017964
    0.436685,     4.016887
    0.437685,     4.015730
    0.438685,     4.014656
    0.439685,     4.013583
    0.440685,     4.012442
    0.441685,     4.011383
    0.442685,     4.010299
    0.443685,     4.009210
    0.444685,     4.008141
    0.445685,     4.006952
    0.446685,     4.005913
    0.447685,     4.004971
    0.448685,     4.003748
    0.449685,     4.002661
    0.450685,     4.001637
    0.451685,     4.000512
    0.452685,     3.999450
    0.453685,     3.998400
    0.454685,     3.997254
    0.455685,     3.996210
    0.456685,     3.995061
    0.457685,     3.993963
    0.458685,     3.992914
    0.459685,     3.991808
    0.460685,     3.990697
    0.461685,     3.989650
    0.462685,     3.988488
    0.463685,     3.987407
    0.464685,     3.986360
    0.465685,     3.985160
    0.466685,     3.984095
    0.467685,     3.982987
    0.468685,     3.981851
    0.469685,     3.980729
    0.470685,     3.979615
    0.471685,     3.978455
    0.472685,     3.977344
    0.473685,     3.976144
    0.474685,     3.975034
    0.475685,     3.973908
    0.476685,     3.972707
    0.477685,     3.971604
    0.478685,     3.970400
    0.479685,     3.969191
    0.480685,     3.968086
    0.481685,     3.966849
    0.482685,     3.965694
    0.483685,     3.964472
    0.484685,     3.963280
    0.485685,     3.962156
    0.486685,     3.960875
    0.487685,     3.959724
    0.488685,     3.958524
    0.489685,     3.957278
    0.490685,     3.956118
    0.491685,     3.954877
    0.492685,     3.953669
    0.493685,     3.952418
    0.494685,     3.951189
    0.495685,     3.949965
    0.496685,     3.948745
    0.497685,     3.947496
    0.498685,     3.946167
    0.499685,     3.944915
    0.500685,     3.943707
    0.501685,     3.942408
    0.502685,     3.941175
    0.503685,     3.939914
    0.504685,     3.938667
    0.505685,     3.937469
    0.506685,     3.936089
    0.507685,     3.934846
    0.508685,     3.933488
    0.509685,     3.932204
    0.510685,     3.930925
    0.511685,     3.929585
    0.512685,     3.928353
    0.513685,     3.927011
    0.514685,     3.925766
    0.515685,     3.924456
    0.516685,     3.923117
    0.517685,     3.921783
    0.518685,     3.920426
    0.519685,     3.919156
    0.520685,     3.917794
    0.521685,     3.916505
    0.522685,     3.915074
    0.523685,     3.913781
    0.524685,     3.912424
    0.525685,     3.911054
    0.526685,     3.909778
    0.527685,     3.908376
    0.528685,     3.907187
    0.529685,     3.905741
    0.530685,     3.904415
    0.531685,     3.903009
    0.532685,     3.901682
    0.533685,     3.900364
    0.534685,     3.898963
    0.535685,     3.897679
    0.536685,     3.896270
    0.537685,     3.894962
    0.538685,     3.893589
    0.539685,     3.892256
    0.540685,     3.890877
    0.541685,     3.889529
    0.542685,     3.888220
    0.543685,     3.886834
    0.544685,     3.885534
    0.545685,     3.884157
    0.546685,     3.882826
    0.547685,     3.881439
    0.548685,     3.880124
    0.549685,     3.878707
    0.550685,     3.877422
    0.551685,     3.876095
    0.552685,     3.874737
    0.553685,     3.873433
    0.554685,     3.872034
    0.555685,     3.870735
    0.556685,     3.869370
    0.557685,     3.868090
    0.558685,     3.866700
    0.559685,     3.865450
    0.560685,     3.864139
    0.561685,     3.862848
    0.562685,     3.861540
    0.563685,     3.860177
    0.564685,     3.858900
    0.565685,     3.857620
    0.566685,     3.856291
    0.567685,     3.855072
    0.568685,     3.853756
    0.569685,     3.852501
    0.570685,     3.851304
    0.571685,     3.849971
    0.572685,     3.848715
    0.573685,     3.847409
    0.574685,     3.846214
    0.575685,     3.844952
    0.576685,     3.843749
    0.577685,     3.842554
    0.578685,     3.841314
    0.579685,     3.840145
    0.580685,     3.838933
    0.581685,     3.837743
    0.582685,     3.836590
    0.583685,     3.835383
    0.584685,     3.834251
    0.585685,     3.833103
    0.586685,     3.831938
    0.587685,     3.830874
    0.588685,     3.829674
    0.589685,     3.828596
    0.590685,     3.827532
    0.591685,     3.826407
    0.592685,     3.825344
    0.593685,     3.824232
    0.594685,     3.823151
    0.595685,     3.822110
    0.596685,     3.821064
    0.597685,     3.820027
    0.598685,     3.819002
    0.599685,     3.818042
    0.600685,     3.816953
    0.601685,     3.815970
    0.602685,     3.814998
    0.603685,     3.813969
    0.604685,     3.813035
    0.605685,     3.812048
    0.606685,     3.811065
    0.607685,     3.810153
    0.608685,     3.809213
    0.609685,     3.808223
    0.610685,     3.807385
    0.611685,     3.806431
    0.612685,     3.805421
    0.613685,     3.804546
    0.614685,     3.803688
    0.615685,     3.802827
    0.616685,     3.801894
    0.617685,     3.801034
    0.618685,     3.800219
    0.619685,     3.799246
    0.620685,     3.798412
    0.621685,     3.797584
    0.622685,     3.796767
    0.623685,     3.795897
    0.624685,     3.795078
    0.625685,     3.794315
    0.626685,     3.793455
    0.627685,     3.792662
    0.628685,     3.791826
    0.629685,     3.791086
    0.630685,     3.790254
    0.631685,     3.789469
    0.632685,     3.788698
    0.633685,     3.787953
    0.634685,     3.787130
    0.635685,     3.786365
    0.636685,     3.785623
    0.637685,     3.784874
    0.638685,     3.784070
    0.639685,     3.783334
    0.640685,     3.782640
    0.641685,     3.781919
    0.642685,     3.781102
    0.643685,     3.780439
    0.644685,     3.779697
    0.645685,     3.779089
    0.646685,     3.778261
    0.647685,     3.777508
    0.648685,     3.776818
    0.649685,     3.776108
    0.650685,     3.775395
    0.651685,     3.774651
    0.652685,     3.773920
    0.653685,     3.773243
    0.654685,     3.772528
    0.655685,     3.771788
    0.656685,     3.771117
    0.657685,     3.770434
    0.658685,     3.769787
    0.659685,     3.769016
    0.660685,     3.768419
    0.661685,     3.767667
    0.662685,     3.767031
    0.663685,     3.766361
    0.664685,     3.765741
    0.665685,     3.765003
    0.666685,     3.764313
    0.667685,     3.763764
    0.668685,     3.763054
    0.669685,     3.762311
    0.670685,     3.761634
    0.671685,     3.761002
    0.672685,     3.760331
    0.673685,     3.759715
    0.674685,     3.758958
    0.675685,     3.758308
    0.676685,     3.757677
    0.677685,     3.756977
    0.678685,     3.756307
    0.679685,     3.755652
    0.680685,     3.755007
    0.681685,     3.754363
    0.682685,     3.753752
    0.683685,     3.753004
    0.684685,     3.752376
    0.685685,     3.751739
    0.686685,     3.751073
    0.687685,     3.750444
    0.688685,     3.749670
    0.689685,     3.749053
    0.690685,     3.748434
    0.691685,     3.747713
    0.692685,     3.747040
    0.693685,     3.746403
    0.694685,     3.745758
    0.695685,     3.745116
    0.696685,     3.744382
    0.697685,     3.743776
    0.698685,     3.743103
    0.699685,     3.742463
    0.700685,     3.741798
    0.701685,     3.741134
    0.702685,     3.740452
    0.703685,     3.739808
    0.704685,     3.739184
    0.705685,     3.738450
    0.706685,     3.737775
    0.707685,     3.737096
    0.708685,     3.736471
    0.709685,     3.735789
    0.710685,     3.735102
    0.711685,     3.734504
    0.712685,     3.733769
    0.713685,     3.733196
    0.714685,     3.732361
    0.715685,     3.731741
    0.716685,     3.731031
    0.717685,     3.730379
    0.718685,     3.729703
    0.719685,     3.728988
    0.720685,     3.728319
    0.721685,     3.727661
    0.722685,     3.726963
    0.723685,     3.726195
    0.724685,     3.725638
    0.725685,     3.724867
    0.726685,     3.724193
    0.727685,     3.723467
    0.728685,     3.722773
    0.729685,     3.722091
    0.730685,     3.721424
    0.731685,     3.720767
    0.732685,     3.719988
    0.733685,     3.719316
    0.734685,     3.718624
    0.735685,     3.717973
    0.736685,     3.717332
    0.737685,     3.716571
    0.738685,     3.715829
    0.739685,     3.715209
    0.740685,     3.714170
    0.741685,     3.713702
    0.742685,     3.713132
    0.743685,     3.712418
    0.744685,     3.711752
