Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1000,Peyman MPM,from MPM code
Initial concentration in electrolyte [mol.m-3],1000,Peyman MPM,from MPM code
Cation transference number,0.38,Peyman MPM,
1 + dlnf/dlnc,1,,
Typical electrolyte diffusivity [m2.s-1],5.35E-10,Peyman MPM,
Electrolyte diffusivity [m2.s-1],[function]electrolyte_diffusivity_PeymanMPM,,
Typical electrolyte conductivity [m2.s-1],1.3,Peyman MPM, 
Electrolyte conductivity [S.m-1],[function]electrolyte_conductivity_PeymanMPM,, 
