# OCP for graphite from Ai 2020
# sto,ocp [V]
# extra point to avoid extrapolation
0,3.5
# experimentally measured data
0.0005,3
0.00127041,1.04
0.00152479,1.01
0.00190595,0.972653837
0.002223558,0.94249055
0.004060547,0.816240592
0.004820151,0.780280928
0.006463943,0.71896262
0.00741337,0.691374757
0.008616506,0.661391781
0.009123417,0.649962232
0.010768226,0.6165173
0.012665046,0.583310858
0.014118344,0.560830783
0.017786752,0.512439476
0.02069469,0.48025136
0.023983799,0.448495867
0.030502175,0.39598881
0.036001135,0.359507681
0.039606662,0.338477981
0.059148083,0.256319558
0.061297942,0.25117361
0.071349833,0.236055324
0.080265526,0.231009217
0.119208079,0.2232966
0.128120548,0.218284244
0.134253707,0.213273859
0.141584594,0.208228362
0.150874177,0.203209739
0.160609131,0.198620985
0.170345957,0.193816376
0.189747769,0.184166915
0.209222253,0.176790532
0.21901773,0.173830441
0.228756579,0.170963261
0.238552575,0.167903501
0.248349231,0.164649979
0.258084023,0.161491332
0.267821184,0.15859383
0.28741535,0.153399157
0.297209811,0.151002319
0.307004942,0.14886213
0.316798396,0.146918911
0.326534032,0.145328142
0.336321558,0.144002109
0.346061758,0.142902125
0.355856392,0.142014262
0.365593044,0.141316008
0.375388012,0.140759105
0.385120781,0.140314323
0.394915577,0.139942322
0.404717479,0.139617851
0.414512102,0.139325406
0.424244871,0.139051014
0.434039331,0.138779297
0.44377024,0.138517413
0.453564862,0.138258897
0.463298139,0.137981293
0.473034456,0.137672226
0.482766544,0.137329325
0.492564552,0.136903224
0.502302892,0.136390244
0.512042595,0.135757581
0.521833161,0.134947101
0.531572182,0.133923235
0.541369033,0.132621681
0.551104831,0.130989474
0.5608998,0.128964924
0.570635608,0.126549987
0.580434806,0.123742878
0.590235692,0.120770834
0.599977407,0.117929634
0.609716266,0.115379983
0.619517822,0.113205423
0.629313635,0.111366477
0.639049108,0.109855495
0.648790152,0.108578952
0.658584104,0.107520678
0.668320248,0.106632536
0.67805504,0.105893758
0.687851869,0.105260613
0.69764938,0.104713189
0.707389072,0.104254365
0.717188097,0.103845625
0.726977148,0.103477119
0.736776336,0.103153932
0.746515866,0.102856541
0.756259106,0.102587443
0.766055091,0.102338279
0.775789039,0.102101986
0.785537861,0.101880905
0.79532979,0.101676423
0.805080646,0.101465878
0.814827099,0.101264171
0.824570003,0.101062635
0.834370889,0.10087041
0.844173289,0.10068096
0.853913187,0.100489223
0.86365051,0.100300437
0.873392073,0.100099718
0.883126865,0.099877104
0.892918286,0.099628985
0.902708516,0.099332616
0.912443308,0.098958419
0.922232533,0.098442542
0.932019724,0.097683643
0.941812832,0.096492
0.951602392,0.094510791
0.961392795,0.091136817
0.970177652,0.086115186
0.976051358,0.081078748
0.980413449,0.07604037
0.983887804,0.070991535
0.986792703,0.065898328
0.989255096,0.060844047
0.991401407,0.055810118
0.993359929,0.050670698
0.995130154,0.045562401
0.996776304,0.040392663
0.99822944,0.035261272
0.999241066,0.030242658
0.999746961,0.024850768
0.999936448,0.019251502
1,0.004994678
