# Entropy for graphite from Ai2020
# Just for reference against graphite_entropy_Enertech_Ai2020_function
# stoichiometry , entropic change [mV.K-1]
0.0000000e+00,5.2700000e-03
1.0000000e-02,4.9161311e-02
2.0000000e-02,1.1269475e-01
3.0000000e-02,1.9070171e-01
4.0000000e-02,2.4996395e-01
5.0000000e-02,2.4670045e-01
6.0000000e-02,1.9017663e-01
7.0000000e-02,1.2383313e-01
8.0000000e-02,7.0147138e-02
9.0000000e-02,3.1338363e-02
1.0000000e-01,3.7890420e-03
1.1000000e-01,-1.6168816e-02
1.2000000e-01,-3.1205820e-02
1.3000000e-01,-4.3153828e-02
1.4000000e-01,-5.3302760e-02
1.5000000e-01,-6.2626427e-02
1.6000000e-01,-7.1923436e-02
1.7000000e-01,-8.1880316e-02
1.8000000e-01,-9.3048410e-02
1.9000000e-01,-1.0571601e-01
2.0000000e-01,-1.1969020e-01
2.1000000e-01,-1.3411266e-01
2.2000000e-01,-1.4755409e-01
2.3000000e-01,-1.5852853e-01
2.4000000e-01,-1.6615492e-01
2.5000000e-01,-1.7045348e-01
2.6000000e-01,-1.7211739e-01
2.7000000e-01,-1.7206991e-01
2.8000000e-01,-1.7113903e-01
2.9000000e-01,-1.6993421e-01
3.0000000e-01,-1.6885282e-01
3.1000000e-01,-1.6813185e-01
3.2000000e-01,-1.6789813e-01
3.3000000e-01,-1.6820053e-01
3.4000000e-01,-1.6902097e-01
3.5000000e-01,-1.7026507e-01
3.6000000e-01,-1.7173534e-01
3.7000000e-01,-1.7309697e-01
3.8000000e-01,-1.7386338e-01
3.9000000e-01,-1.7345079e-01
4.0000000e-01,-1.7134817e-01
4.1000000e-01,-1.6737103e-01
4.2000000e-01,-1.6183723e-01
4.3000000e-01,-1.5548923e-01
4.4000000e-01,-1.4919003e-01
4.5000000e-01,-1.4360695e-01
4.6000000e-01,-1.3900773e-01
4.7000000e-01,-1.3500887e-01
4.8000000e-01,-1.2994318e-01
4.9000000e-01,-1.2106473e-01
5.0000000e-01,-1.1021528e-01
5.1000000e-01,-1.0348811e-01
5.2000000e-01,-1.0092885e-01
5.3000000e-01,-1.0015801e-01
5.4000000e-01,-9.9965693e-02
5.5000000e-01,-9.9939815e-02
5.6000000e-01,-9.9954176e-02
5.7000000e-01,-9.9972658e-02
5.8000000e-01,-9.9986619e-02
5.9000000e-01,-9.9995371e-02
6.0000000e-01,-1.0000014e-01
6.1000000e-01,-1.0000230e-01
6.2000000e-01,-1.0000291e-01
6.3000000e-01,-1.0000268e-01
6.4000000e-01,-1.0000209e-01
6.5000000e-01,-1.0000141e-01
6.6000000e-01,-1.0000078e-01
6.7000000e-01,-1.0000027e-01
6.8000000e-01,-9.9999912e-02
6.9000000e-01,-9.9999691e-02
7.0000000e-01,-9.9999591e-02
7.1000000e-01,-9.9999585e-02
7.2000000e-01,-9.9999646e-02
7.3000000e-01,-9.9999746e-02
7.4000000e-01,-9.9999862e-02
7.5000000e-01,-9.9999972e-02
7.6000000e-01,-1.0000006e-01
7.7000000e-01,-1.0000011e-01
7.8000000e-01,-1.0000011e-01
7.9000000e-01,-1.0000006e-01
8.0000000e-01,-9.9999942e-02
8.1000000e-01,-9.9999758e-02
8.2000000e-01,-9.9999503e-02
8.3000000e-01,-9.9999176e-02
8.4000000e-01,-9.9998778e-02
8.5000000e-01,-9.9998308e-02
8.6000000e-01,-9.9997769e-02
8.7000000e-01,-9.9997162e-02
8.8000000e-01,-9.9996490e-02
8.9000000e-01,-9.9995755e-02
9.0000000e-01,-9.9994959e-02
9.1000000e-01,-9.9994107e-02
9.2000000e-01,-9.9993200e-02
9.3000000e-01,-9.9992243e-02
9.4000000e-01,-9.9991237e-02
9.5000000e-01,-9.9990187e-02
9.6000000e-01,-9.9989096e-02
9.7000000e-01,-9.9987965e-02
9.8000000e-01,-9.9986799e-02
9.9000000e-01,-9.9985599e-02
1.0000000e+00,-9.9984369e-02
