Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],215,Chen 2020,graphite
Primary: Maximum concentration in negative electrode [mol.m-3],28700,Chen 2020,tuned for 1C
Primary: Initial concentration in negative electrode [mol.m-3],27700,,
Primary: Negative electrode diffusivity [m2.s-1],5.5E-14,Chen 2020,tuned for 1C
Primary: Negative electrode OCP [V],[data]graphite_ocp_Enertech_Ai2020,Chen 2020,
,,,
# Microstructure,,,
Negative electrode porosity,0.25,Chen 2020,
Primary: Negative electrode active material volume fraction,0.735,0.75*0.98
Primary: Negative particle radius [m],5.86E-6,Chen 2020,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Chen 2020,theoretical
Negative electrode Bruggeman coefficient (electrode),1.5,default,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Primary: Negative electrode electrons in reaction,1,,
Negative electrode charge transfer coefficient,0.5,Chen 2020,
Negative electrode double-layer capacity [F.m-2],0.2,,
Primary: Negative electrode exchange-current density [A.m-2],[function]graphite_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# Density,,,
Primary: Negative electrode density [kg.m-3],1657,default,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],700,default,
Negative electrode thermal conductivity [W.m-1.K-1],1.7,default,
Primary: Negative electrode OCP entropic change [V.K-1],0,,
,,,
,,,
# Secondary particles (silicon)
# Electrode properties,,,
Secondary: Maximum concentration in negative electrode [mol.m-3],278000,,
Secondary: Initial concentration in negative electrode [mol.m-3],276610,,
Secondary: Negative electrode diffusivity [m2.s-1],1.67E-14,,
Secondary: Negative electrode lithiation OCP [V],[function]silicon_ocp_lithiation_Mark2016,,
Secondary: Negative electrode delithiation OCP [V],[function]silicon_ocp_delithiation_Mark2016,,
,,,
# Microstructure,,,
Secondary: Negative electrode active material volume fraction,0.015,,0.75*0.02
Secondary: Negative particle radius [m],1.52E-6,,
,,,
# Interfacial reactions,,,
Secondary: Negative electrode electrons in reaction,1,,
Secondary: Negative electrode exchange-current density [A.m-2],[function]silicon_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# Density,,,
Secondary: Negative electrode density [kg.m-3],2650,,
,,,
# Thermal parameters,,,
Secondary: Negative electrode OCP entropic change [V.K-1],0,,
