Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],215,Chen 2020,graphite
Maximum concentration in negative electrode [mol.m-3],29583,Chen 2020,
Negative electrode diffusivity [m2.s-1],[function]graphite_LGM50_diffusivity_ORegan2021,O'Regan 2021,
Negative electrode OCP [V],[function]graphite_LGM50_ocp_Chen2020,Chen 2020,
,,,
# Microstructure,,,
Negative electrode porosity,0.25,Chen 2020,
Negative electrode active material volume fraction,0.75,Chen 2020,
Negative particle radius [m],5.86E-6,Chen 2020,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Chen 2020,theoretical
Negative electrode Bruggeman coefficient (electrode),0,conductivity already accounts for porous electrode,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Chen 2020,
Negative electrode double-layer capacity [F.m-2],0.2,,
Negative electrode exchange-current density [A.m-2],[function]graphite_LGM50_electrolyte_exchange_current_density_ORegan2021,O'Regan 2021,
,,,
# Density,,,
Negative electrode density [kg.m-3],2060,O'Regan 2021,wet electrode
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],[function]graphite_LGM50_heat_capacity_ORegan2021,O'Regan 2021,wet electrode
Negative electrode thermal conductivity [W.m-1.K-1],[function]graphite_LGM50_thermal_conductivity_ORegan2021,O'Regan 2021,wet electrode
Negative electrode OCP entropic change [V.K-1],[function]graphite_LGM50_entropic_change_ORegan2021,,
