# OCP for graphite from Siegel 2022
# sto,ocp [V]
# extra point to avoid extrapolation
0,0.891869304
# experimentally measured data
2.27E-05,0.887438012
0.000129826,0.883047716
0.000236959,0.87869804
0.000344108,0.874388612
0.000451275,0.870119062
0.000558457,0.865889021
0.000665656,0.861698125
0.000772872,0.857546009
0.000880103,0.853432314
0.00098735,0.84935668
0.001094612,0.845318752
0.001201889,0.841318176
0.001309182,0.837354601
0.001416489,0.833427677
0.001523811,0.829537058
0.001631147,0.825682399
0.001738497,0.821863358
0.001845862,0.818079595
0.00195324,0.814330773
0.002060631,0.810616556
0.002168036,0.806936611
0.002275454,0.803290608
0.002382885,0.799678218
0.002490329,0.796099115
0.002597785,0.792552974
0.002705254,0.789039474
0.002812735,0.785558296
0.002920228,0.782109121
0.003027732,0.778691635
0.003135248,0.775305525
0.003242776,0.77195048
0.003350315,0.768626191
0.003457864,0.765332352
0.003565425,0.76206866
0.003672997,0.758834811
0.003780578,0.755630506
0.003888171,0.752455447
0.003995773,0.749309338
0.004103385,0.746191887
0.004211008,0.743102801
0.004318639,0.740041792
0.004426281,0.737008572
0.004533931,0.734002856
0.004641591,0.731024362
0.00474926,0.728072808
0.004856938,0.725147916
0.004964624,0.722249409
0.005072319,0.719377013
0.005180022,0.716530454
0.005287733,0.713709463
0.005395453,0.710913771
0.00550318,0.708143111
0.005610915,0.705397219
0.005718658,0.702675832
0.005826408,0.699978691
0.005934165,0.697305537
0.00604193,0.694656113
0.006149701,0.692030165
0.00625748,0.689427441
0.006365265,0.68684769
0.006473057,0.684290664
0.006580855,0.681756116
0.00668866,0.679243801
0.006796471,0.676753478
0.006904288,0.674284905
0.007012111,0.671837844
0.00711994,0.669412057
0.007227774,0.66700731
0.007335614,0.66462337
0.007443459,0.662260005
0.00755131,0.659916987
0.007659166,0.657594088
0.007767027,0.655291083
0.007874893,0.653007747
0.007982764,0.65074386
0.008090639,0.648499201
0.008198519,0.646273552
0.008306404,0.644066697
0.008414293,0.641878422
0.008522186,0.639708514
0.008630083,0.637556763
0.008737985,0.635422959
0.00884589,0.633306895
0.008953799,0.631208365
0.009061712,0.629127168
0.009169629,0.627063099
0.009277549,0.62501596
0.009385473,0.622985553
0.009493399,0.62097168
0.00960133,0.618974147
0.009709263,0.616992761
0.009817199,0.61502733
0.009925138,0.613077666
0.01003308,0.611143579
0.010141025,0.609224885
0.010248973,0.607321398
0.010356923,0.605432936
0.010464876,0.603559317
0.010572831,0.601700363
0.010680788,0.599855895
0.010788748,0.598025738
0.010896709,0.596209717
0.011004673,0.594407659
0.011112639,0.592619393
0.011220607,0.59084475
0.011328576,0.589083562
0.011436548,0.587335662
0.011544521,0.585600887
0.011652496,0.583879072
0.011760472,0.582170056
0.01186845,0.58047368
0.011976429,0.578789785
0.012084409,0.577118215
0.012192391,0.575458814
0.012300374,0.573811428
0.012408358,0.572175907
0.012516343,0.570552098
0.012624329,0.568939854
0.012732316,0.567339026
0.012840304,0.56574947
0.012948293,0.564171039
0.013056282,0.562603592
0.013164273,0.561046987
0.013272264,0.559501085
0.013380255,0.557965746
0.013488247,0.556440833
0.013596239,0.554926212
0.013704232,0.553421747
0.013812225,0.551927307
0.013920219,0.550442761
0.014028213,0.548967977
0.014136207,0.547502829
0.014244201,0.546047189
0.014352195,0.544600932
0.014460189,0.543163934
0.014568184,0.541736072
0.014676178,0.540317224
0.014784172,0.538907272
0.014892167,0.537506095
0.015000161,0.536113578
0.015108154,0.534729604
0.015216148,0.533354058
0.015324141,0.531986829
0.015432134,0.530627803
0.015540127,0.52927687
0.01564812,0.527933922
0.015756111,0.526598851
0.015864103,0.525271549
0.015972094,0.523951912
0.016080084,0.522639835
0.016188074,0.521335217
0.016296064,0.520037955
0.016404052,0.51874795
0.01651204,0.517465103
0.016620028,0.516189316
0.016728014,0.514920492
0.016836,0.513658537
0.016943986,0.512403357
0.01705197,0.511154859
0.017159954,0.509912951
0.017267937,0.508677544
0.017375919,0.507448548
0.0174839,0.506225876
0.01759188,0.50500944
0.01769986,0.503799155
0.017807838,0.502594938
0.017915816,0.501396704
0.018023792,0.500204372
0.018131768,0.49901786
0.018239742,0.49783709
0.018347716,0.496661982
0.018455688,0.495492459
0.01856366,0.494328444
0.01867163,0.493169863
0.018779599,0.492016641
0.018887568,0.490868706
0.018995535,0.489725984
0.019103501,0.488588405
0.019211466,0.4874559
0.01931943,0.486328399
0.019427392,0.485205836
0.019535354,0.484088142
0.019643314,0.482975253
0.019751274,0.481867103
0.019859232,0.48076363
