Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,

# Electrode properties,,,
Negative electrode conductivity [S.m-1],100,Scott Moura FastDFN,graphite
Maximum concentration in negative electrode [mol.m-3],24983.2619938437,Scott Moura FastDFN,
Negative electrode diffusivity [m2.s-1],[function]graphite_mcmb2528_diffusivity_Dualfoil1998,,
Negative electrode OCP [V],[function]graphite_mcmb2528_ocp_Dualfoil1998,
,,,
# Microstructure,,,
Negative electrode porosity,0.3,Scott Moura FastDFN,electrolyte volume fraction
Negative electrode active material volume fraction,0.6,,
Negative particle radius [m],1E-05,Scott Moura FastDFN,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Scott Moura FastDFN,
Negative electrode Bruggeman coefficient (electrode),1.5,Scott Moura FastDFN,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Scott Moura FastDFN,
Negative electrode double-layer capacity [F.m-2],0.2,,
Negative electrode exchange-current density [A.m-2],[function]graphite_electrolyte_exchange_current_density_Dualfoil1998,,
,,,
# Density,,,
Negative electrode density [kg.m-3],1657,,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],700,,
Negative electrode thermal conductivity [W.m-1.K-1],1.7,,
Negative electrode OCP entropic change [V.K-1],[function]graphite_entropic_change_Moura2016,,
