Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],215,Chen 2020,graphite
# graphite,,,
Maximum concentration in negative electrode [mol.m-3],28700,,
Negative electrode diffusivity [m2.s-1],5.5E-14,,
Negative electrode OCP [V],[data]graphite_LGM50_ocp_Chen2020,Chen 2020,
# silicon,,,
Maximum silicon concentration in negative electrode [mol.m-3],278000,,
Negative electrode silicon diffusivity [m2.s-1],1.67E-14,,
Negative electrode silicon OCP [V],[function]silicon_ocp_Mark2016,,
,,,
# Microstructure,,,
Negative electrode porosity,0.25,Chen 2020,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Chen 2020,theoretical
Negative electrode Bruggeman coefficient (electrode),1.5,default,
# graphite,,,
Negative electrode active material volume fraction,0.735,Chen 2020,0.75*0.98
Negative particle radius [m],5.86E-6,Chen 2020,
# silicon,,,
Negative electrode silicon active material volume fraction,0.015,,0.75*0.02
Negative electrode silicon radius [m],1.52E-6,,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Chen 2020,
Negative electrode double-layer capacity [F.m-2],0.2,,
Negative electrode exchange-current density [A.m-2],[function]graphite_LGM50_electrolyte_exchange_current_density_Chen2020,,
Negative electrode silicon exchange-current density [A.m-2],[function]silicon_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# Density,,,
Negative electrode density [kg.m-3],2260,default,
Negative electrode silicon density [kg.m-3],2650,,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],700,default,
Negative electrode thermal conductivity [W.m-1.K-1],1.7,default,
Negative electrode OCP entropic change [V.K-1],0,,
Negative electrode silicon OCP entropic change [V.K-1],0,,
,,,
# below are new implementations
# phase 1 for graphite
# Maximum concentration in negative electrode of phase 1 [mol.m-3],28700,Chen 2020,tuned for 1C
# Negative electrode diffusivity of phase 1 [m2.s-1],5.5e-14,Ai 2020,tuned for 1C
# Negative electrode OCP of phase 1 [V],[data]graphite_ocp_Enertech_Ai2020,Chen 2020,
# Negative electrode mass fraction of phase 1,0.9,Chen 2020,
# Negative particle radius of phase 1 [m],5.86E-6,Chen 2020,
# Negative electrode density of phase 1 [kg.m-3],2260,default,
# Name of negative electrode phase 1,[string]graphite,,
# Initial concentration in negative electrode of phase 1 [mol.m-3],25870,,
# Negative electrode OCP entropic change of phase 1 [V.K-1],0,,
# Negative electrode exchange-current density of phase 1 [A.m-2],[function]graphite_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# phase 2 for silicon
# Maximum concentration in negative electrode of phase 2 [mol.m-3],278000,Chen 2020,tuned for 1C
# Negative electrode diffusivity of phase 2 [m2.s-1],1.67e-14,Chen 2020,tuned for 1C
# Negative electrode OCP of phase 2 [V],[function]silicon_ocp_Mark2016,Mark2016,
# Negative electrode mass fraction of phase 2,0.1,Chen 2020,
# Negative particle radius of phase 2 [m],1.52E-6,Chen 2020,
# Negative electrode density of phase 2 [kg.m-3],2650,default,
# Name of negative electrode phase 2,[string]silicon,,
Initial silicon concentration in negative electrode [mol.m-3],275220,,
# Negative electrode OCP entropic change of phase 2 [V.K-1],0,,
# Negative electrode exchange-current density of phase 2 [A.m-2],[function]silicon_LGM50_electrolyte_exchange_current_density_Chen2020,,
