Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Maximum concentration in negative electrode [mol.m-3],278000,,
Initial concentration in negative electrode [mol.m-3],276610,,
Negative electrode diffusivity [m2.s-1],1.67E-14,,
Negative electrode OCP [V],0,,include this so that the graphite OCP is labeled "Primary"
Negative electrode lithiation OCP [V],[function]silicon_ocp_lithiation_Mark2016,,
Negative electrode delithiation OCP [V],[function]silicon_ocp_delithiation_Mark2016,,
,,,
# Microstructure,,,
Negative electrode active material volume fraction,0.015,,0.75*0.02
Negative particle radius [m],1.52E-6,,
,,,
# Interfacial reactions,,,
Negative electrode electrons in reaction,1,,
Negative electrode exchange-current density [A.m-2],[function]silicon_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# Density,,,
Negative electrode density [kg.m-3],2650,,
,,,
# Thermal parameters,,,
Negative electrode OCP entropic change [V.K-1],0,,
