Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],100,,
Maximum concentration in positive electrode [mol.m-3],48230,,
Positive electrode diffusivity [m2.s-1],1e-14,,
Positive electrode OCP [V],[function]nmc_ocp_Xu2019,,
,,,
# Microstructure,,,
Positive electrode porosity,0.331,,
Positive electrode active material volume fraction,0.518,,
Positive particle radius [m],5.3E-06,,
Positive electrode Bruggeman coefficient (electrolyte),1.5,,
Positive electrode Bruggeman coefficient (electrode),1.5,,
,,,
# Thermal parameters,,,
Positive electrode OCP entropic change [V.K-1],0,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Positive electrode charge transfer coefficient,0.5,,
Positive electrode exchange-current density [A.m-2],[function]nmc_electrolyte_exchange_current_density_Xu2019,,
Positive electrode double-layer capacity [F.m-2],0.2,,
