# OCP for graphite from Siegel 2022
# sto,ocp [V]
# extra point to avoid extrapolation
0,3.930913115
# experimentally measured data
0.000141608,3.930863735
0.000210334,3.930814365
0.000279061,3.930765003
0.000347788,3.930715651
0.000416515,3.930666307
0.000485241,3.930616972
0.000553968,3.930567646
0.000622694,3.930518328
0.00069142,3.93046902
0.000760146,3.93041972
0.000828873,3.930370429
0.000897599,3.930321147
0.000966325,3.930271874
0.00103505,3.930222609
0.001103776,3.930173354
0.001172502,3.930124107
0.001241228,3.930074869
0.001309953,3.93002564
0.001378679,3.929976419
0.001447404,3.929927208
0.001516129,3.929878005
0.001584855,3.929828811
0.00165358,3.929779626
0.001722305,3.929730449
0.00179103,3.929681281
0.001859755,3.929632122
0.00192848,3.929582972
0.001997205,3.929533831
0.002065929,3.929484698
0.002134654,3.929435574
0.002203379,3.929386459
0.002272103,3.929337352
0.002340827,3.929288254
0.002409552,3.929239165
0.002478276,3.929190085
0.002547,3.929141014
0.002615724,3.929091951
0.002684448,3.929042897
0.002753172,3.928993851
0.002821896,3.928944815
0.00289062,3.928895787
0.002959344,3.928846767
0.003028067,3.928797757
0.003096791,3.928748755
0.003165515,3.928699762
0.003234238,3.928650777
0.003302961,3.928601801
0.003371685,3.928552834
0.003440408,3.928503876
0.003509131,3.928454926
0.003577854,3.928405985
0.003646577,3.928357052
0.0037153,3.928308128
0.003784023,3.928259213
0.003852746,3.928210307
0.003921469,3.928161409
0.003990192,3.92811252
0.004058914,3.928063639
0.004127637,3.928014767
0.004196359,3.927965904
0.004265082,3.927917049
0.004333804,3.927868203
0.004402526,3.927819366
0.004471249,3.927770537
0.004539971,3.927721717
0.004608693,3.927672905
0.004677415,3.927624102
0.004746137,3.927575308
0.004814859,3.927526522
0.004883581,3.927477745
0.004952302,3.927428976
0.005021024,3.927380216
0.005089746,3.927331464
0.005158467,3.927282722
0.005227189,3.927233987
0.00529591,3.927185262
0.005364632,3.927136544
0.005433353,3.927087836
0.005502074,3.927039136
0.005570796,3.926990444
0.005639517,3.926941761
0.005708238,3.926893087
0.005776959,3.926844421
0.00584568,3.926795764
0.005914401,3.926747115
0.005983122,3.926698475
0.006051842,3.926649843
0.006120563,3.92660122
0.006189284,3.926552605
0.006258004,3.926503999
0.006326725,3.926455401
0.006395445,3.926406812
0.006464166,3.926358232
0.006532886,3.926309659
0.006601607,3.926261096
0.006670327,3.926212541
0.006739047,3.926163994
0.006807767,3.926115456
0.006876487,3.926066926
0.006945207,3.926018405
0.007013927,3.925969892
0.007082647,3.925921388
0.007151367,3.925872892
0.007220087,3.925824405
0.007288807,3.925775926
0.007357527,3.925727455
0.007426246,3.925678993
0.007494966,3.92563054
0.007563685,3.925582095
0.007632405,3.925533658
0.007701124,3.92548523
0.007769844,3.92543681
0.007838563,3.925388399
0.007907283,3.925339996
0.007976002,3.925291601
0.008044721,3.925243215
0.00811344,3.925194837
0.008182159,3.925146468
0.008250878,3.925098107
0.008319597,3.925049755
0.008388316,3.92500141
0.008457035,3.924953075
0.008525754,3.924904747
0.008594473,3.924856428
0.008663192,3.924808118
0.00873191,3.924759816
0.008800629,3.924711522
0.008869348,3.924663236
0.008938066,3.924614959
0.009006785,3.92456669
0.009075503,3.92451843
0.009144222,3.924470178
0.00921294,3.924421934
0.009281658,3.924373699
0.009350377,3.924325472
0.009419095,3.924277253
0.009487813,3.924229043
0.009556531,3.924180841
0.009625249,3.924132647
0.009693967,3.924084462
0.009762686,3.924036285
0.009831403,3.923988116
0.009900121,3.923939956
0.009968839,3.923891803
0.010037557,3.92384366
0.010106275,3.923795524
0.010174993,3.923747397
0.010243711,3.923699278
0.010312428,3.923651167
0.010381146,3.923603065
0.010449863,3.923554971
0.010518581,3.923506885
0.010587299,3.923458807
0.010656016,3.923410738
0.010724734,3.923362677
0.010793451,3.923314624
0.010862168,3.92326658
0.010930886,3.923218543
0.010999603,3.923170515
0.01106832,3.923122496
0.011137037,3.923074484
0.011205755,3.923026481
0.011274472,3.922978486
0.011343189,3.922930499
0.011411906,3.92288252
0.011480623,3.92283455
0.01154934,3.922786588
0.011618057,3.922738634
0.011686774,3.922690688
0.011755491,3.92264275
0.011824208,3.922594821
0.011892925,3.9225469
0.011961641,3.922498987
0.012030358,3.922451082
0.012099075,3.922403185
0.012167792,3.922355297
0.012236508,3.922307416
0.012305225,3.922259544
0.012373941,3.92221168
0.012442658,3.922163825
0.012511375,3.922115977
0.012580091,3.922068138
0.012648808,3.922020306
0.012717524,3.921972483
0.01278624,3.921924668
0.012854957,3.921876861
0.012923673,3.921829063
0.012992389,3.921781272
0.013061106,3.92173349
0.013129822,3.921685715
0.013198538,3.921637949
0.013267254,3.921590191
0.013335971,3.921542441
0.013404687,3.921494699
0.013473403,3.921446965
0.013542119,3.92139924
0.013610835,3.921351522
0.013679551,3.921303813
0.013748267,3.921256111
0.013816983,3.921208418
0.013885699,3.921160733
0.013954415,3.921113056
0.014023131,3.921065387
0.014091847,3.921017726
0.014160563,3.920970073
0.014229279,3.920922428
0.014297994,3.920874791
0.01436671,3.920827162
0.014435426,3.920779541
0.014504142,3.920731929
0.014572857,3.920684324
0.014641573,3.920636728
0.014710289,3.920589139
0.014779004,3.920541559
0.01484772,3.920493986
0.014916436,3.920446422
0.014985151,3.920398865
0.015053867,3.920351317
0.015122582,3.920303776
0.015191298,3.920256244
0.015260013,3.92020872
0.015328729,3.920161203
0.015397444,3.920113695
0.01546616,3.920066195
0.015534875,3.920018702
0.015603591,3.919971218
0.015672306,3.919923741
0.015741021,3.919876273
0.015809737,3.919828812
0.015878452,3.91978136
0.015947167,3.919733915
0.016015883,3.919686479
0.016084598,3.91963905
0.016153313,3.919591629
0.016222029,3.919544217
0.016290744,3.919496812
0.016359459,3.919449415
0.016428174,3.919402026
0.016496889,3.919354645
0.016565605,3.919307272
0.01663432,3.919259907
0.016703035,3.91921255
0.01677175,3.9191652
0.016840465,3.919117859
0.01690918,3.919070526
0.016977895,3.9190232
0.017046611,3.918975882
0.017115326,3.918928573
0.017184041,3.918881271
0.017252756,3.918833977
0.017321471,3.918786691
0.017390186,3.918739413
0.017458901,3.918692142
0.017527616,3.91864488
0.017596331,3.918597625
0.017665046,3.918550379
0.017733761,3.91850314
0.017802476,3.918455909
0.017871191,3.918408686
0.017939906,3.91836147
0.018008621,3.918314263
0.018077336,3.918267063
0.018146051,3.918219872
0.018214766,3.918172688
0.01828348,3.918125512
0.018352195,3.918078344
0.01842091,3.918031183
0.018489625,3.917984031
0.01855834,3.917936886
0.018627055,3.917889749
0.01869577,3.91784262
0.018764485,3.917795498
0.0188332,3.917748385
0.018901914,3.917701279
0.018970629,3.917654181
0.019039344,3.917607091
0.019108059,3.917560009
0.019176774,3.917512934
0.019245489,3.917465867
0.019314204,3.917418808
0.019382918,3.917371757
0.019451633,3.917324714
0.019520348,3.917277678
0.019589063,3.91723065
0.019657778,3.91718363
0.019726493,3.917136617
0.019795208,3.917089612
0.019863922,3.917042615
0.019932637,3.916995626
0.020001352,3.916948645
0.020070067,3.916901671
0.020138782,3.916854705
0.020207497,3.916807747
0.020276211,3.916760796
0.020344926,3.916713853
0.020413641,3.916666918
0.020482356,3.91661999
0.020551071,3.916573071
0.020619786,3.916526159
0.020688501,3.916479254
0.020757215,3.916432358
0.02082593,3.916385469
0.020894645,3.916338587
0.02096336,3.916291714
0.021032075,3.916244848
0.02110079,3.916197989
0.021169505,3.916151139
0.02123822,3.916104296
0.021306934,3.916057461
0.021375649,3.916010633
0.021444364,3.915963813
0.021513079,3.915917001
0.021581794,3.915870196
0.021650509,3.915823399
0.021719224,3.91577661
0.021787939,3.915729828
0.021856654,3.915683054
0.021925369,3.915636287
0.021994084,3.915589528
0.022062799,3.915542777
0.022131514,3.915496034
0.022200229,3.915449297
0.022268944,3.915402569
0.022337659,3.915355848
0.022406374,3.915309135
0.022475089,3.915262429
0.022543804,3.915215731
0.022612519,3.915169041
0.022681234,3.915122358
0.022749949,3.915075683
0.022818664,3.915029015
0.022887379,3.914982355
0.022956095,3.914935702
0.02302481,3.914889057
0.023093525,3.91484242
0.02316224,3.91479579
0.023230955,3.914749168
0.02329967,3.914702553
0.023368386,3.914655946
0.023437101,3.914609346
0.023505816,3.914562754
0.023574531,3.914516169
0.023643247,3.914469592
0.023711962,3.914423022
0.023780677,3.91437646
0.023849392,3.914329906
0.023918108,3.914283359
0.023986823,3.914236819
0.024055539,3.914190287
0.024124254,3.914143763
0.024192969,3.914097246
0.024261685,3.914050736
0.0243304,3.914004234
0.024399116,3.913957739
0.024467831,3.913911252
0.024536547,3.913864773
0.024605262,3.913818301
0.024673978,3.913771836
0.024742693,3.913725379
0.024811409,3.913678929
0.024880125,3.913632487
0.02494884,3.913586052
0.025017556,3.913539625
0.025086271,3.913493205
0.025154987,3.913446792
0.025223703,3.913400387
0.025292419,3.91335399
0.025361134,3.913307599
0.02542985,3.913261217
0.025498566,3.913214841
0.025567282,3.913168473
0.025635998,3.913122113
0.025704714,3.91307576
0.025773429,3.913029414
0.025842145,3.912983076
0.025910861,3.912936745
0.025979577,3.912890422
0.026048293,3.912844106
0.026117009,3.912797797
0.026185725,3.912751496
0.026254442,3.912705202
0.026323158,3.912658915
0.026391874,3.912612636
0.02646059,3.912566364
0.026529306,3.9125201
0.026598022,3.912473843
0.026666739,3.912427593
0.026735455,3.912381351
0.026804171,3.912335116
0.026872888,3.912288888
0.026941604,3.912242668
0.02701032,3.912196455
0.027079037,3.912150249
0.027147753,3.912104051
0.02721647,3.91205786
0.027285186,3.912011676
0.027353903,3.9119655
0.027422619,3.911919331
0.027491336,3.911873169
0.027560053,3.911827014
0.027628769,3.911780867
0.027697486,3.911734728
0.027766203,3.911688595
0.02783492,3.91164247
0.027903636,3.911596352
0.027972353,3.911550241
0.02804107,3.911504138
0.028109787,3.911458042
0.028178504,3.911411953
0.028247221,3.911365871
0.028315938,3.911319797
0.028384655,3.91127373
0.028453372,3.91122767
0.028522089,3.911181617
0.028590807,3.911135572
0.028659524,3.911089534
0.028728241,3.911043503
0.028796958,3.91099748
0.028865676,3.910951463
0.028934393,3.910905454
0.029003111,3.910859452
0.029071828,3.910813458
0.029140545,3.91076747
0.029209263,3.91072149
0.029277981,3.910675517
0.029346698,3.910629551
0.029415416,3.910583592
0.029484133,3.910537641
0.029552851,3.910491697
0.029621569,3.91044576
0.029690287,3.91039983
0.029759005,3.910353907
0.029827723,3.910307992
0.02989644,3.910262083
0.029965158,3.910216182
0.030033876,3.910170288
0.030102594,3.910124401
0.030171313,3.910078522
0.030240031,3.910032649
0.030308749,3.909986784
0.030377467,3.909940926
0.030446185,3.909895074
0.030514904,3.909849231
0.030583622,3.909803394
0.030652341,3.909757564
0.030721059,3.909711741
0.030789778,3.909665926
0.030858496,3.909620118
0.030927215,3.909574317
0.030995928,3.909529337
0.031064641,3.909483394
0.031133355,3.909438453
0.031202068,3.909393721
0.031270782,3.90934927
0.031339496,3.909303729
0.03140821,3.909258864
0.031476924,3.909213948
0.031545639,3.909169179
0.031614353,3.909123574
0.031683068,3.909077854
0.031751783,3.909032088
0.031820499,3.908987721
0.031889214,3.908942586
0.03195793,3.908897204
0.032026646,3.908852303
0.032095362,3.908807562
0.032164078,3.908762447
0.032232795,3.908718267
0.032301512,3.908672531
0.032370229,3.908626616
0.032438946,3.908580986
0.032507664,3.908536099
0.032576382,3.908489978
0.0326451,3.908445182
0.032713818,3.908399876
0.032782537,3.908353864
0.032851256,3.90830761
0.032919975,3.908262292
0.032988695,3.908217121
0.033057415,3.908171442
0.033126136,3.90812624
0.033194856,3.908081578
0.033263577,3.908036081
0.033332299,3.907990535
0.03340102,3.907944546
0.033469742,3.907899092
0.033538464,3.907853389
0.033607186,3.907807765
0.033675908,3.907762351
0.03374463,3.907716499
0.033813352,3.907671324
0.033882074,3.907626042
0.033950797,3.907581181
0.034019519,3.907535484
0.034088242,3.907490065
0.034156964,3.907444205
0.034225687,3.907399085
0.03429441,3.907353919
0.034363133,3.907308122
0.034431856,3.907262677
0.034500579,3.907216856
0.034569303,3.907170987
0.034638026,3.90712527
0.03470675,3.90707957
0.034775473,3.907033428
0.034844197,3.906987893
0.03491292,3.906942567
0.034981644,3.906896598
0.035050368,3.906850777
0.035119092,3.906805101
0.035187817,3.906759046
0.035256541,3.906714059
